column,protocol,seed,method,normalized_aulc
25g,compound,536279090,affine,0.9685413198874377
25g,compound,536279090,affine_condition_residual,0.9307687430572752
25g,compound,536279090,column_mass_ratio_scaling,2.069416864416773
25g,compound,536279090,scale_only,1.0761216001167524
25g,compound,536279090,target_head_only,2.031680438113976
25g,compound,536279090,zero_shot,3.662821526987501
25g,compound,769539383,affine,1.6750417974937115
25g,compound,769539383,affine_condition_residual,1.6723934539520946
25g,compound,769539383,column_mass_ratio_scaling,2.381414398647481
25g,compound,769539383,scale_only,1.8101313643503076
25g,compound,769539383,target_head_only,3.502675661060819
25g,compound,769539383,zero_shot,5.395501605589018
25g,compound,1362771960,affine,2.611389091811193
25g,compound,1362771960,affine_condition_residual,2.601655426208101
25g,compound,1362771960,column_mass_ratio_scaling,2.5157230618590094
25g,compound,1362771960,scale_only,1.8827253519822458
25g,compound,1362771960,target_head_only,3.224184883241219
25g,compound,1362771960,zero_shot,5.060527678225473
25g,compound,1425370602,affine,1.491025462126942
25g,compound,1425370602,affine_condition_residual,1.4605714362911781
25g,compound,1425370602,column_mass_ratio_scaling,2.3671769524790354
25g,compound,1425370602,scale_only,1.6153037094859866
25g,compound,1425370602,target_head_only,3.005616371236132
25g,compound,1425370602,zero_shot,4.778087762914671
25g,compound,2767143051,affine,1.6305672676158751
25g,compound,2767143051,affine_condition_residual,1.5780831807694913
25g,compound,2767143051,column_mass_ratio_scaling,2.3591690235430782
25g,compound,2767143051,scale_only,1.6528882895805335
25g,compound,2767143051,target_head_only,3.4858973104842463
25g,compound,2767143051,zero_shot,5.549821904656429
25g,row,536279090,affine,2.2263484242972766
25g,row,536279090,affine_condition_residual,2.184504366944022
25g,row,536279090,column_mass_ratio_scaling,2.9362709720727382
25g,row,536279090,scale_only,2.2993892978392285
25g,row,536279090,target_head_only,3.7013582848436224
25g,row,536279090,zero_shot,5.524030602178042
25g,row,769539383,affine,1.8789969769480077
25g,row,769539383,affine_condition_residual,1.856868759406445
25g,row,769539383,column_mass_ratio_scaling,2.4922838785873083
25g,row,769539383,scale_only,1.9383260704387801
25g,row,769539383,target_head_only,3.048760054247335
25g,row,769539383,zero_shot,4.621684223463819
25g,row,1362771960,affine,1.5546903371129157
25g,row,1362771960,affine_condition_residual,1.4989561979506179
25g,row,1362771960,column_mass_ratio_scaling,2.090808822526533
25g,row,1362771960,scale_only,1.6735982602070831
25g,row,1362771960,target_head_only,2.913370650341615
25g,row,1362771960,zero_shot,4.512049157141161
25g,row,1425370602,affine,2.9019943212249912
25g,row,1425370602,affine_condition_residual,2.8782689024827626
25g,row,1425370602,column_mass_ratio_scaling,3.1594879567986456
25g,row,1425370602,scale_only,2.418613035820003
25g,row,1425370602,target_head_only,3.9084299425284597
25g,row,1425370602,zero_shot,5.994647956711509
25g,row,2767143051,affine,1.8793842038990087
25g,row,2767143051,affine_condition_residual,1.845296062855746
25g,row,2767143051,column_mass_ratio_scaling,2.616046985789362
25g,row,2767143051,scale_only,1.970673753956549
25g,row,2767143051,target_head_only,3.308711615976503
25g,row,2767143051,zero_shot,5.033854598976886
40g,compound,536279090,affine,3.865222130033492
40g,compound,536279090,affine_condition_residual,3.7802801139099635
40g,compound,536279090,column_mass_ratio_scaling,4.7248070917374925
40g,compound,536279090,scale_only,3.94968791918332
40g,compound,536279090,target_head_only,7.986357802385148
40g,compound,536279090,zero_shot,9.910336698542654
40g,compound,769539383,affine,3.2064473668035345
40g,compound,769539383,affine_condition_residual,3.293960004812772
40g,compound,769539383,column_mass_ratio_scaling,3.903481744937304
40g,compound,769539383,scale_only,3.0428559324595903
40g,compound,769539383,target_head_only,7.986816788965817
40g,compound,769539383,zero_shot,10.092973077986656
40g,compound,1362771960,affine,5.5260676964017765
40g,compound,1362771960,affine_condition_residual,5.4709837516903885
40g,compound,1362771960,column_mass_ratio_scaling,4.523641362236849
40g,compound,1362771960,scale_only,3.8562443317263844
40g,compound,1362771960,target_head_only,7.4744116634473015
40g,compound,1362771960,zero_shot,9.269486165766487
40g,compound,1425370602,affine,3.928038108587791
40g,compound,1425370602,affine_condition_residual,3.8542482888670797
40g,compound,1425370602,column_mass_ratio_scaling,4.484019777137868
40g,compound,1425370602,scale_only,3.9517933483353676
40g,compound,1425370602,target_head_only,7.998463173084478
40g,compound,1425370602,zero_shot,9.885782047386272
40g,compound,2767143051,affine,3.053470694749054
40g,compound,2767143051,affine_condition_residual,3.097938910395752
40g,compound,2767143051,column_mass_ratio_scaling,4.0149539204838245
40g,compound,2767143051,scale_only,3.2054090640432262
40g,compound,2767143051,target_head_only,7.14898780995977
40g,compound,2767143051,zero_shot,9.020836623391785
40g,row,536279090,affine,2.701806679871402
40g,row,536279090,affine_condition_residual,2.6020900702397447
40g,row,536279090,column_mass_ratio_scaling,3.927085780707026
40g,row,536279090,scale_only,3.205558473625024
40g,row,536279090,target_head_only,6.775436140011937
40g,row,536279090,zero_shot,8.480183955563785
40g,row,769539383,affine,2.669258602805028
40g,row,769539383,affine_condition_residual,2.61639256987541
40g,row,769539383,column_mass_ratio_scaling,4.112482068737524
40g,row,769539383,scale_only,3.1180657745714058
40g,row,769539383,target_head_only,8.442559112222229
40g,row,769539383,zero_shot,10.626879474284816
40g,row,1362771960,affine,4.517427002172536
40g,row,1362771960,affine_condition_residual,4.355500555899391
40g,row,1362771960,column_mass_ratio_scaling,4.93324970168824
40g,row,1362771960,scale_only,4.588244089360969
40g,row,1362771960,target_head_only,9.463065177909385
40g,row,1362771960,zero_shot,11.520311635155638
40g,row,1425370602,affine,2.7330346087179813
40g,row,1425370602,affine_condition_residual,2.661999593735521
40g,row,1425370602,column_mass_ratio_scaling,4.035689723855642
40g,row,1425370602,scale_only,3.1763563726271715
40g,row,1425370602,target_head_only,6.923493006823206
40g,row,1425370602,zero_shot,8.718725301805456
40g,row,2767143051,affine,3.9791347794425627
40g,row,2767143051,affine_condition_residual,3.91721252256458
40g,row,2767143051,column_mass_ratio_scaling,4.849276406276303
40g,row,2767143051,scale_only,4.086116823368102
40g,row,2767143051,target_head_only,8.217404870113121
40g,row,2767143051,zero_shot,10.12670075644435
8g,compound,536279090,affine,0.7124782758457107
8g,compound,536279090,affine_condition_residual,0.7176015326793044
8g,compound,536279090,column_mass_ratio_scaling,0.619884256975796
8g,compound,536279090,last2,0.8739826603013139
8g,compound,536279090,scale_only,0.5963892054818972
8g,compound,536279090,target_head_only,0.7723091289982028
8g,compound,536279090,zero_shot,1.568048971795566
8g,compound,769539383,affine,1.339898428274626
8g,compound,769539383,affine_condition_residual,1.340272753278563
8g,compound,769539383,column_mass_ratio_scaling,0.7250823040649725
8g,compound,769539383,last2,1.0989601332312529
8g,compound,769539383,scale_only,1.065336924330446
8g,compound,769539383,target_head_only,0.7705998145415918
8g,compound,769539383,zero_shot,1.647458730111509
8g,compound,1362771960,affine,0.5178796983053494
8g,compound,1362771960,affine_condition_residual,0.5169146265355569
8g,compound,1362771960,column_mass_ratio_scaling,0.6127557259403345
8g,compound,1362771960,last2,0.8219345743090232
8g,compound,1362771960,scale_only,0.5282931665558824
8g,compound,1362771960,target_head_only,0.5790886118597486
8g,compound,1362771960,zero_shot,1.3866882017356303
8g,compound,1425370602,affine,0.8116442772228438
8g,compound,1425370602,affine_condition_residual,1.063933681189642
8g,compound,1425370602,column_mass_ratio_scaling,0.6506239323410047
8g,compound,1425370602,last2,0.9352079557109034
8g,compound,1425370602,scale_only,0.6813120231430356
8g,compound,1425370602,target_head_only,0.7739658646230282
8g,compound,1425370602,zero_shot,1.5052051323443731
8g,compound,2767143051,affine,0.8685526114272771
8g,compound,2767143051,affine_condition_residual,0.8812151464804743
8g,compound,2767143051,column_mass_ratio_scaling,0.8036738124432248
8g,compound,2767143051,last2,0.9208557958213893
8g,compound,2767143051,scale_only,0.8031170649367206
8g,compound,2767143051,target_head_only,0.7290753401112836
8g,compound,2767143051,zero_shot,1.4266749905398715
8g,row,536279090,affine,0.7978646818390313
8g,row,536279090,affine_condition_residual,0.8203149262479893
8g,row,536279090,column_mass_ratio_scaling,0.6752642048901959
8g,row,536279090,scale_only,0.6268265319081384
8g,row,536279090,target_head_only,0.5382549577011546
8g,row,536279090,zero_shot,1.7597841425785479
8g,row,769539383,affine,0.953310966571907
8g,row,769539383,affine_condition_residual,0.9517535816470769
8g,row,769539383,column_mass_ratio_scaling,0.8280927519269042
