column,protocol,method,V1_rmse_mean,V1_rmse_std,V1_rmse_median,V1_rmse_per_seed,V1_mae_mean,V1_mae_std,V1_mae_median,V1_mae_per_seed,V1_r2_mean,V1_r2_std,V1_r2_median,V1_r2_per_seed,V2_rmse_mean,V2_rmse_std,V2_rmse_median,V2_rmse_per_seed,V2_mae_mean,V2_mae_std,V2_mae_median,V2_mae_per_seed,V2_r2_mean,V2_r2_std,V2_r2_median,V2_r2_per_seed,combined_normalized_rmse_mean,combined_normalized_rmse_std,combined_normalized_rmse_median,combined_normalized_rmse_per_seed,normalized_rmse_mean,normalized_rmse_std,normalized_rmse_median,normalized_rmse_per_seed,nrmse_mean,nrmse_std,nrmse_median,nrmse_per_seed,combined_nrmse_mean,combined_nrmse_std,combined_nrmse_median,combined_nrmse_per_seed,all_outputs_finite_mean,all_outputs_finite_std,all_outputs_finite_median,all_outputs_finite_per_seed
25g,compound,CORRECTED_JOINT_FULL128,6.988101956104228,0.9618908329484362,6.867151658749928,"[6.218072250117242, 8.59083383407243, 7.0005440453218535, 6.867151658749928, 6.263907992259687]",4.79158746898169,0.4403004712177703,4.760803241741162,"[4.447329596284165, 5.413491292846109, 5.013672270013835, 4.760803241741162, 4.322640944023175]",0.5126207097969191,0.1461519741694034,0.5387725643565439,"[0.4940295434186919, 0.2781526874152066, 0.5831015682053753, 0.5387725643565439, 0.6690471855887781]",9.322448234063165,0.8887535368022034,8.977299940304018,"[8.357697417944934, 10.154748923639046, 10.36836743263643, 8.977299940304018, 8.754127455791396]",7.049756651640964,0.7212574429545923,7.112927112536547,"[6.395245442597805, 7.769727379070936, 7.734388616742071, 7.112927112536547, 6.236494707257457]",0.7426163223195061,0.03107107674175844,0.7302710254618374,"[0.7240127004939465, 0.7223691555726839, 0.7302710254618374, 0.7395553455373265, 0.7968733845317371]",0.7497393741867648,0.0898536073620075,0.7318953064423593,"[0.6682030047426928, 0.8909652998146765, 0.7762919298989505, 0.7318953064423593, 0.6813413300351451]",0.7497393741867648,0.0898536073620075,0.7318953064423593,"[0.6682030047426928, 0.8909652998146765, 0.7762919298989505, 0.7318953064423593, 0.6813413300351451]",0.7333667297591153,0.08365989322606286,0.7149573332294055,"[0.654499878842816, 0.8609529309588471, 0.7666856608095514, 0.7149573332294055, 0.6697378449549563]",0.7333667297591153,0.08365989322606286,0.7149573332294055,"[0.654499878842816, 0.8609529309588471, 0.7666856608095514, 0.7149573332294055, 0.6697378449549563]",1.0,0.0,1.0,"[true, true, true, true, true]"
25g,compound,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,6.633031973377841,0.7277211826094476,6.739052478430127,"[5.785074596732326, 7.6806075512948775, 6.829439135192267, 6.739052478430127, 6.1309861052396055]",4.4993936534805545,0.39561086731450473,4.665649253465613,"[3.939239344826825, 4.665649253465613, 4.719802858297764, 4.9185451876612065, 4.2537316231513636]",0.5654102944502207,0.09437278284986597,0.5620429132787674,"[0.5620429132787674, 0.4230132287653021, 0.6032318938811598, 0.5558194555340259, 0.6829439807918485]",9.10592142982161,0.8396062564351915,9.005816384215974,"[7.9317434571176975, 9.9500105534189, 9.880491294101601, 9.005816384215974, 8.761545460253867]",6.810794107575373,0.5113594335541144,6.929457476685683,"[6.228638611158184, 6.929457476685683, 7.369302758825422, 7.197176315958643, 6.329395375248933]",0.7548727186430846,0.024970780237348448,0.751427473094269,"[0.751427473094269, 0.7334513931910541, 0.7550576261826346, 0.73789810977302, 0.7965289909744455]",0.7175757862733265,0.07336089144032028,0.722929441442069,"[0.6254743717943763, 0.8164473064877539, 0.7513063617660396, 0.722929441442069, 0.6717214498763935]",0.7175757862733265,0.07336089144032028,0.722929441442069,"[0.6254743717943763, 0.8164473064877539, 0.7513063617660396, 0.722929441442069, 0.6717214498763935]",0.7041016731901015,0.07056534423277962,0.7077157587963238,"[0.6137765068472391, 0.7968273319321741, 0.7406547088428077, 0.7077157587963238, 0.661534059531963]",0.7041016731901015,0.07056534423277962,0.7077157587963238,"[0.6137765068472391, 0.7968273319321741, 0.7406547088428077, 0.7077157587963238, 0.661534059531963]",1.0,0.0,1.0,"[true, true, true, true, true]"
25g,compound,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,6.60458413329531,0.7145406012049614,6.689047628552512,"[5.778571109618794, 7.669780015659226, 6.689047628552512, 6.73070690329157, 6.154815009354442]",4.472327167106807,0.3848091060225348,4.607666028389959,"[3.927285162454272, 4.654936220050589, 4.607666028389959, 4.915868809951324, 4.255879614687895]",0.5688872516413195,0.09485003623304313,0.5630270483127755,"[0.5630270483127755, 0.4246388661304855, 0.6193768025143627, 0.5569189118153891, 0.6804746294335848]",8.969028989458346,0.7494992023407692,9.036499738790447,"[7.922037565149006, 9.926430549053787, 9.318755417906214, 9.036499738790447, 8.641421676392266]",6.734977217483658,0.46921042520657186,6.909171410262691,"[6.217356727117177, 6.909171410262691, 7.089208919577367, 7.2074974308212525, 6.251651599639807]",0.7614090344688392,0.02967646186325776,0.7520354458490469,"[0.7520354458490469, 0.7347132551310254, 0.7821173396649039, 0.7361090736751152, 0.8020700580241051]",0.7120367226810727,0.07124538627956602,0.7230440527498285,"[0.6247518642029044, 0.8150711852304453, 0.7268517406260632, 0.7230440527498285, 0.670464770596122]",0.7120367226810727,0.07124538627956602,0.7230440527498285,"[0.6247518642029044, 0.8150711852304453, 0.7268517406260632, 0.7230440527498285, 0.670464770596122]",0.6980389991826073,0.06813075254934578,0.7081404858666669,"[0.6130619655304618, 0.795406907549209, 0.714275528956363, 0.7081404858666669, 0.6593101080103357]",0.6980389991826073,0.06813075254934578,0.7081404858666669,"[0.6130619655304618, 0.795406907549209, 0.714275528956363, 0.7081404858666669, 0.6593101080103357]",1.0,0.0,1.0,"[true, true, true, true, true]"
25g,compound,HIER_CW_SHARED_LAMBDA_CORRECTED,6.594801049397853,0.6964155101030503,6.689047628552512,"[5.778571109618794, 7.620864596171942, 6.689047628552512, 6.73070690329157, 6.154815009354442]",4.4674806828327505,0.3820771654633062,4.607666028389959,"[3.927285162454272, 4.630703798680305, 4.607666028389959, 4.915868809951324, 4.255879614687895]",0.5703503592829545,0.09208477347221206,0.5630270483127755,"[0.5630270483127755, 0.4319544043386606, 0.6193768025143627, 0.5569189118153891, 0.6804746294335848]",8.978018275136543,0.7639823171476946,9.036499738790447,"[7.922037565149006, 9.971376977444779, 9.318755417906214, 9.036499738790447, 8.641421676392266]",6.747778764880588,0.47597553428630834,6.973179147247329,"[6.217356727117177, 6.973179147247329, 7.089208919577367, 7.2074974308212525, 6.251651599639807]",0.7609274641162139,0.030232295288603706,0.7520354458490469,"[0.7520354458490469, 0.7323054033678986, 0.7821173396649039, 0.7361090736751152, 0.8020700580241051]",0.7115091628925716,0.07029512475698169,0.7230440527498285,"[0.6247518642029044, 0.8124333862879399, 0.7268517406260632, 0.7230440527498285, 0.670464770596122]",0.7115091628925716,0.07029512475698169,0.7230440527498285,"[0.6247518642029044, 0.8124333862879399, 0.7268517406260632, 0.7230440527498285, 0.670464770596122]",0.6976977965440576,0.06752278186679725,0.7081404858666669,"[0.6130619655304618, 0.7937008943564605, 0.714275528956363, 0.7081404858666669, 0.6593101080103357]",0.6976977965440576,0.06752278186679725,0.7081404858666669,"[0.6130619655304618, 0.7937008943564605, 0.714275528956363, 0.7081404858666669, 0.6593101080103357]",1.0,0.0,1.0,"[true, true, true, true, true]"
25g,compound,M3_CENTER_WIDTH_FULL,6.62425232409006,0.5941574860912232,6.734271071264012,"[5.8478554966256375, 7.432202185141867, 6.8126883966666405, 6.734271071264012, 6.294244470752142]",4.51593366604645,0.3676815134610689,4.642513874201964,"[3.9620118713777095, 4.642513874201964, 4.708997021442879, 4.9098310458661185, 4.356314517343579]",0.5679352496038244,0.07591058512528127,0.5564495306421996,"[0.5524857218231966, 0.459731387449292, 0.6051758333667898, 0.5564495306421996, 0.6658337747376434]",9.19946215350637,0.9519372380918866,9.313509685515168,"[7.733379445384753, 10.278727466072871, 9.696622195503837, 9.313509685515168, 8.975071975055227]",6.893199188091174,0.5684540081267818,6.969634132149729,"[6.180716349130538, 6.969634132149729, 7.257423209602552, 7.581144861987654, 6.477077387585398]",0.7499031339890038,0.03091892532632884,0.7637050453483767,"[0.7637050453483767, 0.7155486256165826, 0.7640892168930775, 0.7196821729599427, 0.7864906091270394]",0.7191444857435868,0.06709101154180615,0.7300773258617879,"[0.6253702621225713, 0.8057410426463933, 0.7454242158456553, 0.7300773258617879, 0.6891095822415257]",0.7191444857435868,0.06709101154180615,0.7300773258617879,"[0.6253702621225713, 0.8057410426463933, 0.7454242158456553, 0.7300773258617879, 0.6891095822415257]",0.7064538008314865,0.06677956874836964,0.7169820119270618,"[0.6115908644983273, 0.7912884043129824, 0.7338732346989827, 0.7169820119270618, 0.6785344887200776]",0.7064538008314865,0.06677956874836964,0.7169820119270618,"[0.6115908644983273, 0.7912884043129824, 0.7338732346989827, 0.7169820119270618, 0.6785344887200776]",1.0,0.0,1.0,"[true, true, true, true, true]"
25g,compound,OLD_HIER_REFERENCE,6.556242903362114,0.7040171350770323,6.5895744426427605,"[5.856513927725508, 7.620864596171942, 6.5895744426427605, 6.73070690329157, 5.983554646978793]",4.463470164627433,0.3739162027747446,4.5907312604718955,"[3.9645216032254242, 4.630703798680305, 4.5907312604718955, 4.915868809951324, 4.215525350808216]",0.5737310246323419,0.0994652522660212,0.5569189118153891,"[0.5511595467590892, 0.4319544043386606, 0.630613164318778, 0.5569189118153891, 0.698009095929793]",8.770348692358041,0.8670909420232571,8.946739379824391,"[7.7115967995452515, 9.971376977444779, 8.946739379824391, 9.036499738790447, 8.185530566185342]",6.666996264674978,0.5698263510789544,6.973179147247329,"[6.156229188613793, 6.973179147247329, 7.044755517247175, 7.2074974308212525, 5.953320039445337]",0.7710037047532966,0.039325205601182585,0.7650343168203396,"[0.7650343168203396, 0.7323054033678986, 0.7991663803608577, 0.7361090736751152, 0.8224033495422716]",0.7035534734307024,0.07353429217585997,0.7103034560247213,"[0.6255023642724443, 0.8124333862879399, 0.7103034560247213, 0.7230440527498285, 0.6464841078185782]",0.7035534734307024,0.07353429217585997,0.7103034560247213,"[0.6255023642724443, 0.8124333862879399, 0.7103034560247213, 0.7230440527498285, 0.6464841078185782]",0.6887923182883237,0.07139873752227267,0.6963933310766567,"[0.611462812974258, 0.7937008943564605, 0.6963933310766567, 0.7081404858666669, 0.634264067167576]",0.6887923182883237,0.07139873752227267,0.6963933310766567,"[0.611462812974258, 0.7937008943564605, 0.6963933310766567, 0.7081404858666669, 0.634264067167576]",1.0,0.0,1.0,"[true, true, true, true, true]"
25g,compound,conditional_EA,7.139174267229711,0.5449493157189582,7.068383886547529,"[6.321242856988674, 7.662421737110383, 7.616260117697911, 7.02756273780406, 7.068383886547529]",4.903305097976757,0.4142444966312176,4.987177277670784,"[4.20085073184729, 4.987177277670784, 5.284502376541684, 5.100833363915102, 4.943161739908926]",0.5009874065849044,0.05598965408613368,0.5065419788483425,"[0.4771000706700983, 0.4257423232362104, 0.5065419788483425, 0.5169730991191115, 0.5785795610507586]",9.584352014516407,0.6509430797975161,9.371477744484205,"[10.170147990426667, 10.331735614158458, 9.371477744484205, 9.269465501397097, 8.77893322211561]",7.166838619406361,0.5475035440378889,7.08602561388859,"[7.833606694935429, 7.0303875241353255, 7.08602561388859, 7.502570486164221, 6.381602777908242]",0.7203264361225601,0.08047678559749794,0.7223271858528748,"[0.5913322616369545, 0.7126071875017599, 0.7796449545002703, 0.7223271858528748, 0.7957205911209413]",0.7676613901355388,0.04207695557257028,0.7509547803507873,"[0.7224112330481083, 0.8242067910690215, 0.79814448683167, 0.7509547803507873, 0.7425896593781075]",0.7676613901355388,0.04207695557257028,0.7509547803507873,"[0.7224112330481083, 0.8242067910690215, 0.79814448683167, 0.7509547803507873, 0.7425896593781075]",0.7510984934965678,0.03885133476317775,0.7342228640905534,"[0.7174160503351904, 0.8075454971826281, 0.774751086292991, 0.7342228640905534, 0.7215569695814761]",0.7510984934965678,0.03885133476317775,0.7342228640905534,"[0.7174160503351904, 0.8075454971826281, 0.774751086292991, 0.7342228640905534, 0.7215569695814761]",1.0,0.0,1.0,"[true, true, true, true, true]"
25g,compound,paper_style_current_v2,8.040766325811578,0.5151340424753231,8.17392770481441,"[7.298216560392217, 8.610779832714705, 8.349114146695689, 7.771793384440876, 8.17392770481441]",5.83637981024574,0.499448940547964,5.930031543956045,"[5.105643505263158, 5.96877593478261, 5.930031543956045, 5.694917714285714, 6.4825303529411755]",0.3660954108670804,0.0721189164681627,0.4070098575100535,"[0.30297697667678825, 0.2747968595115893, 0.4070098575100535, 0.4092491598987703, 0.4364442007382008]",10.959422805706982,1.2084704258255103,10.954907382803041,"[9.571471823090397, 12.079870883730772, 12.240590011036279, 9.950273927874415, 10.954907382803041]",8.337979703577437,0.8439351656060017,8.584964838235294,"[7.469037031578949, 9.051772358695652, 9.163591384615385, 7.420532904761904, 8.584964838235294]",0.6462331778891206,0.03355395969023499,0.6380294317585585,"[0.6380294317585585, 0.6071254298885242, 0.6240660513205207, 0.6800412063686538, 0.6819037701093451]",0.8679854607850108,0.06695389070274528,0.8776169529847389,"[0.7785659423685013, 0.9377582676077736, 0.9226130318051864, 0.8233731091588542, 0.8776169529847389]",0.8679854607850108,0.06695389070274528,0.8776169529847389,"[0.7785659423685013, 0.9377582676077736, 0.9226130318051864, 0.8233731091588542, 0.8776169529847389]",0.8510750464456358,0.0691762813663956,0.8593843027152435,"[0.7607898558161894, 0.9220923488901895, 0.9104870481084831, 0.8026216766980729, 0.8593843027152435]",0.8510750464456358,0.0691762813663956,0.8593843027152435,"[0.7607898558161894, 0.9220923488901895, 0.9104870481084831, 0.8026216766980729, 0.8593843027152435]",1.0,0.0,1.0,"[true, true, true, true, true]"
25g,compound,scale_only,7.710631582903218,0.5835258876719761,7.7650245195305185,"[6.890786897379408, 8.208417943162745, 8.293514556032099, 7.7650245195305185, 7.395413998411325]",5.351097708549046,0.4875474192040528,5.29303154823409,"[4.616368860553823, 5.253904901064257, 5.763486502725727, 5.828696730167336, 5.29303154823409]",0.4166914714662395,0.07434041798727235,0.41027774393071914,"[0.3786285859133096, 0.34098753643775803, 0.41488140636192505, 0.41027774393071914, 0.5386820846874859]",9.039010958543463,0.9460045245572061,9.209304587109056,"[7.883828109730081, 10.402792634399635, 9.226772035777659, 9.209304587109056, 8.472357425700888]",6.946258581607727,0.5318335977238524,7.295742768083114,"[6.354028859828371, 7.320271453642575, 7.295742768083114, 7.385605842299219, 6.375643984185355]",0.7570236867197189,0.04170397364672674,0.7544216354237376,"[0.7544216354237376, 0.7086404771969992, 0.7863974543540071, 0.7259198073700361, 0.809739059253814]",0.7981848238313379,0.06442955785876997,0.805997403001826,"[0.7089578095960976, 0.8671501134898181, 0.8477018523006007, 0.805997403001826, 0.761116940768347]",0.7981848238313379,0.06442955785876997,0.805997403001826,"[0.7089578095960976, 0.8671501134898181, 0.8477018523006007, 0.805997403001826, 0.761116940768347]",0.7703992404549476,0.06429989276158968,0.7791470678245223,"[0.6824487241351906, 0.8444013897919587, 0.8132254106204849, 0.7791470678245223, 0.7327736099025811]",0.7703992404549476,0.06429989276158968,0.7791470678245223,"[0.6824487241351906, 0.8444013897919587, 0.8132254106204849, 0.7791470678245223, 0.7327736099025811]",1.0,0.0,1.0,"[true, true, true, true, true]"
25g,row,CORRECTED_JOINT_FULL128,7.947140788855888,2.031433845001743,7.62105163215136,"[10.035333178775733, 7.62105163215136, 5.498377163430319, 9.994556917464463, 6.586385052457567]",4.615596453059934,0.4742824667728518,4.629711505871777,"[5.101153524371559, 5.0651304749214106, 4.066048272364525, 4.629711505871777, 4.215938487770396]",0.2240692600719152,0.5040485035655868,0.4604014130739995,"[-0.39044500940609383, 0.4604014130739995, 0.6580404612222583, -0.24704739782354435, 0.6393968332929563]",11.025045482392517,2.494088158791044,9.519031589316082,"[13.336656138630957, 9.519031589316082, 8.68673611774882, 14.096611823342458, 9.486191742924264]",7.102998381014871,0.5941586712210685,7.187567729763515,"[7.660385892287527, 7.17431983145988, 6.100295927608141, 7.392422523955285, 7.187567729763515]",0.532581565281302,0.1922663276283035,0.6459031872556333,"[0.3311894748905, 0.6459031872556333, 0.7053862195970098, 0.3155527862115559, 0.6648761584518109]",0.8629026264841005,0.21025001311665803,0.8018821289040778,"[1.0747523742823881, 0.8018821289040778, 0.6240514659128722, 1.0903429277829961, 0.7234842355381684]",0.8629026264841005,0.21025001311665803,0.8018821289040778,"[1.0747523742823881, 0.8018821289040778, 0.6240514659128722, 1.0903429277829961, 0.7234842355381684]",0.8471750318618957,0.20445742769518777,0.7796442427670673,"[1.0515743291225013, 0.7796442427670673, 0.6190654951297725, 1.072622484293203, 0.7129686079969344]",0.8471750318618957,0.20445742769518777,0.7796442427670673,"[1.0515743291225013, 0.7796442427670673, 0.6190654951297725, 1.072622484293203, 0.7129686079969344]",1.0,0.0,1.0,"[true, true, true, true, true]"
