method,25g,40g,mean_nrmse
paper_style_current_v2,0.8257145674304758,1.369921518333949,1.0978180428822124
CORRECTED_JOINT_FULL128,0.8629026264841005,1.4081530885437084,1.1355278575139045
HIER_CW_ENDPOINT_ALIGNED_CORRECTED,0.8670546218311429,1.5004711486708773,1.18376288525101
HIER_CW_SHARED_LAMBDA_CORRECTED,0.8677430409723261,1.5003116926814053,1.1840273668268657
HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.869484604966576,1.4992230762333407,1.1843538405999583
OLD_HIER_REFERENCE,0.881819270780263,1.494456702444067,1.188137986612165
M3_CENTER_WIDTH_FULL,0.8885986662449517,1.4957163475730446,1.1921575069089982
conditional_EA,0.9291058368353425,1.605990576040464,1.2675482064379033
scale_only,0.924226011630863,1.7597765400371883,1.3420012758340256
