column,protocol,seed,historical_delta_lambda,max_abs_prediction_difference,threshold,passed
25g,compound,769539383,0.1,0.0,1e-10,True
40g,compound,769539383,0.1,0.0,1e-10,True
25g,compound,1425370602,0.1,0.0,1e-10,True
40g,compound,1425370602,0.1,0.0,1e-10,True
25g,compound,536279090,0.1,0.0,1e-10,True
40g,compound,536279090,0.1,0.0,1e-10,True
25g,compound,2767143051,0.1,0.0,1e-10,True
40g,compound,2767143051,0.1,0.0,1e-10,True
25g,compound,1362771960,0.1,0.0,1e-10,True
40g,compound,1362771960,0.1,0.0,1e-10,True
25g,row,769539383,0.1,0.0,1e-10,True
40g,row,769539383,0.1,0.0,1e-10,True
25g,row,1425370602,0.1,0.0,1e-10,True
40g,row,1425370602,0.1,0.0,1e-10,True
25g,row,536279090,0.1,0.0,1e-10,True
40g,row,536279090,0.1,0.0,1e-10,True
25g,row,2767143051,0.1,0.0,1e-10,True
40g,row,2767143051,0.1,0.0,1e-10,True
25g,row,1362771960,0.1,0.0,1e-10,True
40g,row,1362771960,0.1,0.0,1e-10,True
