column,protocol,seed,method,lambda_C,lambda_W,fold_scores,mean_cv_score,rank,selected
pooled_25g_40g,compound,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,0.1,0.1,"[0.5736237199072154, 0.49022922715816114, 0.4545934242247713, 0.4387874279129478, 0.38272624779075465]",0.46799200939877006,1,True
pooled_25g_40g,compound,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,0.01,0.01,"[0.5729083591347663, 0.4927956188689159, 0.4543068383825984, 0.43361726266243084, 0.3869957818178976]",0.4681247721733218,2,False
pooled_25g_40g,compound,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,0.0,0.0,"[0.5721689502898839, 0.49516790902537006, 0.4560225705615426, 0.43225442798108954, 0.3915677643413914]",0.4694363244398555,3,False
pooled_25g_40g,compound,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,1.0,1.0,"[0.5758665187808651, 0.497823875432664, 0.45697477890976695, 0.4442772001733611, 0.38323539489061914]",0.4716355536374553,4,False
pooled_25g_40g,compound,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,10.0,10.0,"[0.5788233395087665, 0.5156135391275175, 0.46147694466996203, 0.44922717578312166, 0.39237198700670917]",0.47950259721921534,5,False
pooled_25g_40g,compound,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,100.0,100.0,"[0.5818300228922612, 0.5259112210463109, 0.4656669196802723, 0.4534363248230255, 0.40003266729072195]",0.48537543114651827,6,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.1,0.01,"[0.5736498547753592, 0.49005922006566427, 0.45550691438198837, 0.4376619976928947, 0.3825792834051064]",0.4678914540642025,1,True
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.1,0.0,"[0.5737171851377268, 0.49022093465865035, 0.4561262129937961, 0.43714401604460845, 0.3826963829727538]",0.4679809463615071,2,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.1,0.1,"[0.5736237199072154, 0.49022922715816114, 0.4545934242247713, 0.4387874279129478, 0.38272624779075465]",0.46799200939877006,3,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.01,0.01,"[0.5729083591347663, 0.4927956188689159, 0.4543068383825984, 0.43361726266243084, 0.3869957818178976]",0.4681247721733218,4,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.01,0.0,"[0.572979110544335, 0.4928984430071327, 0.45482399917575594, 0.43299435050553486, 0.38701186596719966]",0.4681415538399916,5,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.1,1.0,"[0.5737309793045515, 0.4912290845334544, 0.4543850276248618, 0.4388395544041121, 0.38319985399189616]",0.46827689997177513,6,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.01,0.1,"[0.572880602199071, 0.493085069968072, 0.4535862526752652, 0.434926411953014, 0.38732498513837593]",0.46836066438675966,7,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.01,1.0,"[0.5729257681858154, 0.4940383996392593, 0.4534316255954145, 0.4349926329810649, 0.3878288118066828]",0.46864344764164745,8,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.1,10.0,"[0.574026938283714, 0.49320263981697177, 0.4546128207769071, 0.4388111435958375, 0.38384872685836163]",0.46890045386635837,9,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.01,10.0,"[0.5731579740508473, 0.49591474120499535, 0.45365428922925194, 0.43490933495678546, 0.3884680828751395]",0.46922088446340393,10,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.1,100.0,"[0.5742199617693163, 0.4940228318443554, 0.45485162759992126, 0.43903620206657057, 0.38419131599507367]",0.4692643878550474,11,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.0,0.0,"[0.5721689502898839, 0.49516790902537006, 0.4560225705615426, 0.43225442798108954, 0.3915677643413914]",0.4694363244398555,12,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.0,0.01,"[0.5721016378814289, 0.49510904132672195, 0.45558549229769657, 0.43294985611240727, 0.39163981005073945]",0.46947716753379876,13,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.01,100.0,"[0.573334820594829, 0.4967073791470429, 0.45389100175263647, 0.4351178725762922, 0.3888088406585518]",0.4695719829458705,14,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.0,0.1,"[0.5720850206829203, 0.49548690740887247, 0.4550170329514989, 0.4343913988563621, 0.3921278339682471]",0.4698216387735802,15,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.0,1.0,"[0.572117848763025, 0.49644509035674667, 0.454920375239023, 0.434498426379958, 0.3926819501004983]",0.47013273816785023,16,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.0,10.0,"[0.5723344847860034, 0.4982874893501952, 0.4551517305475482, 0.43440411727029327, 0.39331987498614884]",0.4706995393880377,17,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,1.0,0.01,"[0.5755633800820115, 0.49641764986318715, 0.4578555290512055, 0.44296690147964163, 0.38242054156896077]",0.4710448004090013,18,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.0,100.0,"[0.5725078914582576, 0.49906881427413363, 0.4553888458084829, 0.434606924303707, 0.393656913181823]",0.4710458778052808,19,False
