method,mean_rank,worst_context_relative_degradation,best_context_relative_improvement,wins_vs_old_hier,total_seed_contexts
CORRECTED_JOINT_FULL128,2.75,0.06564661038605712,0.057749156438735016,12,20
HIER_CW_SHARED_LAMBDA_CORRECTED,3.5,0.011307867507320157,0.015962715121298876,7,20
OLD_HIER_REFERENCE,3.75,0.0,-0.0,0,20
HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,4.0,0.012057717814971225,0.013987748082181173,7,20
HIER_CW_ENDPOINT_ALIGNED_CORRECTED,4.5,0.01993069947369852,0.016743395657543125,8,20
paper_style_current_v2,4.5,0.23371640332112498,0.08333140994078336,8,20
M3_CENTER_WIDTH_FULL,5.5,0.044705642371446475,-0.000842878302809158,7,20
conditional_EA,8.0,0.0911201765407117,-0.05362387466678831,1,20
scale_only,8.5,0.17753598157725925,-0.048090059103695015,0,20
