method,25g,40g,mean_nrmse
OLD_HIER_REFERENCE,0.7035534734307024,1.644238778677766,1.1738961260542342
HIER_CW_SHARED_LAMBDA_CORRECTED,0.7115091628925716,1.643075805274907,1.1772924840837393
HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.7120367226810727,1.6437382565802754,1.177887489630674
CORRECTED_JOINT_FULL128,0.7497393741867648,1.6098385201271483,1.1797889471569567
HIER_CW_ENDPOINT_ALIGNED_CORRECTED,0.7175757862733264,1.6442255367291114,1.180900661501219
M3_CENTER_WIDTH_FULL,0.7191444857435867,1.7177455294905979,1.2184450076170923
conditional_EA,0.7676613901355389,1.7665713618940835,1.2671163760148112
paper_style_current_v2,0.8679854607850108,1.7525430013242882,1.3102642310546495
scale_only,0.7981848238313379,1.9065499858937964,1.3523674048625671
