column,method,V1_rmse_mean_delta_vs_paper_style,V1_mae_mean_delta_vs_paper_style,V1_r2_mean_delta_vs_paper_style,V2_rmse_mean_delta_vs_paper_style,V2_mae_mean_delta_vs_paper_style,V2_r2_mean_delta_vs_paper_style
25g,P0,-0.13738395664968905,-0.08778916412993087,0.028953927783279043,-0.12484114896894027,-0.04217036480655434,0.013181192431355848
25g,P1,0.02263636152347459,-0.022723236610299402,-0.005260255518271861,-0.16493859847411763,-0.012677622286505041,0.015791981422281998
40g,P0,0.6359813555046543,0.7788491279061303,-0.026430655957624394,0.5066217472445249,0.4992815465977003,-0.01278731331154992
40g,P1,0.5468227099507885,0.605967653140806,-0.024083211900513102,0.44064754051580657,0.47825417487451993,-0.011909869138922335
