column,method,stage,inner_folds,best_at_protocol_ceiling,run_reached_protocol_ceiling,negative_last_20_slope,mean_best_epoch,mean_epochs_run,mean_last_20_slope,still_budget_censored
25g,P0,B,25,0,1,1,180.76,258.88,0.00017771055784650662,False
25g,P1,A,25,25,25,25,500.0,500.0,-0.001261271169548176,True
25g,P1,B,25,0,1,2,92.0,168.96,0.00038002337707096907,False
40g,P0,B,25,1,2,0,237.64,312.4,0.00012710280664407213,False
40g,P1,A,25,25,25,25,500.0,500.0,-0.0009124090178303598,True
40g,P1,B,25,0,1,0,165.12,242.32,0.00013891377879603485,False
