column,outer_seed,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,historical_source_normalized_rmse
25g,536279090,9.110250888056642,4.7527877499999995,-0.1459110314714928,13.812179174374368,7.042253756756756,0.2826458777768776,1.0185480329463346
25g,769539383,7.101146141570601,4.545999385542169,0.5315126196096889,9.190250155537898,6.66714374698795,0.6699413284459579,0.7546365488755138
25g,1362771960,5.660511443624723,3.9586068895348823,0.6375759461294832,9.03777499935986,6.132694337209302,0.6810938832002287,0.645016960807611
25g,1425370602,8.56166080484622,4.450382432432432,0.0848929412572639,13.86206830590979,7.608212445945945,0.3381393714920745,0.9808366930977654
25g,2767143051,6.610322984583623,4.599930156626506,0.6367708767031357,9.654902498891754,7.38536873493976,0.6528498853688851,0.7295346014251538
40g,536279090,10.1090557260625,7.716983490000001,0.8263401192293771,15.201236769767034,10.58797157,0.7968409113176415,1.1269398156904662
40g,769539383,14.474785851485745,7.819261609195403,0.6147971867377771,15.96134711515464,10.290737839080458,0.7595220564007742,1.4765203362717212
40g,1362771960,14.114413126354629,8.084523586206894,0.7355999871697524,16.287930074417332,11.039848701149424,0.8310931380784737,1.4551699947618149
40g,1425370602,16.028232200156882,8.767093364583333,0.631382310742739,19.06873193872977,11.788728020833332,0.7660251233169535,1.665017282696797
40g,2767143051,10.819079198636862,7.548342322222221,0.7963631154332349,12.964650574050788,9.507497611111113,0.8325093248831462,1.125960162248946
