column,outer_seed,method,inner_fold,stage,n_inner_train,n_inner_validation,inner_train_group_hash,inner_validation_group_hash,best_epoch,epochs_run,validation_score,last_20_validation_slope,train_loss,parameter_drift,bn_buffer_drift,trainable_parameter_count,quantile_crossing_count,runtime_seconds,inner_validation_combined_nrmse,epoch_150_validation_score,epoch_300_validation_score,epoch_500_validation_score
40g,769539383,P1,2,B,291,73,0680160bd9bef42279aded972a8c883511b991f8d528126de6998d91f0f38fb6,906038285ff567c5cd44effc45ee1308afc7d12a5a9890e6ea5419f3de921033,94,174,0.6485999925016659,5.050420394642178e-05,258.869140625,1.6961402714866305,94.07371150018112,36387,5,381.48976612091064,0.6485999925016659,0.6502552064054943,,
40g,769539383,P0,3,B,291,73,09adfcfb7dcaa9582b7fd28ea0c3c129598199924a030ab7ce9f643bcabe7dfd,e0f01dbb6f597c9e2f4fd18b5d1960a2fd8fd1aeba8216464652bf7a4460ad6d,198,278,0.5410063441070417,0.0002878092071477,263.448974609375,2.309066384627972,198.05410383826984,36387,13,615.5756049156189,0.5410063441070417,0.5772270587676952,,
40g,769539383,P1,3,A,291,73,09adfcfb7dcaa9582b7fd28ea0c3c129598199924a030ab7ce9f643bcabe7dfd,e0f01dbb6f597c9e2f4fd18b5d1960a2fd8fd1aeba8216464652bf7a4460ad6d,500,500,1.602062396585479,-0.0010053656197687,4205.5224609375,1.3253653346256318,0.0,774,3,1211.010943889618,1.602062396585479,1.9877576427700452,1.813721258259305,1.602062396585479
40g,769539383,P1,3,B,291,73,09adfcfb7dcaa9582b7fd28ea0c3c129598199924a030ab7ce9f643bcabe7dfd,e0f01dbb6f597c9e2f4fd18b5d1960a2fd8fd1aeba8216464652bf7a4460ad6d,127,207,0.5176766212160312,0.0002581331702744,271.8866882324219,1.7726282292644675,127.0657982930572,36387,1,436.7512159347534,0.5176766212160312,0.5187493059306217,,
40g,769539383,P0,4,B,291,73,a80701fc1b7ee83e448f28081ffc5348bc6ea7d7d08461dd019086e964335dd2,fd791353e1b52b29a8f79422f1309efe291fcb2965136201dd9099c546de839a,285,365,0.4530590754150005,2.6256688173884293e-05,232.94021606445312,2.6239086924009434,285.050051249426,36387,0,754.3312032222748,0.4530590754150005,0.4910979389196478,0.453221142077973,
40g,769539383,P1,4,A,291,73,a80701fc1b7ee83e448f28081ffc5348bc6ea7d7d08461dd019086e964335dd2,fd791353e1b52b29a8f79422f1309efe291fcb2965136201dd9099c546de839a,500,500,1.3241328175091307,-0.0008908966130616,4477.54150390625,1.3337505590858647,0.0,774,5,1047.270123004913,1.3241328175091307,1.6697643723246598,1.5129673725443558,1.3241328175091307
40g,769539383,P1,4,B,291,73,a80701fc1b7ee83e448f28081ffc5348bc6ea7d7d08461dd019086e964335dd2,fd791353e1b52b29a8f79422f1309efe291fcb2965136201dd9099c546de839a,114,194,0.4435514321042888,7.227853088246904e-05,298.2890319824219,1.7613757601988829,114.06349692967184,36387,3,390.70605397224426,0.4435514321042888,0.4464590677918438,,
40g,769539383,P0,5,B,292,72,b8f96bcf57664448a1a73266efba3d94d9e5779cec9b7c5c17130273832a9e6b,fa5043ddb349122300250fc09981138f0549faed8defad1fbc9254d6a99c765b,244,324,0.4482940260514579,4.793948113036996e-05,260.1455078125,2.4824502686221757,244.05816116286124,36387,1,653.5421087741852,0.4482940260514579,0.5007339775001666,0.4499327334160833,
40g,769539383,P1,5,A,292,72,b8f96bcf57664448a1a73266efba3d94d9e5779cec9b7c5c17130273832a9e6b,fa5043ddb349122300250fc09981138f0549faed8defad1fbc9254d6a99c765b,500,500,1.333396966430013,-0.0008712667945678,4508.333984375,1.328458179027117,0.0,774,7,732.6595132350922,1.333396966430013,1.6704821906005525,1.5177559829369125,1.333396966430013
40g,769539383,P1,5,B,292,72,b8f96bcf57664448a1a73266efba3d94d9e5779cec9b7c5c17130273832a9e6b,fa5043ddb349122300250fc09981138f0549faed8defad1fbc9254d6a99c765b,191,271,0.4440825314730888,7.419913260640128e-05,246.63861083984375,1.9887427577763184,191.05586204440752,36387,0,375.0567047595978,0.4440825314730888,0.4457722747673806,,
40g,1425370602,P0,1,B,283,71,63dcde3a538474288debbc69395e9064e2540ba703923444818f5242aa3e2a70,0543ba120a397e23b7640f10ba82308e0f6d2f0d127571739417a529b4afca5f,277,357,0.410335700285218,0.0001047984761033,228.56443786621097,2.579464464941792,277.0504813553078,36387,1,715.8109860420227,0.410335700285218,0.4965197608219471,0.4109429144935083,
40g,1425370602,P1,1,A,283,71,63dcde3a538474288debbc69395e9064e2540ba703923444818f5242aa3e2a70,0543ba120a397e23b7640f10ba82308e0f6d2f0d127571739417a529b4afca5f,500,500,1.452582557866715,-0.0009453685602718,4319.8271484375,1.3296743093636485,0.0,774,5,1000.5547552108764,1.452582557866715,1.8158788224344695,1.651892225403132,1.452582557866715
40g,1425370602,P1,1,B,283,71,63dcde3a538474288debbc69395e9064e2540ba703923444818f5242aa3e2a70,0543ba120a397e23b7640f10ba82308e0f6d2f0d127571739417a529b4afca5f,206,286,0.3938258587275134,5.1578070733163094e-05,226.83416748046875,2.030782682012055,206.0468625749691,36387,0,569.3129150867462,0.3938258587275134,0.3992737544729841,,
40g,1425370602,P0,2,B,283,71,f50bb8736b57dd53bcff6aa79211a3be842d8c420cb28a6fe19ebe74d0d42b88,83e28d93ca666965e235e2b127cd31429e660e2d9c3c0708a332db58b296363f,200,280,0.4176285919318372,0.0001021879840183,262.5299072265625,2.4153643680413333,200.05290168635213,36387,14,538.202241897583,0.4176285919318372,0.4580469387488658,,
40g,1425370602,P1,2,A,283,71,f50bb8736b57dd53bcff6aa79211a3be842d8c420cb28a6fe19ebe74d0d42b88,83e28d93ca666965e235e2b127cd31429e660e2d9c3c0708a332db58b296363f,500,500,1.2145158767716504,-0.0009086613822894,4562.271484375,1.3380187220403328,0.0,774,6,949.9335041046144,1.2145158767716504,1.5664039768901596,1.4069533535777132,1.2145158767716504
40g,1425370602,P1,2,B,283,71,f50bb8736b57dd53bcff6aa79211a3be842d8c420cb28a6fe19ebe74d0d42b88,83e28d93ca666965e235e2b127cd31429e660e2d9c3c0708a332db58b296363f,145,225,0.4185732170856677,9.14310033035965e-05,256.33795166015625,1.8702586325460329,145.05509231468983,36387,0,428.7911741733551,0.4185732170856677,0.4186303603737545,,
40g,1425370602,P0,3,B,283,71,eda4563aa878d22f9e68ad7c7997652dffe41fe52bcebf4ae41ae1237d5dd20d,d3900f0aeb247a82db441a1a52c20fa0b34d82cbeb300699e24e66aa1d8ff916,214,294,0.5780618985353223,0.0001797707328732,233.11038208007812,2.4204870445635933,214.0536491446547,36387,14,621.2508060932159,0.5780618985353223,0.6400283621610078,,
40g,1425370602,P1,3,A,283,71,eda4563aa878d22f9e68ad7c7997652dffe41fe52bcebf4ae41ae1237d5dd20d,d3900f0aeb247a82db441a1a52c20fa0b34d82cbeb300699e24e66aa1d8ff916,500,500,1.4230030094258777,-0.0008770232514386,4406.1572265625,1.3378531885826384,0.0,774,10,1074.4846787452698,1.4230030094258777,1.7619543585530144,1.6084946797262905,1.4230030094258777
40g,1425370602,P1,3,B,283,71,eda4563aa878d22f9e68ad7c7997652dffe41fe52bcebf4ae41ae1237d5dd20d,d3900f0aeb247a82db441a1a52c20fa0b34d82cbeb300699e24e66aa1d8ff916,96,176,0.5353941809652825,0.0002288126837225,267.6624450683594,1.7186628795934653,96.06959183872368,36387,3,411.8071548938751,0.5353941809652825,0.5423225211480108,,
40g,1425370602,P0,4,B,283,71,0211354719137e89997f55052ca0201c2938c691073f374fc2d4eef02ba62786,15b1722d5f55a79956c6666c9b7726c17b4cae354834df4831d5346c67e58bbb,199,279,0.6323829289252603,0.0001421144775709,190.05560302734375,2.3698220811565545,199.05835201427135,36387,15,682.4442601203918,0.6323829289252603,0.6680817471251093,,
40g,1425370602,P1,4,A,283,71,0211354719137e89997f55052ca0201c2938c691073f374fc2d4eef02ba62786,15b1722d5f55a79956c6666c9b7726c17b4cae354834df4831d5346c67e58bbb,500,500,1.453284489733779,-0.0009026358750375,4330.32177734375,1.334274841928304,0.0,774,1,1037.165591955185,1.453284489733779,1.8034232112604365,1.6445814383959627,1.453284489733779
40g,1425370602,P1,4,B,283,71,0211354719137e89997f55052ca0201c2938c691073f374fc2d4eef02ba62786,15b1722d5f55a79956c6666c9b7726c17b4cae354834df4831d5346c67e58bbb,105,185,0.6253856062273274,8.399607878050157e-05,207.635986328125,1.73940404666109,105.07325307676808,36387,3,379.7299382686615,0.6253856062273274,0.6290650363739262,,
40g,1425370602,P0,5,B,284,70,07e33887f717d1dab54c0a4905050bd27854b9134eeb24b56db6b81d83684943,9c15b955ea143249be9f4ef79f4d06242dd77c520c49039881322b7830bb0085,159,239,0.6596972900316109,0.0002974419888539,241.52410888671875,2.1149210691268236,159.06442836049737,36387,28,514.3471212387085,0.6596972900316109,0.6615561094316184,,
40g,1425370602,P1,5,A,284,70,07e33887f717d1dab54c0a4905050bd27854b9134eeb24b56db6b81d83684943,9c15b955ea143249be9f4ef79f4d06242dd77c520c49039881322b7830bb0085,500,500,1.6240535232817594,-0.001001372181756,4083.5771484375,1.3270110444451133,0.0,774,0,1026.7902719974518,1.6240535232817594,2.0079438496668405,1.8348513223522556,1.6240535232817594
40g,1425370602,P1,5,B,284,70,07e33887f717d1dab54c0a4905050bd27854b9134eeb24b56db6b81d83684943,9c15b955ea143249be9f4ef79f4d06242dd77c520c49039881322b7830bb0085,44,124,0.6417149091974247,0.0003616576150185,285.6002197265625,1.5332216562550265,44.142098539619994,36387,7,239.76849102973935,0.6417149091974247,,,
40g,536279090,P0,1,B,278,70,1169f940b9f47b89c3fde0d24abcd8aea7ecfbe192142a825e61e48113856755,6708ec0bf313fb67db5df4d1178bb79229526e260167c43439626f842cd99aef,225,305,0.711278597624325,8.59913652967487e-05,228.12203979492188,2.4419342092069076,225.04894715266065,36387,7,597.9111449718475,0.711278597624325,0.7669454271607511,0.7162361867928829,
40g,536279090,P1,1,A,278,70,1169f940b9f47b89c3fde0d24abcd8aea7ecfbe192142a825e61e48113856755,6708ec0bf313fb67db5df4d1178bb79229526e260167c43439626f842cd99aef,500,500,1.6256823166177137,-0.0010000048620786,4217.12939453125,1.329086282601629,0.0,774,4,976.9209537506104,1.6256823166177137,2.0123271278448787,1.8372321118278456,1.6256823166177137
40g,536279090,P1,1,B,278,70,1169f940b9f47b89c3fde0d24abcd8aea7ecfbe192142a825e61e48113856755,6708ec0bf313fb67db5df4d1178bb79229526e260167c43439626f842cd99aef,109,189,0.6924493600501457,9.099609866871776e-05,267.7060852050781,1.739338490509417,109.06366872079292,36387,3,365.6640520095825,0.6924493600501457,0.6937984033615673,,
40g,536279090,P0,2,B,278,70,28efed75b35d500efdfbd6fd46448c4f54c02679c6749d8a5ab9c0535d6a159a,780b96c4f52d4b75dc65ad014f33291f2910a75b39bd6acbe59a138df524f23c,255,335,0.6088581885134442,6.260206028142725e-05,232.50607299804688,2.5464878703006257,255.0562812759353,36387,3,663.9414467811584,0.6088581885134442,0.6910181269809829,0.6096158068810437,
