column,candidate,reference,metric,mean_paired_delta,std_paired_delta,median_paired_delta,seed_wins,n,relative_improvement_percent
25g,P1,P0,V1_rmse,0.16002031817316292,0.30134330875926557,0.18050589149969376,1,5,-2.200682664978282
25g,P1,P0,V1_mae,0.06506592751963165,0.16014767390657986,0.1078731621621607,1,5,-1.4876455079935693
25g,P1,P0,V1_r2,-0.034214183301550995,0.05475271156329838,-0.03883696446883589,4,5,
25g,P1,P0,V2_rmse,-0.040097449505177706,0.23101800210317064,-0.055767564077966014,3,5,0.3649670676007535
25g,P1,P0,V2_mae,0.029492742520049298,0.16658303446930653,0.057439879518073056,2,5,-0.425890177909674
25g,P1,P0,V2_r2,0.0026107889909262384,0.016443413906607324,0.005030198132709107,2,5,
25g,P1,P0,combined_normalized_rmse,0.007359030312585868,0.019830459802905088,0.010255962792801054,2,5,-1.1011171596343872
25g,P1,P0,combined_source_normalized_rmse,0.010394644324277747,0.025722667688769383,0.013933540998781746,2,5,-1.2791777663281876
40g,P1,P0,V1_rmse,-0.08915864555386648,0.3116004425427173,-0.17236693252589497,3,5,0.6486579270924706
40g,P1,P0,V1_mae,-0.17288147476532584,0.3776232812095088,-0.2809822500000001,3,5,1.9721617587661702
40g,P1,P0,V1_r2,0.0023474440571112478,0.014176244027681447,0.006129280308629137,2,5,
40g,P1,P0,V2_rmse,-0.0659742067287219,0.35107022597246385,-0.10573471912864818,4,5,0.40219834021695944
40g,P1,P0,V2_mae,-0.021027371723180012,0.36121482552198764,0.02070148958333462,2,5,0.18871766306195797
40g,P1,P0,V2_r2,0.0008774441726276727,0.010025882420924477,0.002750146635838613,1,5,
40g,P1,P0,combined_normalized_rmse,-0.002712801239660201,0.009955458844532142,-0.004450864182151459,3,5,0.5678003133039374
40g,P1,P0,combined_source_normalized_rmse,-0.008454314544461638,0.03073195917342549,-0.015119907964787682,3,5,0.5913060090767783
