outer_seed,method,new_fit_count,reused_round0_fit_count,new_training_seconds,reused_round0_historical_training_seconds,new_gradient_extraction_count,reused_round0_gradient_count,new_gradient_seconds,reused_round0_historical_gradient_seconds,selector_seconds,latent_seconds,fusion_seconds,latent_seconds_status,fusion_seconds_status,new_training_plus_gradient_plus_selector_seconds
157,gradient_latent_fusion_maxdet,21,1,10178.343599249027,235.10733525000975,20,1,1619.8976297929185,125.45757037500152,3.6985244968673205,,,NOT_CLOCKED_IN_FROZEN_RUN,NOT_CLOCKED_IN_FROZEN_RUN,11801.939753538813
6101,gradient_latent_fusion_maxdet,21,1,7625.510997625184,291.06843587500043,20,1,1886.207548083854,104.41058604198042,4.14081978809554,,,NOT_CLOCKED_IN_FROZEN_RUN,NOT_CLOCKED_IN_FROZEN_RUN,9515.859365497134
