outer_seed,method,training_seconds,gradient_seconds,latent_seconds,fusion_seconds,selector_seconds
157,gradient_latent_fusion_maxdet,10413.450934499037,1745.35520016792,0.0,0.0,3.6985244968673214
6101,gradient_latent_fusion_maxdet,7916.579433500185,1990.6181341258343,0.0,0.0,4.140819788095541
