outer_seed,source_round,intersection_count,overlap_fraction
157,0,24,0.75
157,1,13,0.40625
157,2,10,0.3125
157,3,3,0.09375
157,4,5,0.15625
157,5,6,0.1875
157,6,6,0.1875
157,7,8,0.25
157,8,8,0.25
157,9,5,0.15625
157,10,7,0.21875
157,11,4,0.125
157,12,1,0.03125
157,13,3,0.09375
157,14,4,0.125
157,15,0,0.0
157,16,1,0.03125
157,17,2,0.0625
157,18,2,0.0625
157,19,0,0.0
157,20,3,0.09375
6101,0,22,0.6875
6101,1,6,0.1875
6101,2,4,0.125
6101,3,3,0.09375
6101,4,5,0.15625
6101,5,3,0.09375
6101,6,3,0.09375
6101,7,1,0.03125
6101,8,3,0.09375
6101,9,4,0.125
6101,10,6,0.1875
6101,11,3,0.09375
6101,12,4,0.125
6101,13,7,0.21875
6101,14,7,0.21875
6101,15,0,0.0
6101,16,5,0.15625
6101,17,0,0.0
6101,18,0,0.0
6101,19,1,0.03125
6101,20,1,0.03125
