outer_seed,method,phase,start_labels,stop_labels,normalized_nrmse_aulc
157,gradient_latent_fusion_maxdet,early,333,525,0.6590383362264903
157,gradient_latent_fusion_maxdet,middle,525,653,0.5255448392510875
157,gradient_latent_fusion_maxdet,late,653,1005,0.5030012993509367
157,gradient_maxdet,early,333,525,0.6460024073719759
157,gradient_maxdet,middle,525,653,0.5146502419490232
157,gradient_maxdet,late,653,1005,0.4893946287504374
6101,gradient_latent_fusion_maxdet,early,333,525,0.8229923155681216
6101,gradient_latent_fusion_maxdet,middle,525,653,0.7568066050254216
6101,gradient_latent_fusion_maxdet,late,653,1005,0.6185166536306264
6101,gradient_maxdet,early,333,525,0.8057823140076869
6101,gradient_maxdet,middle,525,653,0.7320079910672544
6101,gradient_maxdet,late,653,1005,0.6357095255947433
