dataset,effective_group_id,canonical_smiles,PE/EA,rows,distinct_loading_conditions,ignored_loading_conditions_differ,V1_range,V2_range
4g,cad8b3f2d0f5ad59,Brc1ccc2c(c1)OCO2,0/1,2,2,True,0.008333333333333304,0.3250000000000002
4g,ae83071643ac23db,Brc1ccc2c(c1)OCO2,1/1,3,3,True,1.1416666666666666,0.6916666666666664
4g,4391e60999dc36f3,Brc1ccc2c(c1)OCO2,10/1,3,3,True,1.208333333333333,1.125
4g,7f1271a297af6755,Brc1ccc2c(c1)OCO2,2/1,3,3,True,1.25,0.31666666666666643
4g,fedceb57deacba88,Brc1ccc2c(c1)OCO2,20/1,3,3,True,1.158333333333334,0.75
4g,d79a57624dc5bf2a,Brc1ccc2c(c1)OCO2,5/1,3,3,True,1.216666666666666,0.5250000000000004
4g,253de023981d012c,Brc1ccc2c(c1)OCO2,50/1,3,3,True,1.1916666666666664,0.43333333333333357
4g,5db09e1553f48b73,Brc1ccc2ccccc2c1,0/1,3,3,True,0.37499999999999956,1.7750000000000004
4g,dbdcde8180241c70,Brc1ccc2ccccc2c1,1/1,3,3,True,1.3499999999999996,1.516666666666664
4g,c23412b300c2ff1d,Brc1ccc2ccccc2c1,10/1,3,3,True,0.3583333333333334,2.383333333333333
4g,6210dfb455ee2b5d,Brc1ccc2ccccc2c1,2/1,3,3,True,1.6166666666666663,0.4416666666666682
4g,16fc73c6d859c076,Brc1ccc2ccccc2c1,20/1,3,3,True,1.1083333333333334,1.3416666666666668
4g,745b35ad2c00f155,Brc1ccc2ccccc2c1,5/1,3,3,True,0.35000000000000053,1.9333333333333318
4g,c92155243fbea88e,Brc1ccc2ccccc2c1,50/1,3,3,True,1.0583333333333336,0.8416666666666668
4g,ee31a089e0b12090,Brc1ccc2occc2c1,0/1,3,3,True,0.375,1.9083333333333314
4g,70736359358d81db,Brc1ccc2occc2c1,1/1,3,3,True,1.0999999999999996,3.591666666666667
4g,5d44689cc2df24c3,Brc1ccc2occc2c1,10/1,3,3,True,1.0250000000000004,7.824999999999999
4g,0a3f4b0e2fdd582c,Brc1ccc2occc2c1,2/1,3,3,True,1.041666666666667,4.458333333333332
4g,873d5988e6663a71,Brc1ccc2occc2c1,20/1,3,3,True,1.25,2.8499999999999996
4g,eb8dfa645ee41668,Brc1ccc2occc2c1,5/1,3,3,True,1.041666666666666,4.608333333333334
4g,07456433990ab3b8,Brc1ccc2occc2c1,50/1,3,3,True,1.1083333333333334,3.525000000000002
4g,e158528212394f72,Brc1ccccc1-c1ccccc1,0/1,6,6,True,0.5666666666666664,2.658333333333334
4g,8b47edfad80eef24,Brc1ccccc1-c1ccccc1,1/1,6,6,True,1.5583333333333336,2.5
4g,40287e0d3e62f387,Brc1ccccc1-c1ccccc1,10/1,6,6,True,1.6583333333333332,2.75
4g,c39da5b2fef05e43,Brc1ccccc1-c1ccccc1,2/1,6,6,True,1.3666666666666671,2.033333333333333
4g,75887d918e199272,Brc1ccccc1-c1ccccc1,20/1,6,6,True,1.6749999999999998,4.891666666666666
4g,1f643430a8737294,Brc1ccccc1-c1ccccc1,5/1,6,6,True,1.6333333333333329,3.033333333333333
4g,7e4baba6598818cd,Brc1ccccc1-c1ccccc1,50/1,6,6,True,1.6833333333333336,1.25
4g,29b265a8f2ba31bd,C(=C/c1ccccc1)\c1ccccc1,0/1,3,3,True,1.375,6.741666666666667
4g,1c07e398de4b44be,C(=C/c1ccccc1)\c1ccccc1,1/1,3,3,True,1.2249999999999996,0.6833333333333336
4g,4a284e4b444980f1,C(=C/c1ccccc1)\c1ccccc1,10/1,3,3,True,1.3249999999999993,0.8833333333333311
4g,7bac8109703dd65d,C(=C/c1ccccc1)\c1ccccc1,2/1,3,3,True,1.2416666666666663,1.1333333333333329
4g,634c629e457195aa,C(=C/c1ccccc1)\c1ccccc1,20/1,3,3,True,1.25,0.9749999999999996
4g,98b9720bccc04db4,C(=C/c1ccccc1)\c1ccccc1,5/1,3,3,True,1.375,1.0999999999999996
4g,2e09d462dd59774d,C(=C/c1ccccc1)\c1ccccc1,50/1,3,3,True,1.1583333333333332,0.45000000000000107
4g,ccefb461544d916d,C/C(=N\O)c1ccccc1,0/1,3,3,True,1.408333333333334,1.708333333333334
4g,525e9be154bdfad5,C/C(=N\O)c1ccccc1,1/1,3,3,True,0.9333333333333336,0.40833333333333144
4g,71bef92fc1ea46b2,C/C(=N\O)c1ccccc1,10/1,3,3,True,0.44166666666666643,1.8666666666666671
4g,a8e9994ea3dca6ea,C/C(=N\O)c1ccccc1,2/1,3,3,True,1.1083333333333334,1.7333333333333325
4g,1a9317896ec2593c,C/C(=N\O)c1ccccc1,20/1,3,3,True,4.2500000000000036,0.38333333333333286
4g,150be46a007f7eed,C/C(=N\O)c1ccccc1,5/1,2,2,True,0.24166666666666625,0.14166666666666572
4g,edfcd0a2799a3e38,C/C(=N\O)c1ccccc1,50/1,2,2,True,5.541666666666664,1.2000000000000028
4g,e878ddb40431cde1,C1=Cc2ccccc2C1,0/1,4,2,True,1.520833333333333,1.0875000000000004
