column,seed,method,endpoint,retention_quintile,n,rmse,mae,mean_signed_error,sse_share,top10_retention_sse_share,top20_retention_sse_share
25g,769539383,OLD_HIER_REFERENCE,V1,1,17,8.142706007667185,3.784754201654539,2.4651709865127867,0.2571034065374923,0.2431309787245439,0.2571034065374923
25g,769539383,OLD_HIER_REFERENCE,V1,2,17,5.427194019459492,3.628291497341421,2.122274149270136,0.11421444047076337,0.2431309787245439,0.2571034065374923
25g,769539383,OLD_HIER_REFERENCE,V1,3,17,5.445540879612348,3.3998658675481326,2.7019155327277886,0.11498795926618786,0.2431309787245439,0.2571034065374923
25g,769539383,OLD_HIER_REFERENCE,V1,4,16,5.030817441097877,4.2695951647316965,-2.72788281969897,0.09236735303001942,0.2431309787245439,0.2571034065374923
25g,769539383,OLD_HIER_REFERENCE,V1,5,16,10.744565857356328,9.082125428034699,-9.082125428034699,0.4213268406955373,0.2431309787245439,0.2571034065374923
25g,769539383,OLD_HIER_REFERENCE,V2,1,17,4.054923168801222,3.0992282635218342,1.07041103055524,0.03713529983897145,0.010732374074120204,0.03713529983897145
25g,769539383,OLD_HIER_REFERENCE,V2,2,17,4.799475887554429,4.041076219012975,1.64344100881838,0.05202466634377676,0.010732374074120204,0.03713529983897145
25g,769539383,OLD_HIER_REFERENCE,V2,3,17,8.831485146015169,6.809032965148968,0.7577602576056558,0.1761526418699638,0.010732374074120204,0.03713529983897145
25g,769539383,OLD_HIER_REFERENCE,V2,4,16,9.490812360894092,7.683135214798311,0.33364300450062023,0.19146945937243623,0.010732374074120204,0.03713529983897145
25g,769539383,OLD_HIER_REFERENCE,V2,5,16,15.986032106240225,13.0957196137992,-9.03841359979232,0.5432179325748517,0.010732374074120204,0.03713529983897145
25g,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,V1,1,17,7.8951000189979,3.5805386626689533,2.7041744215657086,0.24551149965359426,0.23177740639017114,0.24551149965359426
25g,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,V1,2,17,5.201637354529409,3.563972374086301,2.610659611674013,0.10657042765618646,0.23177740639017114,0.24551149965359426
25g,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,V1,3,17,5.384936581966669,3.488791823751187,3.0584171535051947,0.11421358211300776,0.23177740639017114,0.24551149965359426
25g,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,V1,4,16,4.616184968223301,3.9879994647765926,-2.510166245119919,0.07899398675526988,0.23177740639017114,0.24551149965359426
25g,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,V1,5,16,11.075253596729723,9.682292041131323,-9.682292041131323,0.4547105038219416,0.23177740639017114,0.24551149965359426
25g,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,V2,1,17,3.8811329616674777,3.019021782608265,1.898345489556144,0.03470861670901486,0.007710338724155957,0.03470861670901486
25g,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,V2,2,17,5.199031758083356,4.16626629897912,2.714187676006383,0.0622823805232177,0.007710338724155957,0.03470861670901486
25g,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,V2,3,17,8.484133278818385,6.597079277287632,1.407419607991491,0.1658575430323712,0.007710338724155957,0.03470861670901486
25g,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,V2,4,16,8.896153023365068,7.1937254073076815,0.11178365632284093,0.1716310318562716,0.007710338724155957,0.03470861670901486
25g,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,V2,5,16,16.148362372618287,13.2130472454504,-10.114603960635844,0.5655204278791245,0.007710338724155957,0.03470861670901486
25g,769539383,CORRECTED_JOINT_FULL128,V1,1,17,8.18838182965838,4.125080354407705,3.2159128526857677,0.23644884280638995,0.22817940563301015,0.23644884280638995
25g,769539383,CORRECTED_JOINT_FULL128,V1,2,17,4.508181956618266,3.2362752595853967,0.8968381074215861,0.07167107095613404,0.22817940563301015,0.23644884280638995
25g,769539383,CORRECTED_JOINT_FULL128,V1,3,17,4.740849466776133,2.9765751094087305,2.27437832469743,0.07925986940266305,0.22817940563301015,0.23644884280638995
25g,769539383,CORRECTED_JOINT_FULL128,V1,4,16,5.040595048322833,4.4423682314604065,-0.8136460286251905,0.08432875707470948,0.22817940563301015,0.23644884280638995
25g,769539383,CORRECTED_JOINT_FULL128,V1,5,16,12.616263582978801,10.848944713579966,-10.694779828095756,0.5282914597601033,0.22817940563301015,0.23644884280638995
25g,769539383,CORRECTED_JOINT_FULL128,V2,1,17,5.532758758368529,4.670648158241189,2.41898030011336,0.06919405167766315,0.036591785726536215,0.06919405167766315
25g,769539383,CORRECTED_JOINT_FULL128,V2,2,17,4.503013555937277,3.543323121561713,1.6661697760997725,0.045834426500919276,0.036591785726536215,0.06919405167766315
25g,769539383,CORRECTED_JOINT_FULL128,V2,3,17,9.257063646890899,7.561102271367004,2.359333743015345,0.19370096857988978,0.036591785726536215,0.06919405167766315
25g,769539383,CORRECTED_JOINT_FULL128,V2,4,16,8.055200233797548,6.949880405768218,-0.7733740911571862,0.1380412982512486,0.036591785726536215,0.06919405167766315
25g,769539383,CORRECTED_JOINT_FULL128,V2,5,16,16.125915945734732,13.505888071811889,-10.521874287116031,0.5532292549902792,0.036591785726536215,0.06919405167766315
25g,769539383,BALANCED_JOINT_FULL128,V1,1,17,8.027137138443594,3.560266214095198,2.9421691258779568,0.24333211644020666,0.23254720226068992,0.24333211644020666
25g,769539383,BALANCED_JOINT_FULL128,V1,2,17,4.288689171557133,3.2034504490263638,1.3762074813207423,0.06945878957175021,0.23254720226068992,0.24333211644020666
25g,769539383,BALANCED_JOINT_FULL128,V1,3,17,3.980881378097787,2.914867015941228,2.231000533742802,0.05984619475960382,0.23254720226068992,0.24333211644020666
25g,769539383,BALANCED_JOINT_FULL128,V1,4,16,5.033970604824834,4.278163127032922,-1.2534466763548398,0.09006799185404431,0.23254720226068992,0.24333211644020666
25g,769539383,BALANCED_JOINT_FULL128,V1,5,16,12.295092414216706,10.545656938825287,-10.545656938825287,0.5372949073743948,0.23254720226068992,0.24333211644020666
25g,769539383,BALANCED_JOINT_FULL128,V2,1,17,4.585041356209096,3.7672759149821182,2.0195988028412435,0.04876536348473224,0.020390090259273356,0.04876536348473224
25g,769539383,BALANCED_JOINT_FULL128,V2,2,17,4.602165575699483,3.8122178801389985,1.4701165363260118,0.04913030160892297,0.020390090259273356,0.04876536348473224
25g,769539383,BALANCED_JOINT_FULL128,V2,3,17,9.320316652470568,7.933144269073972,2.0316253163104534,0.20150521309535707,0.020390090259273356,0.04876536348473224
25g,769539383,BALANCED_JOINT_FULL128,V2,4,16,7.917524252465512,6.704106540801066,-0.5235661301252397,0.13685945843008784,0.020390090259273356,0.04876536348473224
25g,769539383,BALANCED_JOINT_FULL128,V2,5,16,16.06909024216104,13.32506513122394,-11.08135674223033,0.5637396633808999,0.020390090259273356,0.04876536348473224
25g,769539383,A2_HIER_SHRINK_ORIGINAL,V1,1,17,7.986543151411051,3.686874775929232,2.9600436371257386,0.2476793796361477,0.23759184592934016,0.2476793796361477
25g,769539383,A2_HIER_SHRINK_ORIGINAL,V1,2,17,4.355234763177582,3.074111630948569,1.7537488595477997,0.07365382512010983,0.23759184592934016,0.2476793796361477
25g,769539383,A2_HIER_SHRINK_ORIGINAL,V1,3,17,5.001414272017245,3.192446875099689,2.6663977391013125,0.09713099203396267,0.23759184592934016,0.2476793796361477
25g,769539383,A2_HIER_SHRINK_ORIGINAL,V1,4,16,4.65042747102043,4.0240074248730355,-1.6619061368725547,0.07903673264404373,0.23759184592934016,0.2476793796361477
25g,769539383,A2_HIER_SHRINK_ORIGINAL,V1,5,16,11.725895450857134,10.18853593461354,-10.18853593461354,0.5024990705657363,0.23759184592934016,0.2476793796361477
25g,769539383,A2_HIER_SHRINK_ORIGINAL,V2,1,17,4.036475396315851,3.0839566912497878,2.1586628948347526,0.03933627858738502,0.017571408463882915,0.03933627858738502
25g,769539383,A2_HIER_SHRINK_ORIGINAL,V2,2,17,4.6929491845941005,3.7773697403895046,2.1901787260530776,0.05317167665887493,0.017571408463882915,0.03933627858738502
25g,769539383,A2_HIER_SHRINK_ORIGINAL,V2,3,17,8.57968497836457,7.052454969490704,1.8833766755034185,0.17771796675904306,0.017571408463882915,0.03933627858738502
25g,769539383,A2_HIER_SHRINK_ORIGINAL,V2,4,16,7.978045280296156,6.784650492235057,-0.3307952174171729,0.1446281086266851,0.017571408463882915,0.03933627858738502
25g,769539383,A2_HIER_SHRINK_ORIGINAL,V2,5,16,16.04731037209954,13.126181164931573,-10.318239123875937,0.5851459693680118,0.017571408463882915,0.03933627858738502
25g,769539383,A3_HIER_SHRINK_BALANCED,V1,1,17,8.027137138443594,3.560266214095198,2.9421691258779568,0.24333211644020666,0.23254720226068992,0.24333211644020666
25g,769539383,A3_HIER_SHRINK_BALANCED,V1,2,17,4.288689171557133,3.2034504490263638,1.3762074813207423,0.06945878957175021,0.23254720226068992,0.24333211644020666
25g,769539383,A3_HIER_SHRINK_BALANCED,V1,3,17,3.980881378097787,2.914867015941228,2.231000533742802,0.05984619475960382,0.23254720226068992,0.24333211644020666
25g,769539383,A3_HIER_SHRINK_BALANCED,V1,4,16,5.033970604824834,4.278163127032922,-1.2534466763548398,0.09006799185404431,0.23254720226068992,0.24333211644020666
25g,769539383,A3_HIER_SHRINK_BALANCED,V1,5,16,12.295092414216706,10.545656938825287,-10.545656938825287,0.5372949073743948,0.23254720226068992,0.24333211644020666
25g,769539383,A3_HIER_SHRINK_BALANCED,V2,1,17,4.585041356209096,3.7672759149821182,2.0195988028412435,0.04876536348473224,0.020390090259273356,0.04876536348473224
25g,769539383,A3_HIER_SHRINK_BALANCED,V2,2,17,4.602165575699483,3.8122178801389985,1.4701165363260118,0.04913030160892297,0.020390090259273356,0.04876536348473224
25g,769539383,A3_HIER_SHRINK_BALANCED,V2,3,17,9.320316652470568,7.933144269073972,2.0316253163104534,0.20150521309535707,0.020390090259273356,0.04876536348473224
25g,769539383,A3_HIER_SHRINK_BALANCED,V2,4,16,7.917524252465512,6.704106540801066,-0.5235661301252397,0.13685945843008784,0.020390090259273356,0.04876536348473224
25g,769539383,A3_HIER_SHRINK_BALANCED,V2,5,16,16.06909024216104,13.32506513122394,-11.08135674223033,0.5637396633808999,0.020390090259273356,0.04876536348473224
25g,769539383,paper_style_current_v2,V1,1,17,8.222731228043154,3.711540294117648,2.0576277058823527,0.27462882441283293,0.25736391616574456,0.27462882441283293
25g,769539383,paper_style_current_v2,V1,2,17,4.432866370282943,3.0787191176470583,1.1192406470588236,0.079814759095381,0.25736391616574456,0.27462882441283293
25g,769539383,paper_style_current_v2,V1,3,17,4.114187635397433,3.0600504117647063,1.436489235294117,0.0687514903954248,0.25736391616574456,0.27462882441283293
25g,769539383,paper_style_current_v2,V1,4,16,5.397166117333128,4.21345275,-2.47858,0.11135675317770115,0.25736391616574456,0.27462882441283293
25g,769539383,paper_style_current_v2,V1,5,16,11.034258914960922,8.902964875,-8.5030665,0.4654481729186602,0.25736391616574456,0.27462882441283293
25g,769539383,paper_style_current_v2,V2,1,17,3.944006571261543,2.7533264705882354,1.0584475294117643,0.0377217144291614,0.010008716945257746,0.0377217144291614
