outer_seed,strategy,budget,E_L0_30,E_full_reference,Recovery_L0,no_positive_L0_headroom
42,pretrained_coverage,30,0.8527040782059807,0.6050224195414573,0.0,False
42,pretrained_coverage,40,0.8527040782059807,0.6050224195414573,-0.1518698164014745,False
42,pretrained_coverage,50,0.8527040782059807,0.6050224195414573,-0.8023249233206846,False
42,pretrained_coverage,60,0.8527040782059807,0.6050224195414573,-0.22479975834840515,False
42,pretrained_coverage,70,0.8527040782059807,0.6050224195414573,-0.41892381626389485,False
42,pretrained_coverage,80,0.8527040782059807,0.6050224195414573,0.05733627829617163,False
42,pretrained_coverage,90,0.8527040782059807,0.6050224195414573,0.49524806966559487,False
42,pretrained_coverage,100,0.8527040782059807,0.6050224195414573,-0.21612081758009635,False
42,pretrained_ensemble,30,0.8527040782059807,0.6050224195414573,0.0,False
42,pretrained_ensemble,40,0.8527040782059807,0.6050224195414573,0.5072995823621912,False
42,pretrained_ensemble,50,0.8527040782059807,0.6050224195414573,0.07501872970118507,False
42,pretrained_ensemble,60,0.8527040782059807,0.6050224195414573,-0.23904706739675682,False
42,pretrained_ensemble,70,0.8527040782059807,0.6050224195414573,-0.26735035393086226,False
42,pretrained_ensemble,80,0.8527040782059807,0.6050224195414573,0.3534092456792974,False
42,pretrained_ensemble,90,0.8527040782059807,0.6050224195414573,0.5083111807079419,False
42,pretrained_ensemble,100,0.8527040782059807,0.6050224195414573,0.7145538530256165,False
42,pretrained_hybrid,30,0.8527040782059807,0.6050224195414573,0.0,False
42,pretrained_hybrid,40,0.8527040782059807,0.6050224195414573,-0.23491794346396286,False
42,pretrained_hybrid,50,0.8527040782059807,0.6050224195414573,-0.8185283448226669,False
42,pretrained_hybrid,60,0.8527040782059807,0.6050224195414573,-0.8219091025752652,False
42,pretrained_hybrid,70,0.8527040782059807,0.6050224195414573,-0.21483306795818063,False
42,pretrained_hybrid,80,0.8527040782059807,0.6050224195414573,0.04923449232187189,False
42,pretrained_hybrid,90,0.8527040782059807,0.6050224195414573,0.7055287275086511,False
42,pretrained_hybrid,100,0.8527040782059807,0.6050224195414573,0.7890495891366174,False
42,pretrained_quantile_width,30,0.8527040782059807,0.6050224195414573,0.0,False
42,pretrained_quantile_width,40,0.8527040782059807,0.6050224195414573,-0.9870455148643056,False
42,pretrained_quantile_width,50,0.8527040782059807,0.6050224195414573,-1.1081365166353698,False
42,pretrained_quantile_width,60,0.8527040782059807,0.6050224195414573,-0.48026174366006336,False
42,pretrained_quantile_width,70,0.8527040782059807,0.6050224195414573,-0.2748266675341911,False
42,pretrained_quantile_width,80,0.8527040782059807,0.6050224195414573,0.04624808522160263,False
42,pretrained_quantile_width,90,0.8527040782059807,0.6050224195414573,0.13474255488314302,False
42,pretrained_quantile_width,100,0.8527040782059807,0.6050224195414573,0.18895705662595313,False
42,pretrained_random,30,0.8527040782059807,0.6050224195414573,0.0,False
42,pretrained_random,40,0.8527040782059807,0.6050224195414573,-0.6163670079223659,False
42,pretrained_random,50,0.8527040782059807,0.6050224195414573,-0.3810973595056702,False
42,pretrained_random,60,0.8527040782059807,0.6050224195414573,-0.10179695726297085,False
42,pretrained_random,70,0.8527040782059807,0.6050224195414573,-0.2516956221611159,False
42,pretrained_random,80,0.8527040782059807,0.6050224195414573,-0.6264974618268366,False
42,pretrained_random,90,0.8527040782059807,0.6050224195414573,-0.5334224080923403,False
42,pretrained_random,100,0.8527040782059807,0.6050224195414573,-0.4771496680683867,False
525,pretrained_coverage,30,0.8627152834119638,0.7883519004459585,0.0,False
525,pretrained_coverage,40,0.8627152834119638,0.7883519004459585,-5.805241410802945,False
525,pretrained_coverage,50,0.8627152834119638,0.7883519004459585,-5.466373294768278,False
525,pretrained_coverage,60,0.8627152834119638,0.7883519004459585,-2.938613183114943,False
525,pretrained_coverage,70,0.8627152834119638,0.7883519004459585,-3.546049283460274,False
525,pretrained_coverage,80,0.8627152834119638,0.7883519004459585,-2.8359870377804284,False
525,pretrained_coverage,90,0.8627152834119638,0.7883519004459585,-2.6763481761074295,False
525,pretrained_coverage,100,0.8627152834119638,0.7883519004459585,-2.1907617660484195,False
525,pretrained_ensemble,30,0.8627152834119638,0.7883519004459585,0.0,False
525,pretrained_ensemble,40,0.8627152834119638,0.7883519004459585,-5.609270190138384,False
525,pretrained_ensemble,50,0.8627152834119638,0.7883519004459585,-2.5006367781096395,False
525,pretrained_ensemble,60,0.8627152834119638,0.7883519004459585,-2.8552096098078077,False
525,pretrained_ensemble,70,0.8627152834119638,0.7883519004459585,-2.7816412469191723,False
525,pretrained_ensemble,80,0.8627152834119638,0.7883519004459585,-2.4295173184147467,False
525,pretrained_ensemble,90,0.8627152834119638,0.7883519004459585,-1.6320307080090035,False
525,pretrained_ensemble,100,0.8627152834119638,0.7883519004459585,-0.9815255530790347,False
525,pretrained_hybrid,30,0.8627152834119638,0.7883519004459585,0.0,False
525,pretrained_hybrid,40,0.8627152834119638,0.7883519004459585,-3.274045796540697,False
525,pretrained_hybrid,50,0.8627152834119638,0.7883519004459585,-3.427593714098752,False
525,pretrained_hybrid,60,0.8627152834119638,0.7883519004459585,-3.995818182548167,False
525,pretrained_hybrid,70,0.8627152834119638,0.7883519004459585,-4.291123071570334,False
525,pretrained_hybrid,80,0.8627152834119638,0.7883519004459585,-2.809297821012411,False
525,pretrained_hybrid,90,0.8627152834119638,0.7883519004459585,-1.8030313623362575,False
525,pretrained_hybrid,100,0.8627152834119638,0.7883519004459585,-1.3758454402204308,False
525,pretrained_quantile_width,30,0.8627152834119638,0.7883519004459585,0.0,False
525,pretrained_quantile_width,40,0.8627152834119638,0.7883519004459585,-3.8396974085774427,False
525,pretrained_quantile_width,50,0.8627152834119638,0.7883519004459585,-3.627378542307468,False
525,pretrained_quantile_width,60,0.8627152834119638,0.7883519004459585,-1.9590763885308806,False
525,pretrained_quantile_width,70,0.8627152834119638,0.7883519004459585,-3.8986841909959358,False
525,pretrained_quantile_width,80,0.8627152834119638,0.7883519004459585,-3.0852490463685722,False
525,pretrained_quantile_width,90,0.8627152834119638,0.7883519004459585,-2.4929599061201455,False
525,pretrained_quantile_width,100,0.8627152834119638,0.7883519004459585,-2.2586978146125305,False
525,pretrained_random,30,0.8627152834119638,0.7883519004459585,0.0,False
525,pretrained_random,40,0.8627152834119638,0.7883519004459585,0.48509610842438045,False
525,pretrained_random,50,0.8627152834119638,0.7883519004459585,0.528405030674902,False
525,pretrained_random,60,0.8627152834119638,0.7883519004459585,0.646798593627435,False
525,pretrained_random,70,0.8627152834119638,0.7883519004459585,0.4502425018661282,False
525,pretrained_random,80,0.8627152834119638,0.7883519004459585,0.5202870460274007,False
525,pretrained_random,90,0.8627152834119638,0.7883519004459585,0.6330854591474151,False
525,pretrained_random,100,0.8627152834119638,0.7883519004459585,0.6167741537282271,False
1101,pretrained_coverage,30,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_coverage,40,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_coverage,50,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_coverage,60,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_coverage,70,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_coverage,80,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_coverage,90,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_coverage,100,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_ensemble,30,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_ensemble,40,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_ensemble,50,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_ensemble,60,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_ensemble,70,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_ensemble,80,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_ensemble,90,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_ensemble,100,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_hybrid,30,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_hybrid,40,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_hybrid,50,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_hybrid,60,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_hybrid,70,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_hybrid,80,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_hybrid,90,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_hybrid,100,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_quantile_width,30,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_quantile_width,40,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_quantile_width,50,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_quantile_width,60,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_quantile_width,70,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_quantile_width,80,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_quantile_width,90,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_quantile_width,100,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_random,30,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_random,40,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_random,50,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_random,60,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_random,70,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_random,80,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_random,90,0.8247038933609646,0.8647542856410875,,True
1101,pretrained_random,100,0.8247038933609646,0.8647542856410875,,True
