strategy,outer_seed,budget,V1_MAE,V1_RMSE,V1_R2,V2_MAE,V2_RMSE,V2_R2,NRMSE,test_rows
pretrained_random,42,30,4.801712151779526,7.950694421817634,0.8025824948536975,6.250415952178253,10.91049307847539,0.8112550752567703,0.8527040782059807,58
pretrained_random,42,40,4.978158982594809,9.186172162694664,0.7364611198695672,7.061010921960589,13.250075482345688,0.7216294862634982,1.0053668810742817,58
pretrained_random,42,50,4.765759362845586,8.927656255491538,0.7510853514733178,6.703633159330523,11.919223670321184,0.7747408373101168,0.9470949043210153,58
pretrained_random,42,60,4.4492250310963595,8.34685873142594,0.7824186527150256,6.223638598124186,10.90212160077716,0.8115446071288535,0.8779173174278749,58
pretrained_random,42,70,4.458575522214517,8.512435502404603,0.7737007035115397,6.98077103187298,11.748272929459588,0.78115603193985,0.9150444673814451,58
pretrained_random,42,80,4.588052242651753,9.493560050888615,0.7185289463570139,7.0982820280667,12.69862350743567,0.7443181966122787,1.0078760087003655,58
pretrained_random,42,90,4.650371540551899,9.264378353145766,0.7319547587077211,6.996483990241741,12.432904056929605,0.7549065580806142,0.9848230250111158,58
pretrained_random,42,100,4.771765741260572,9.183134078641388,0.7366354081057321,7.062432807615434,12.154472720886494,0.7657612333116743,0.9708852994243855,58
pretrained_coverage,42,30,4.801712151779526,7.950694421817634,0.8025824948536975,6.250415952178253,10.91049307847539,0.8112550752567703,0.8527040782059807,58
pretrained_coverage,42,40,4.701070195230944,8.608451926679908,0.7685668043351731,6.479536511432165,10.760896981231754,0.8163954355329521,0.8903194462333746,58
pretrained_coverage,42,50,5.004124225419142,10.062019681139548,0.6838116530398785,7.292345517257163,12.922133935228285,0.7352383966438091,1.0514252460019344,58
pretrained_coverage,42,60,4.119746595963664,8.825024250318322,0.756775482753195,6.471126474731269,10.893086648796887,0.8118568362437402,0.9083828552210977,58
pretrained_coverage,42,70,4.53653954336013,9.36068841273411,0.7263527339351991,6.3935636070953015,11.328795931679108,0.7965048636124307,0.9564638238722942,58
pretrained_coverage,42,80,4.018897729632498,8.207090474723852,0.7896444488058383,5.784820326443375,9.929850471626352,0.843659339030651,0.8385029336959342,58
