outer_seed,strategy,round,member_seed,init_source_sha256,expected_source_sha256,source_reset_pass,checkpoint_sha256
42,pretrained_random,6,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,bb12cc786c45efdea411e423d6b9ec137e6f2bf9c0c3edeec523a2f4934fc445
42,pretrained_random,6,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,7f090439cfb23599bd90ab25b57881c7dfe1e783bdaa37ef45a00643be19dd6d
42,pretrained_random,6,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,10b3204478fcf02270a4f3a4dd01d6269ad0d11e482bb41e5e8b3ac3f82a4440
42,pretrained_random,7,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,391b5c048d4fdaab6fba9a3cacccebc3a710a2cd8346d7f1d9ba8856cad6bcbd
42,pretrained_random,7,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,5150ae86964ffef36ff812d3e0c87f2befa997e8c0459edb4ef92e254a7f3e98
42,pretrained_random,7,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,837bf08c0e45f0d203d785479a956f9944fc7255b75966bdc9cfbc9d5fe59313
42,pretrained_coverage,1,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,21267c5dbb9ef3fa259b1f7d3a98a4df2022a6912ff8d47402ba00253b33de8e
42,pretrained_coverage,1,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,b379d01850946550fb32583d073707a6cbe47673e2510a09f2399d651c10d31c
42,pretrained_coverage,1,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,52a1da68c4288d5863d74489301c41db6ab9e8a3b978eecc4aaedee8c98a4820
42,pretrained_coverage,2,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,39e998c8ab97a0455f45e1a7d7262bc923bfa0b0af003a503567af369e4e75df
