outer_seed,strategy,round,member_seed,fit_seed,frozen_parameters_sha256_before,frozen_parameters_sha256_after,trainable_parameters_sha256_before,trainable_parameters_sha256_after,frozen_unchanged,trainable_changed
42,pretrained_shared_round0,0,42,4200042,55d08c7a605e174a0fa27e7d33775e6d677cf47849881d19049390cda668a410,55d08c7a605e174a0fa27e7d33775e6d677cf47849881d19049390cda668a410,20e4a2e75f3577a5818db0a58fe275046254806e79793ad3c90c4e56dee436b7,037b2622d767b3e4b33f97850aabc14dcdf2f19eb9d72f1571b676e3c2286008,True,True
42,pretrained_shared_round0,0,525,4200525,85c98a0ee54c358aa2af2a691d997fe508f3fc923ee103a0ead59e62d0e2a12b,85c98a0ee54c358aa2af2a691d997fe508f3fc923ee103a0ead59e62d0e2a12b,3c9655055304e2e47175ba1509d6ccb411df9f6779b86890e18bc31d291d091a,77ed661b49965f111c9f20fc5f022e7a1b456ac275d93e0544bddf2b981b68da,True,True
42,pretrained_shared_round0,0,1101,4201101,8f935dd052c419b1588f9a9c48effd321031ce7739103c8575aab51212e6b3c4,8f935dd052c419b1588f9a9c48effd321031ce7739103c8575aab51212e6b3c4,13087ad6bd0d739d9f7999b51ab8e1d6fbc4bf8d41763963a49d2fcce020c45a,270c4f9a33303f2c6fc2914534ae1863210ec4e9c70357c1fd8582f25712b546,True,True
42,pretrained_random,1,42,4210042,55d08c7a605e174a0fa27e7d33775e6d677cf47849881d19049390cda668a410,55d08c7a605e174a0fa27e7d33775e6d677cf47849881d19049390cda668a410,20e4a2e75f3577a5818db0a58fe275046254806e79793ad3c90c4e56dee436b7,07efc84783d5f194764451dac349b51ff9b24a846455291a83a31fc49378e72d,True,True
42,pretrained_random,1,525,4210525,85c98a0ee54c358aa2af2a691d997fe508f3fc923ee103a0ead59e62d0e2a12b,85c98a0ee54c358aa2af2a691d997fe508f3fc923ee103a0ead59e62d0e2a12b,3c9655055304e2e47175ba1509d6ccb411df9f6779b86890e18bc31d291d091a,45c08dd8f1ed3f20c0216637153f39c5f6a070b24ef710f53d0646c7846c4e9c,True,True
42,pretrained_random,1,1101,4211101,8f935dd052c419b1588f9a9c48effd321031ce7739103c8575aab51212e6b3c4,8f935dd052c419b1588f9a9c48effd321031ce7739103c8575aab51212e6b3c4,13087ad6bd0d739d9f7999b51ab8e1d6fbc4bf8d41763963a49d2fcce020c45a,a9d4c4c6790eee56d4e971dd84ac0bb871aa1b6e6d4105441fd6aa69aec86d02,True,True
42,pretrained_random,2,42,4220042,55d08c7a605e174a0fa27e7d33775e6d677cf47849881d19049390cda668a410,55d08c7a605e174a0fa27e7d33775e6d677cf47849881d19049390cda668a410,20e4a2e75f3577a5818db0a58fe275046254806e79793ad3c90c4e56dee436b7,2028c7b8491eb566d3811c9672f4913b1473c37845866896fbd1590d95c96a4a,True,True
42,pretrained_random,2,525,4220525,85c98a0ee54c358aa2af2a691d997fe508f3fc923ee103a0ead59e62d0e2a12b,85c98a0ee54c358aa2af2a691d997fe508f3fc923ee103a0ead59e62d0e2a12b,3c9655055304e2e47175ba1509d6ccb411df9f6779b86890e18bc31d291d091a,747b647f16bafe43a77c5d7b2838e65075db16c2f269e77973baaf2aaf45181f,True,True
42,pretrained_random,2,1101,4221101,8f935dd052c419b1588f9a9c48effd321031ce7739103c8575aab51212e6b3c4,8f935dd052c419b1588f9a9c48effd321031ce7739103c8575aab51212e6b3c4,13087ad6bd0d739d9f7999b51ab8e1d6fbc4bf8d41763963a49d2fcce020c45a,23b6e4d5d0a8182e67a7e056dc267d6ffe743f8670ca54b4d3ed5a49553cc07f,True,True
42,pretrained_random,3,42,4230042,55d08c7a605e174a0fa27e7d33775e6d677cf47849881d19049390cda668a410,55d08c7a605e174a0fa27e7d33775e6d677cf47849881d19049390cda668a410,20e4a2e75f3577a5818db0a58fe275046254806e79793ad3c90c4e56dee436b7,eb7e21a7c4a72c318c0a31a7be2e94a81174a8285f9d546a315f9cc512a18948,True,True
