outer_seed,path,sha256,rows,l0_train,validation,u0,test
42,experiments/e4_a2a_low_budget_preregistration/partitions/e4_a2a_protocol_a_seed_42.csv,e7b58585fc1c8d37ae7e41a3b2e7c4c17be658c290290dda4623055f56dfe6e8,574,22,8,486,58
525,experiments/e4_a2a_low_budget_preregistration/partitions/e4_a2a_protocol_a_seed_525.csv,4892b8099b067288f14bc36cdff8d71e77c419ef87b25ec4076a2fe3cb911af7,574,22,8,486,58
1101,experiments/e4_a2a_low_budget_preregistration/partitions/e4_a2a_protocol_a_seed_1101.csv,dd905f7a4d822490f817e2123bb3091d16ae93e2056bcfdb8d747853acba6fc3,574,22,8,486,58
