outer_seed,strategy,AULC_30_100,normalized_AULC_30_100
42,pretrained_coverage,62.54603179376504,0.8935147399109291
42,pretrained_ensemble,56.482010490231964,0.8068858641461709
42,pretrained_hybrid,62.01972330154305,0.8859960471649008
42,pretrained_quantile_width,66.06659597786124,0.9438085139694463
42,pretrained_random,66.49917292731281,0.9499881846758973
525,pretrained_coverage,78.5079594593192,1.1215422779902742
525,pretrained_ensemble,73.99787632184332,1.057112518883476
525,pretrained_hybrid,75.47753217523555,1.0782504596462221
525,pretrained_quantile_width,75.28683599648744,1.0755262285212492
525,pretrained_random,57.73358535823401,0.8247655051176287
1101,pretrained_coverage,76.32127269570103,1.090303895652872
1101,pretrained_ensemble,60.45852537627848,0.8636932196611211
1101,pretrained_hybrid,63.90644936948365,0.9129492767069093
1101,pretrained_quantile_width,63.768407484551844,0.910977249779312
1101,pretrained_random,59.57308759759142,0.8510441085370203
