outer_seed,strategy,AULC_30_100,normalized_AULC_30_100,random_AULC,delta_AULC_vs_random,relative_gain_vs_random,active_wins
42,pretrained_coverage,62.54603179376504,0.8935147399109291,0.9499881846758973,-0.056473444764968184,0.0594464706781958,True
42,pretrained_ensemble,56.482010490231964,0.8068858641461709,0.9499881846758973,-0.14310232052972638,0.15063589509647204,True
42,pretrained_hybrid,62.01972330154305,0.8859960471649008,0.9499881846758973,-0.06399213751099653,0.06736098252930209,True
42,pretrained_quantile_width,66.06659597786124,0.9438085139694463,0.9499881846758973,-0.006179670706450979,0.006504997436951562,True
525,pretrained_coverage,78.5079594593192,1.1215422779902742,0.8247655051176287,0.2967767728726455,-0.3598316988661146,False
525,pretrained_ensemble,73.99787632184332,1.057112518883476,0.8247655051176287,0.23234701376584732,-0.28171281694511435,False
525,pretrained_hybrid,75.47753217523555,1.0782504596462221,0.8247655051176287,0.25348495452859343,-0.3073418480231435,False
525,pretrained_quantile_width,75.28683599648744,1.0755262285212492,0.8247655051176287,0.25076072340362054,-0.3040388108470381,False
1101,pretrained_coverage,76.32127269570103,1.090303895652872,0.8510441085370203,0.2392597871158516,-0.281136764494086,False
1101,pretrained_ensemble,60.45852537627848,0.8636932196611211,0.8510441085370203,0.012649111124100831,-0.014863049984383503,False
1101,pretrained_hybrid,63.90644936948365,0.9129492767069093,0.8510441085370203,0.061905168169889,-0.07274025817099718,False
1101,pretrained_quantile_width,63.768407484551844,0.910977249779312,0.8510441085370203,0.059933141242291765,-0.07042307283616508,False
