outer_seed,strategy,window,normalized_AULC_50_100,old_delta,new_delta,regime_shift
42,pretrained_coverage,regime_shift,,0.008873674362844919,-0.06648636987086598,-0.0753600442337109
42,pretrained_ensemble,regime_shift,,-0.07869281718209864,-0.13338376881626623,-0.054690951634167595
42,pretrained_hybrid,regime_shift,,0.04354009251338298,-0.08152776831863451,-0.12506786083201749
42,pretrained_quantile_width,regime_shift,,0.037624263684247095,-0.045021018910359256,-0.08264528259460635
525,pretrained_coverage,regime_shift,,0.156456550852217,0.27735412679503324,0.12089757594281625
525,pretrained_ensemble,regime_shift,,0.20918711237633802,0.2121213006684901,0.0029341882921520845
525,pretrained_hybrid,regime_shift,,0.18418716171060256,0.26955228955247135,0.08536512784186878
525,pretrained_quantile_width,regime_shift,,0.20636776765974485,0.25583994491817585,0.049472177258431005
1101,pretrained_coverage,regime_shift,,0.11692553389192883,0.23768066706177993,0.12075513316985109
1101,pretrained_ensemble,regime_shift,,0.18491786918836106,-0.045232056196425674,-0.23014992538478674
1101,pretrained_hybrid,regime_shift,,0.14094596481803456,0.033704820708136296,-0.10724114410989827
1101,pretrained_quantile_width,regime_shift,,0.229043186262063,0.050777101078748554,-0.17826608518331444
