column,paper_V1_r2,aligned_V1_r2,V1_gap,paper_V2_r2,aligned_V2_r2,V2_gap
25g,0.747,0.6800780177116394,-0.06692198228836055,0.84,0.7250007510185241,-0.11499924898147584
40g,0.826,0.6161461234092712,-0.20985387659072874,0.824,0.6198088645935058,-0.20419113540649414
