column,protocol,seed,method,best_epoch,epochs_run,trainable_parameters,source_checkpoint_sha256,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse
25g,legacy_filtered,42,RELEASE_CODE_ALIGNED_TRANSFER,60,500,458952,fce9edebc294fd179c7c7dc27ab2badea049c77fdad03a6cf0c317c63df544b0,5.540099620819092,3.518397808074951,0.5828315019607544,7.382898330688477,5.43523645401001,0.7604860663414001,0.48611472021247276
25g,legacy_filtered,525,RELEASE_CODE_ALIGNED_TRANSFER,500,500,458952,fce9edebc294fd179c7c7dc27ab2badea049c77fdad03a6cf0c317c63df544b0,3.8785650730133057,2.517759323120117,0.8495399355888367,7.421237468719482,4.867903232574463,0.7922547459602356,0.3957895271857923
25g,legacy_filtered,1101,RELEASE_CODE_ALIGNED_TRANSFER,260,500,458952,fce9edebc294fd179c7c7dc27ab2badea049c77fdad03a6cf0c317c63df544b0,6.2261643409729,3.9041941165924072,0.637404203414917,11.347999572753906,7.487362861633301,0.6723170280456543,0.6539703183829461
25g,legacy_filtered,2025,RELEASE_CODE_ALIGNED_TRANSFER,80,500,458952,fce9edebc294fd179c7c7dc27ab2badea049c77fdad03a6cf0c317c63df544b0,6.683550834655762,3.984280586242676,0.5696641206741333,9.10159969329834,6.504292011260986,0.6363805532455444,0.5911458188532815
25g,legacy_filtered,2026,RELEASE_CODE_ALIGNED_TRANSFER,80,500,458952,fce9edebc294fd179c7c7dc27ab2badea049c77fdad03a6cf0c317c63df544b0,3.7249879837036133,2.5586721897125244,0.7609503269195557,5.974886894226074,4.583896636962891,0.7635653614997864,0.36139843049938564
40g,legacy_filtered,42,RELEASE_CODE_ALIGNED_TRANSFER,220,500,458952,fce9edebc294fd179c7c7dc27ab2badea049c77fdad03a6cf0c317c63df544b0,15.363536834716797,10.098021507263184,0.49174249172210693,22.189123153686523,14.904494285583496,0.4400714635848999,0.571351579186616
40g,legacy_filtered,525,RELEASE_CODE_ALIGNED_TRANSFER,300,500,458952,fce9edebc294fd179c7c7dc27ab2badea049c77fdad03a6cf0c317c63df544b0,11.827555656433105,8.094971656799316,0.7096985578536987,17.76715660095215,10.763511657714844,0.6534615755081177,0.4514611582854852
40g,legacy_filtered,1101,RELEASE_CODE_ALIGNED_TRANSFER,120,500,458952,fce9edebc294fd179c7c7dc27ab2badea049c77fdad03a6cf0c317c63df544b0,17.835237503051758,12.108675003051758,0.556206226348877,24.554729461669922,17.511577606201172,0.5519950985908508,0.6637482001095585
40g,legacy_filtered,2025,RELEASE_CODE_ALIGNED_TRANSFER,160,500,458952,fce9edebc294fd179c7c7dc27ab2badea049c77fdad03a6cf0c317c63df544b0,17.39282989501953,9.55782699584961,0.5217785835266113,17.81698226928711,11.660320281982422,0.6752233505249023,0.5757409018231014
40g,legacy_filtered,2026,RELEASE_CODE_ALIGNED_TRANSFER,480,500,458952,fce9edebc294fd179c7c7dc27ab2badea049c77fdad03a6cf0c317c63df544b0,12.083685874938965,8.299642562866211,0.8013047575950623,18.90667724609375,12.756103515625,0.7782928347587585,0.4837931340896844
