column,method,seeds,best_epoch_mean,V1_rmse_mean,V1_rmse_sample_sd,V1_mae_mean,V1_mae_sample_sd,V1_r2_mean,V1_r2_sample_sd,V2_rmse_mean,V2_rmse_sample_sd,V2_mae_mean,V2_mae_sample_sd,V2_r2_mean,V2_r2_sample_sd,combined_normalized_rmse_mean,combined_normalized_rmse_sample_sd
25g,RELEASE_CODE_ALIGNED_TRANSFER,5,196.0,5.210673570632935,1.3500819581327486,3.296660804748535,0.7145627511898319,0.6800780177116394,0.1211681062806608,8.245724391937255,2.0577648230865258,5.77573823928833,1.2063417547175128,0.7250007510185241,0.06689291954377402,0.4976837630267757,0.124750363903049
40g,RELEASE_CODE_ALIGNED_TRANSFER,5,256.0,14.90056915283203,2.8467623872402683,9.631827545166015,1.6197398764850002,0.6161461234092712,0.13323856913831125,20.24693374633789,3.007467787736705,13.519201469421386,2.7152204099522472,0.6198088645935058,0.1286707806604469,0.549218994698889,0.08388584439924286
