column,seed,V1_rmse,V1_test_rmse,V1_rmse_delta,V1_mae,V1_test_mae,V1_mae_delta,V1_r2,V1_test_r2,V1_r2_delta,V2_rmse,V2_test_rmse,V2_rmse_delta,V2_mae,V2_test_mae,V2_mae_delta,V2_r2,V2_test_r2,V2_r2_delta
25g,42,5.540099620819092,6.034247875213623,-0.49414825439453125,3.518397808074951,3.894673585891723,-0.376275777816772,0.5828315019607544,0.5050941126779659,0.0777373892827885,7.382898330688477,7.562366962432861,-0.17946863174438477,5.43523645401001,5.2713823318481445,0.16385412216186523,0.7604860663414001,0.7487000014610456,0.011786064880354497
25g,525,3.8785650730133057,5.8312554359436035,-1.9526903629302979,2.517759323120117,3.7630844116210938,-1.2453250885009766,0.8495399355888367,0.6599026817800953,0.1896372538087414,7.421237468719482,8.750398635864258,-1.3291611671447754,4.867903232574463,5.660401344299316,-0.7924981117248535,0.7922547459602356,0.7111754093457747,0.08107933661446087
25g,1101,6.2261643409729,6.151125431060791,0.07503890991210938,3.9041941165924072,4.49124002456665,-0.5870459079742432,0.637404203414917,0.6460916144689887,-0.00868741105407167,11.347999572753906,8.669482231140137,2.6785173416137695,7.487362861633301,6.618520736694336,0.8688421249389648,0.6723170280456543,0.8087499349183285,-0.13643290687267418
25g,2025,6.683550834655762,7.201654434204102,-0.5181035995483398,3.984280586242676,4.9122796058654785,-0.9279990196228027,0.5696641206741333,0.5003595724733132,0.0693045482008201,9.10159969329834,9.186280250549316,-0.08468055725097656,6.504292011260986,6.542796611785889,-0.038504600524902344,0.6363805532455444,0.6295828977003888,0.006797655545155656
25g,2026,3.7249879837036133,4.337316989898682,-0.6123290061950684,2.5586721897125244,3.41145396232605,-0.8527817726135254,0.7609503269195557,0.6758987059667575,0.08505162095279817,5.974886894226074,6.884076118469238,-0.9091892242431641,4.583896636962891,4.846019268035889,-0.26212263107299805,0.7635653614997864,0.6861349244969802,0.07743043700280616
40g,42,15.363536834716797,16.237693786621094,-0.8741569519042969,10.098021507263184,10.264881134033203,-0.16685962677001953,0.49174249172210693,0.4322591429133373,0.059483348808769654,22.189123153686523,17.962003707885742,4.227119445800781,14.904494285583496,12.870074272155762,2.0344200134277344,0.4400714635848999,0.6330880812159021,-0.1930166176310022
40g,525,11.827555656433105,7.585475444793701,4.242080211639404,8.094971656799316,5.110447883605957,2.9845237731933594,0.7096985578536987,0.880594359611625,-0.1708958017579263,17.76715660095215,12.34172821044922,5.425428390502928,10.763511657714844,7.378782749176025,3.3847289085388184,0.6534615755081177,0.832787993792504,-0.17932641828438634
40g,1101,17.835237503051758,14.40523624420166,3.4300012588500977,12.108675003051758,9.60107707977295,2.5075979232788086,0.556206226348877,0.710489550749057,-0.15428332440018,24.554729461669922,15.936626434326172,8.61810302734375,17.511577606201172,10.223730087280272,7.2878475189209,0.5519950985908508,0.8112854842469782,-0.2592903856561274
40g,2025,17.39282989501953,15.872838020324709,1.5199918746948224,9.55782699584961,8.459362030029297,1.0984649658203125,0.5217785835266113,0.6017116503270078,-0.07993306680039647,17.81698226928711,14.970396995544434,2.846585273742676,11.660320281982422,9.70044994354248,1.9598703384399414,0.6752233505249023,0.7707110654587692,-0.09548771493386687
40g,2026,12.083685874938965,10.14304256439209,1.940643310546875,8.299642562866211,6.440505504608154,1.8591370582580566,0.8013047575950623,0.8600009596273411,-0.05869620203227888,18.90667724609375,12.823600769042969,6.083076477050781,12.756103515625,7.634072303771973,5.122031211853027,0.7782928347587585,0.898007248468613,-0.11971441370985447
