split_mode,seed,target,alpha_80,test_rows,test_coverage_before,test_coverage_after,test_width_before,test_width_after,test_crossing_before,test_crossing_after,test_auce_validation_calibrated_curve
compound,42,V1,1.1450405400821009,54,0.8148148148148148,0.8333333333333334,11.097985841609814,12.70764370190041,0.0,0.0,0.07546296296296295
compound,42,V2,1.473644934785701,54,0.6481481481481481,0.8518518518518519,7.780266850082962,11.465350834905859,0.0,0.0,0.03912037037037035
compound,525,V1,1.6426104819804206,58,0.9310344827586207,0.9482758620689655,9.643389290776746,15.840332330847618,0.0,0.0,0.20431034482758617
compound,525,V2,1.6631549977437383,58,0.7241379310344828,0.8793103448275862,6.976572086071146,11.603120732068685,0.0,0.0,0.043534482758620666
compound,1101,V1,1.6984584388340587,57,0.7017543859649122,0.8245614035087719,5.3769884360464,9.132591384716156,0.0,0.0,0.13925438596491224
compound,1101,V2,3.1194004381170872,57,0.3333333333333333,0.8596491228070176,5.630358110394394,17.563341556320367,0.0,0.0,0.03157894736842104
row,42,V1,1.0,56,0.8392857142857143,0.8392857142857143,9.211121039731163,9.211121039731163,0.0,0.0,0.04486607142857144
row,42,V2,1.5952172095649786,56,0.625,0.7857142857142857,7.694314871515546,12.274103498853346,0.0,0.0,0.04374999999999998
row,525,V1,1.149528215553748,56,0.8392857142857143,0.8928571428571429,8.10329634802682,9.314967791050474,0.0,0.0,0.08816964285714285
row,525,V2,1.7544472412347567,56,0.6428571428571429,0.8928571428571429,7.499633755002703,13.157711751735551,0.0,0.0,0.0872767857142857
row,1101,V1,16.105985037406484,56,0.125,0.6071428571428571,0.8007804410798209,12.89735780227936,0.0,0.0,0.1174107142857143
row,1101,V2,55.9092938673263,56,0.14285714285714285,0.8571428571428571,0.7987172944205144,44.65571993067232,0.0,0.0,0.04107142857142856
