split_mode,seed,target,validation_rows,raw_conformal_alpha_80,alpha_80,alpha_constrained_to_inflation_only
compound,42,V1,57,1.1450405400821009,1.1450405400821009,False
compound,42,V2,57,1.473644934785701,1.473644934785701,False
compound,525,V1,49,1.6426104819804206,1.6426104819804206,False
compound,525,V2,49,1.6631549977437383,1.6631549977437383,False
compound,1101,V1,51,1.6984584388340587,1.6984584388340587,False
compound,1101,V2,51,3.1194004381170872,3.1194004381170872,False
row,42,V1,55,0.9970076665866908,1.0,True
row,42,V2,55,1.5952172095649786,1.5952172095649786,False
row,525,V1,55,1.149528215553748,1.149528215553748,False
row,525,V2,55,1.7544472412347567,1.7544472412347567,False
row,1101,V1,55,16.105985037406484,16.105985037406484,False
row,1101,V2,55,55.9092938673263,55.9092938673263,False
