target,nominal_coverage,alpha,test_observed_coverage,absolute_calibration_error,split_mode,seed
V1,0.1,0.09151127953521716,0.1111111111111111,0.0111111111111111,compound,42
V1,0.2,0.1561507847685677,0.18518518518518517,0.014814814814814836,compound,42
V1,0.30000000000000004,0.22690665369439514,0.2962962962962963,0.0037037037037037646,compound,42
V1,0.4,0.35286365106983375,0.5185185185185185,0.11851851851851847,compound,42
V1,0.5,0.45240378890326355,0.6481481481481481,0.14814814814814814,compound,42
V1,0.6,0.5533311779229926,0.7592592592592593,0.15925925925925932,compound,42
V1,0.7000000000000001,0.9666717566658108,0.8148148148148148,0.1148148148148147,compound,42
V1,0.8,1.1450405400821009,0.8333333333333334,0.033333333333333326,compound,42
V1,0.9,1.834961473031122,0.8888888888888888,0.011111111111111183,compound,42
V2,0.1,0.24655998656940975,0.14814814814814814,0.048148148148148134,compound,42
V2,0.2,0.35098130132772165,0.24074074074074073,0.040740740740740716,compound,42
V2,0.30000000000000004,0.4603691069440362,0.2962962962962963,0.0037037037037037646,compound,42
V2,0.4,0.6815222659627947,0.4444444444444444,0.0444444444444444,compound,42
V2,0.5,0.761951707212193,0.5185185185185185,0.01851851851851849,compound,42
V2,0.6,1.0094445653536879,0.6481481481481481,0.04814814814814816,compound,42
V2,0.7000000000000001,1.1808932467725932,0.7407407407407407,0.04074074074074063,compound,42
V2,0.8,1.473644934785701,0.8518518518518519,0.051851851851851816,compound,42
V2,0.9,6.6413051939531025,0.9814814814814815,0.08148148148148149,compound,42
V1,0.1,0.06283638430646744,0.08620689655172414,0.013793103448275862,compound,525
V1,0.2,0.1252098291666838,0.25862068965517243,0.05862068965517242,compound,525
V1,0.30000000000000004,0.21252525932463773,0.5517241379310345,0.25172413793103443,compound,525
V1,0.4,0.2745990912269818,0.6896551724137931,0.2896551724137931,compound,525
V1,0.5,0.42274817924392977,0.8275862068965517,0.3275862068965517,compound,525
V1,0.6,0.6224777984841697,0.8793103448275862,0.2793103448275862,compound,525
V1,0.7000000000000001,0.8009680804502104,0.9310344827586207,0.2310344827586206,compound,525
V1,0.8,1.6426104819804206,0.9482758620689655,0.14827586206896548,compound,525
V1,0.9,3.956290801931605,0.9827586206896551,0.08275862068965512,compound,525
V2,0.1,0.16450856660451502,0.10344827586206896,0.0034482758620689585,compound,525
V2,0.2,0.2764296397558597,0.1724137931034483,0.027586206896551724,compound,525
V2,0.30000000000000004,0.4073901008659847,0.3103448275862069,0.010344827586206862,compound,525
V2,0.4,0.5996004497377984,0.39655172413793105,0.0034482758620689724,compound,525
V2,0.5,0.6815922255469844,0.46551724137931033,0.03448275862068967,compound,525
V2,0.6,0.8678066227216473,0.5862068965517241,0.01379310344827589,compound,525
V2,0.7000000000000001,1.2855628918714652,0.8620689655172413,0.16206896551724126,compound,525
V2,0.8,1.6631549977437383,0.8793103448275862,0.07931034482758614,compound,525
V2,0.9,4.122239957899674,0.9310344827586207,0.03103448275862064,compound,525
V1,0.1,0.29338537696340067,0.24561403508771928,0.14561403508771928,compound,1101
V1,0.2,0.3653416447185328,0.3157894736842105,0.1157894736842105,compound,1101
V1,0.30000000000000004,0.6479133852697898,0.543859649122807,0.243859649122807,compound,1101
V1,0.4,0.8887843403106852,0.631578947368421,0.231578947368421,compound,1101
V1,0.5,1.1528862385594012,0.7192982456140351,0.2192982456140351,compound,1101
V1,0.6,1.2324148900278002,0.7192982456140351,0.11929824561403513,compound,1101
V1,0.7000000000000001,1.4490428873219734,0.7368421052631579,0.03684210526315779,compound,1101
V1,0.8,1.6984584388340587,0.8245614035087719,0.024561403508771895,compound,1101
V1,0.9,5.76486231905984,1.0,0.09999999999999998,compound,1101
V2,0.1,0.3543395767496037,0.10526315789473684,0.005263157894736831,compound,1101
V2,0.2,0.6608797240217872,0.15789473684210525,0.04210526315789476,compound,1101
V2,0.30000000000000004,0.9817118111629034,0.3157894736842105,0.015789473684210464,compound,1101
V2,0.4,1.217617903268273,0.3684210526315789,0.031578947368421095,compound,1101
V2,0.5,1.4866538968275207,0.49122807017543857,0.00877192982456143,compound,1101
V2,0.6,1.8085691271094584,0.6666666666666666,0.06666666666666665,compound,1101
V2,0.7000000000000001,2.164161658690626,0.7192982456140351,0.019298245614035037,compound,1101
V2,0.8,3.1194004381170872,0.8596491228070176,0.05964912280701751,compound,1101
V2,0.9,3.8440872533433095,0.9122807017543859,0.012280701754385892,compound,1101
V1,0.1,0.031672142190701955,0.017857142857142856,0.08214285714285716,row,42
V1,0.2,0.1044054017236705,0.16071428571428573,0.039285714285714285,row,42
V1,0.30000000000000004,0.15793991563013132,0.25,0.050000000000000044,row,42
V1,0.4,0.2557214908264053,0.42857142857142855,0.028571428571428525,row,42
V1,0.5,0.3552780264765397,0.5178571428571429,0.017857142857142905,row,42
V1,0.6,0.46159995613832167,0.6428571428571429,0.04285714285714293,row,42
V1,0.7000000000000001,0.7463047116017533,0.7678571428571429,0.06785714285714284,row,42
V1,0.8,0.9970076665866908,0.8392857142857143,0.03928571428571426,row,42
V1,0.9,2.1447456950803,0.9642857142857143,0.06428571428571428,row,42
V2,0.1,0.15424131133134214,0.14285714285714285,0.042857142857142844,row,42
V2,0.2,0.3068011395721642,0.25,0.04999999999999999,row,42
V2,0.30000000000000004,0.49565529941440484,0.35714285714285715,0.057142857142857106,row,42
V2,0.4,0.64640605296343,0.5,0.09999999999999998,row,42
V2,0.5,0.7573227766856075,0.5,0.0,row,42
V2,0.6,0.9595660133431733,0.6071428571428571,0.0071428571428571175,row,42
V2,0.7000000000000001,1.3409942321891253,0.7678571428571429,0.06785714285714284,row,42
V2,0.8,1.5952172095649786,0.7857142857142857,0.014285714285714346,row,42
V2,0.9,3.8559412076061865,0.9642857142857143,0.06428571428571428,row,42
V1,0.1,0.0967535923262501,0.10714285714285714,0.007142857142857131,row,525
V1,0.2,0.15314282547069402,0.17857142857142858,0.021428571428571436,row,525
V1,0.30000000000000004,0.19332500424723253,0.26785714285714285,0.032142857142857195,row,525
V1,0.4,0.3313089922465809,0.5,0.09999999999999998,row,525
V1,0.5,0.399216896445197,0.6071428571428571,0.1071428571428571,row,525
V1,0.6,0.5958584028391315,0.7857142857142857,0.18571428571428572,row,525
V1,0.7000000000000001,0.8226635739464634,0.8392857142857143,0.13928571428571423,row,525
V1,0.8,1.149528215553748,0.8928571428571429,0.09285714285714286,row,525
V1,0.9,1.9229441499198618,0.9464285714285714,0.046428571428571375,row,525
V2,0.1,0.13808735959030868,0.03571428571428571,0.0642857142857143,row,525
V2,0.2,0.22231994833383936,0.03571428571428571,0.1642857142857143,row,525
V2,0.30000000000000004,0.38153016961799313,0.17857142857142858,0.12142857142857147,row,525
V2,0.4,0.6191070955997838,0.35714285714285715,0.04285714285714287,row,525
V2,0.5,0.7034293357802434,0.42857142857142855,0.07142857142857145,row,525
V2,0.6,0.8564923789048848,0.5,0.09999999999999998,row,525
V2,0.7000000000000001,1.1924673620318558,0.7321428571428571,0.03214285714285703,row,525
V2,0.8,1.7544472412347567,0.8928571428571429,0.09285714285714286,row,525
V2,0.9,3.8018223810495484,0.9821428571428571,0.08214285714285707,row,525
V1,0.1,0.5584052485692845,0.05357142857142857,0.04642857142857144,row,1101
V1,0.2,0.9687680972449184,0.125,0.07500000000000001,row,1101
V1,0.30000000000000004,1.467916636207871,0.17857142857142858,0.12142857142857147,row,1101
V1,0.4,2.481613429362069,0.26785714285714285,0.13214285714285717,row,1101
V1,0.5,3.1513810780032347,0.35714285714285715,0.14285714285714285,row,1101
V1,0.6,9.229316680473287,0.5,0.09999999999999998,row,1101
V1,0.7000000000000001,13.371821078212152,0.5714285714285714,0.12857142857142867,row,1101
V1,0.8,16.105985037406484,0.6071428571428571,0.19285714285714295,row,1101
V1,0.9,309.5094738914175,0.9464285714285714,0.046428571428571375,row,1101
V2,0.1,0.8130429756120944,0.10714285714285714,0.007142857142857131,row,1101
V2,0.2,1.7373779629992496,0.19642857142857142,0.0035714285714285865,row,1101
V2,0.30000000000000004,2.391202704060125,0.23214285714285715,0.0678571428571429,row,1101
V2,0.4,3.668200730692492,0.32142857142857145,0.07857142857142857,row,1101
V2,0.5,5.984280813526096,0.4642857142857143,0.0357142857142857,row,1101
V2,0.6,10.909043523586135,0.5892857142857143,0.010714285714285676,row,1101
V2,0.7000000000000001,25.378651120119397,0.7678571428571429,0.06785714285714284,row,1101
V2,0.8,55.9092938673263,0.8571428571428571,0.05714285714285705,row,1101
V2,0.9,104.93033878949372,0.8928571428571429,0.0071428571428571175,row,1101
