CAS,name,Purity,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2,source_row_1based,sample_id,decision,decision_reason,quality_flags,label_source,V1_ml,V2_ml,canonical_smiles
93-89-0,Ethyl benzoate,0.99,1.045,100,PE,300,0/1,15,2023-07-20_10-34-21.xlsx,Silica-CS 25g,1285.0,1912.0,CCOC(=O)C1=CC=CC=C1,1285.0,1912.0,2,2bb0b424be9f80c38013,keep,,,verified_t1_t2,16.0625,23.9,CCOC(=O)c1ccccc1
93-89-0,Ethyl benzoate,0.99,1.045,200,PE,300,0/1,15,2023-07-20_10-39-27.xlsx,Silica-CS 25g,1348.0,2021.0,CCOC(=O)C1=CC=CC=C1,1348.0,2021.0,3,dffe78ef61ff9f0b3c95,keep,,,verified_t1_t2,16.85,25.2625,CCOC(=O)c1ccccc1
93-89-0,Ethyl benzoate,0.99,1.045,200,PE,300,1/1,15,2023-07-20_11-04-50.xlsx,Silica-CS 25g,1466.0,2222.0,CCOC(=O)C1=CC=CC=C1,1466.0,2222.0,6,d79a3fe72ac3a9fba9cb,keep,,,verified_t1_t2,18.325,27.775,CCOC(=O)c1ccccc1
93-89-0,Ethyl benzoate,0.99,1.045,300,PE,300,1/1,15,2023-07-20_11-16-49.xlsx,Silica-CS 25g,1506.0,2297.0,CCOC(=O)C1=CC=CC=C1,1506.0,2297.0,7,e5fad12bd9aa5b8f139f,keep,,,verified_t1_t2,18.825,28.7125,CCOC(=O)c1ccccc1
93-89-0,Ethyl benzoate,0.99,1.045,100,PE,300,2/1,15,2023-07-20_11-22-56.xlsx,Silica-CS 25g,1566.0,2302.0,CCOC(=O)C1=CC=CC=C1,1566.0,2302.0,8,f83bbbbcadad8cece5d1,keep,,,verified_t1_t2,19.575,28.775,CCOC(=O)c1ccccc1
93-89-0,Ethyl benzoate,0.99,1.045,200,PE,300,2/1,15,2023-07-20_11-28-53.xlsx,Silica-CS 25g,1605.0,2536.0,CCOC(=O)C1=CC=CC=C1,1605.0,2536.0,9,12787d4ff0c5ef2869a4,keep,,,verified_t1_t2,20.0625,31.7,CCOC(=O)c1ccccc1
93-89-0,Ethyl benzoate,0.99,1.045,300,PE,300,2/1,15,2023-07-20_11-34-59.xlsx,Silica-CS 25g,1597.0,2604.0,CCOC(=O)C1=CC=CC=C1,1597.0,2604.0,10,807ed88222c66bdb76c2,keep,,,verified_t1_t2,19.9625,32.55,CCOC(=O)c1ccccc1
93-89-0,Ethyl benzoate,0.99,1.045,300,PE,300,5/1,15,2023-07-20_11-56-14.xlsx,Silica-CS 25g,4603.0,4613.0,CCOC(=O)C1=CC=CC=C1,4603.0,4613.0,13,0815f76eede6a2947f79,keep,,,verified_t1_t2,57.5375,57.6625,CCOC(=O)c1ccccc1
93-89-0,Ethyl benzoate,0.99,1.045,100,PE,300,10/1,15,2023-07-20_12-03-50.xlsx,Silica-CS 25g,2362.0,3336.0,CCOC(=O)C1=CC=CC=C1,2362.0,3336.0,14,ca82919deafea92a65fa,keep,,,verified_t1_t2,29.525,41.7,CCOC(=O)c1ccccc1
93-89-0,Ethyl benzoate,0.99,1.045,200,PE,300,10/1,15,2023-07-20_12-11-02.xlsx,Silica-CS 25g,2214.0,3287.0,CCOC(=O)C1=CC=CC=C1,2214.0,3287.0,15,3698bb883e7b5adc6503,keep,,,verified_t1_t2,27.675,41.0875,CCOC(=O)c1ccccc1
93-89-0,Ethyl benzoate,0.99,1.045,300,PE,300,10/1,15,2023-07-20_12-18-18.xlsx,Silica-CS 25g,2186.0,3343.0,CCOC(=O)C1=CC=CC=C1,2186.0,3343.0,16,f22d2fd5ce5271fa56ed,keep,,,verified_t1_t2,27.325,41.7875,CCOC(=O)c1ccccc1
93-89-0,Ethyl benzoate,0.99,1.045,100,PE,300,20/1,15,2023-07-20_12-27-20.xlsx,Silica-CS 25g,2940.0,4158.0,CCOC(=O)C1=CC=CC=C1,2940.0,4158.0,17,47a37c196cfcc8a2adcd,keep,,,verified_t1_t2,36.75,51.975,CCOC(=O)c1ccccc1
93-89-0,Ethyl benzoate,0.99,1.045,200,PE,300,20/1,15,2023-07-20_12-36-07.xlsx,Silica-CS 25g,2968.0,4041.0,CCOC(=O)C1=CC=CC=C1,2968.0,4041.0,18,92b4442f029bd2b52e98,keep,,,verified_t1_t2,37.1,50.5125,CCOC(=O)c1ccccc1
93-89-0,Ethyl benzoate,0.99,1.045,300,PE,300,50/1,15,2023-07-20_13-24-15.xlsx,Silica-CS 25g,3709.0,6810.0,CCOC(=O)C1=CC=CC=C1,3709.0,6810.0,22,67c36d1c198aa43502b1,keep,,,verified_t1_t2,46.3625,85.125,CCOC(=O)c1ccccc1
101-97-3,Ethyl phenylacetate,0.99,1.03,100,PE,300,0/1,15,2023-07-20_13-38-32.xlsx,Silica-CS 25g,1408.0,1851.0,CCOC(=O)CC1=CC=CC=C1,1408.0,1851.0,23,a4be93de6d5738c27ca4,keep,,,verified_t1_t2,17.6,23.1375,CCOC(=O)Cc1ccccc1
101-97-3,Ethyl phenylacetate,0.99,1.03,200,PE,300,0/1,15,2023-07-20_13-47-30.xlsx,Silica-CS 25g,1571.0,2104.0,CCOC(=O)CC1=CC=CC=C1,1571.0,2104.0,24,ccda847b26c529ff33cf,keep,,,verified_t1_t2,19.6375,26.3,CCOC(=O)Cc1ccccc1
101-97-3,Ethyl phenylacetate,0.99,1.03,300,PE,300,0/1,15,2023-07-20_13-53-20.xlsx,Silica-CS 25g,1352.0,1972.0,CCOC(=O)CC1=CC=CC=C1,1352.0,1972.0,25,f973abb3536190fcd526,keep,,,verified_t1_t2,16.9,24.65,CCOC(=O)Cc1ccccc1
101-97-3,Ethyl phenylacetate,0.99,1.03,100,PE,300,1/1,15,2023-07-20_13-59-22.xlsx,Silica-CS 25g,1517.0,2159.0,CCOC(=O)CC1=CC=CC=C1,1517.0,2159.0,26,a112bc8b77fb0211e81e,keep,,,verified_t1_t2,18.9625,26.9875,CCOC(=O)Cc1ccccc1
