CAS,name,Purity,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2,source_row_1based,sample_id,decision,decision_reason,quality_flags,label_source,V1_ml,V2_ml
529-34-0,1-Tetralone,0.97,1.099,100,DCM,300,5/1,30,2023-11-15_19-11-39.xlsx,Silica-CS 40g,2865,4147,C1CC2=CC=CC=C2C(=O)C1,2865,4147,184,ad550d1e1931969837cf,keep,,,verified_t1_t2,71.625,103.675
529-34-0,1-Tetralone,0.97,1.099,100,DCM,300,10/1,30,2023-11-15_19-24-10.xlsx,Silica-CS 40g,4290,6244,C1CC2=CC=CC=C2C(=O)C1,4290,6244,185,e9d3f2bafce191f732cd,keep,,,verified_t1_t2,107.25,156.1
529-34-0,1-Tetralone,0.97,1.099,100,DCM,300,20/1,30,2023-11-15_19-42-48.xlsx,Silica-CS 40g,6939,9882,C1CC2=CC=CC=C2C(=O)C1,6939,9882,186,be5f4ebbe72ddb23b61b,keep,,,verified_t1_t2,173.475,247.05
529-34-0,1-Tetralone,0.97,1.099,100,DCM,300,50/1,30,2023-11-15_20-18-00.xlsx,Silica-CS 40g,14750,19664,C1CC2=CC=CC=C2C(=O)C1,14750,19664,187,dade2ad3fcef9e975046,keep,,,verified_t1_t2,368.75,491.6
3446-89-7,4-(Methylthio)benzaldehyde,0.98,1.144,100,DCM,300,0/1,30,2023-11-15_20-32-11.xlsx,Silica-CS 40g,1159,1715,CSC1=CC=C(C=C1)C=O,1159,1715,188,c9c7059e90ca5a9299ec,keep,,,verified_t1_t2,28.975,42.875
3446-89-7,4-(Methylthio)benzaldehyde,0.98,1.144,100,DCM,300,1/1,30,2023-11-15_20-38-18.xlsx,Silica-CS 40g,1749,2430,CSC1=CC=C(C=C1)C=O,1749,2430,189,fac2d841fc7d68b35c4a,keep,,,verified_t1_t2,43.725,60.75
3446-89-7,4-(Methylthio)benzaldehyde,0.98,1.144,100,DCM,300,2/1,30,2023-11-15_20-45-31.xlsx,Silica-CS 40g,2232,3090,CSC1=CC=C(C=C1)C=O,2232,3090,190,e9448bf5f750f575e176,keep,,,verified_t1_t2,55.8,77.25
3446-89-7,4-(Methylthio)benzaldehyde,0.98,1.144,100,DCM,300,5/1,30,2023-11-15_20-56-14.xlsx,Silica-CS 40g,3904,5157,CSC1=CC=C(C=C1)C=O,3904,5157,191,0fb7adc8ae7517d4c24a,keep,,,verified_t1_t2,97.6,128.925
3446-89-7,4-(Methylthio)benzaldehyde,0.98,1.144,100,DCM,300,10/1,30,2023-11-15_21-12-25.xlsx,Silica-CS 40g,6447,8425,CSC1=CC=C(C=C1)C=O,6447,8425,192,56578d212b5b5aa2ddb3,keep,,,verified_t1_t2,161.175,210.625
3446-89-7,4-(Methylthio)benzaldehyde,0.98,1.144,100,DCM,300,20/1,30,2023-11-15_21-38-03.xlsx,Silica-CS 40g,10960,14047,CSC1=CC=C(C=C1)C=O,10960,14047,193,76de29f46d324c92d530,keep,,,verified_t1_t2,274.0,351.175
529-20-4,2-Methylbenzaldehyde,0.97,1.039,100,DCM,300,0/1,30,2023-11-16_09-31-43.xlsx,Silica-CS 40g,1099,2005,CC1=CC=CC=C1C=O,1099,2005,194,b6377ae1fa7b4f5b2be1,keep,,,verified_t1_t2,27.475,50.125
529-20-4,2-Methylbenzaldehyde,0.97,1.039,100,DCM,300,1/1,30,2023-11-16_09-37-15.xlsx,Silica-CS 40g,1423,2095,CC1=CC=CC=C1C=O,1423,2095,195,529546ab1ef2c1d4055c,keep,,,verified_t1_t2,35.575,52.375
529-20-4,2-Methylbenzaldehyde,0.97,1.039,100,DCM,300,2/1,30,2023-11-16_09-43-18.xlsx,Silica-CS 40g,1613,2369,CC1=CC=CC=C1C=O,1613,2369,196,d4c4fd5fb16b3705232a,keep,,,verified_t1_t2,40.325,59.225
529-20-4,2-Methylbenzaldehyde,0.97,1.039,100,DCM,300,5/1,30,2023-11-16_10-09-56.xlsx,Silica-CS 40g,2003,3051,CC1=CC=CC=C1C=O,2003,3051,197,b434c6e12f1c429d68a5,keep,,,verified_t1_t2,50.075,76.275
529-20-4,2-Methylbenzaldehyde,0.97,1.039,100,DCM,300,10/1,30,2023-11-16_10-18-24.xlsx,Silica-CS 40g,2611,3825,CC1=CC=CC=C1C=O,2611,3825,198,7bc2d1492af9be81fd07,keep,,,verified_t1_t2,65.275,95.625
529-20-4,2-Methylbenzaldehyde,0.97,1.039,100,DCM,300,20/1,30,2023-11-16_10-29-02.xlsx,Silica-CS 40g,3486,5117,CC1=CC=CC=C1C=O,3486,5117,199,d44772d8011d9de062d0,keep,,,verified_t1_t2,87.15,127.925
529-20-4,2-Methylbenzaldehyde,0.97,1.039,100,DCM,300,50/1,30,2023-11-16_10-44-33.xlsx,Silica-CS 40g,5602,8030,CC1=CC=CC=C1C=O,5602,8030,200,2126417a5c74b99f7f4c,keep,,,verified_t1_t2,140.05,200.75
22532-62-3,4-Bromo-2-hydroxybenzaldehyde,0.9978,1.737,100,DCM,300,0/1,30,2023-11-16_10-59-16.xlsx,Silica-CS 40g,1153,4030,C1=CC(=C(C=C1Br)O)C=O,1153,4030,201,a27953b22601ee9faf71,keep,,,verified_t1_t2,28.825,100.75
22532-62-3,4-Bromo-2-hydroxybenzaldehyde,0.9978,1.737,100,DCM,300,1/1,30,2023-11-16_11-06-29.xlsx,Silica-CS 40g,1511,3096,C1=CC(=C(C=C1Br)O)C=O,1511,3096,202,2742dd16685bc2039fd7,keep,,,verified_t1_t2,37.775,77.4
22532-62-3,4-Bromo-2-hydroxybenzaldehyde,0.9978,1.737,100,DCM,300,2/1,30,2023-11-16_11-14-42.xlsx,Silica-CS 40g,1792,3650,C1=CC(=C(C=C1Br)O)C=O,1792,3650,203,c85a8c9a2eb43e392ffb,keep,,,verified_t1_t2,44.8,91.25
22532-62-3,4-Bromo-2-hydroxybenzaldehyde,0.9978,1.737,100,DCM,300,5/1,30,2023-11-16_11-24-45.xlsx,Silica-CS 40g,2545,4766,C1=CC(=C(C=C1Br)O)C=O,2545,4766,204,4fa75217ee6a16e34f4e,keep,,,verified_t1_t2,63.625,119.15
22532-62-3,4-Bromo-2-hydroxybenzaldehyde,0.9978,1.737,100,DCM,300,10/1,30,2023-11-16_11-37-24.xlsx,Silica-CS 40g,3570,6321,C1=CC(=C(C=C1Br)O)C=O,3570,6321,205,b58d317706f9c38c4b52,keep,,,verified_t1_t2,89.25,158.025
22532-62-3,4-Bromo-2-hydroxybenzaldehyde,0.9978,1.737,100,DCM,300,20/1,30,2023-11-16_11-53-40.xlsx,Silica-CS 40g,5050,8463,C1=CC(=C(C=C1Br)O)C=O,5050,8463,206,18a8ed8fda40538382c1,keep,,,verified_t1_t2,126.25,211.575
22532-62-3,4-Bromo-2-hydroxybenzaldehyde,0.9978,1.737,100,DCM,300,50/1,30,2023-11-16_12-16-12.xlsx,Silica-CS 40g,7777,12221,C1=CC(=C(C=C1Br)O)C=O,7777,12221,207,1407ec7eaae22ad38be5,keep,,,verified_t1_t2,194.425,305.525
99-90-1,4'-Bromoacetophenone,0.98,1.64,100,DCM,300,0/1,30,2023-11-16_13-40-10.xlsx,Silica-CS 40g,1169,3230,CC(=O)C1=CC=C(C=C1)Br,1169,3230,208,ce77f376ab45750c98b7,keep,,,verified_t1_t2,29.225,80.75
99-90-1,4'-Bromoacetophenone,0.98,1.64,100,DCM,300,1/1,30,2023-11-16_13-46-12.xlsx,Silica-CS 40g,3660,3652,CC(=O)C1=CC=C(C=C1)Br,3660,3652,209,ad87a67c0f1a6ebaebfa,keep,,t1_gt_t2,verified_t1_t2,91.5,91.3
99-90-1,4'-Bromoacetophenone,0.98,1.64,100,DCM,300,2/1,30,2023-11-16_14-02-39.xlsx,Silica-CS 40g,1763,2803,CC(=O)C1=CC=C(C=C1)Br,1763,2803,210,0379c5c4c829235a9a2e,keep,,,verified_t1_t2,44.075,70.075
99-90-1,4'-Bromoacetophenone,0.98,1.64,100,DCM,300,5/1,30,2023-11-16_14-12-28.xlsx,Silica-CS 40g,3043,4616,CC(=O)C1=CC=C(C=C1)Br,3043,4616,211,684dc9d0052dcb62b7f2,keep,,,verified_t1_t2,76.075,115.4
99-90-1,4'-Bromoacetophenone,0.98,1.64,100,DCM,300,10/1,30,2023-11-16_14-26-38.xlsx,Silica-CS 40g,4766,7213,CC(=O)C1=CC=C(C=C1)Br,4766,7213,212,67faefd8a142f812bc30,keep,,,verified_t1_t2,119.15,180.325
99-90-1,4'-Bromoacetophenone,0.98,1.64,100,DCM,300,20/1,30,2023-11-16_14-48-04.xlsx,Silica-CS 40g,7760,11604,CC(=O)C1=CC=C(C=C1)Br,7760,11604,213,bff4d8a656f65010e22a,keep,,,verified_t1_t2,194.0,290.1
99-90-1,4'-Bromoacetophenone,0.98,1.64,100,DCM,300,50/1,30,2023-11-16_15-26-31.xlsx,Silica-CS 40g,15067,21567,CC(=O)C1=CC=C(C=C1)Br,15067,21567,214,49717862a05b1cfa5263,keep,,,verified_t1_t2,376.675,539.175
451-40-1,2-Phenylacetophenone,0.97,1.2,100,DCM,300,0/1,30,2023-11-16_15-41-59.xlsx,Silica-CS 40g,1182,3023,C1=CC=C(C=C1)CC(=O)C2=CC=CC=C2,1182,3023,215,4879cadff801a16c556c,keep,,,verified_t1_t2,29.55,75.575
451-40-1,2-Phenylacetophenone,0.97,1.2,100,DCM,300,1/1,30,2023-11-16_15-47-41.xlsx,Silica-CS 40g,1330,2194,C1=CC=C(C=C1)CC(=O)C2=CC=CC=C2,1330,2194,216,70841da313fc80f14e49,keep,,,verified_t1_t2,33.25,54.85
451-40-1,2-Phenylacetophenone,0.97,1.2,100,DCM,300,2/1,30,2023-11-16_15-54-18.xlsx,Silica-CS 40g,1560,2714,C1=CC=C(C=C1)CC(=O)C2=CC=CC=C2,1560,2714,217,7b1aa962535e1989c714,keep,,,verified_t1_t2,39.0,67.85
451-40-1,2-Phenylacetophenone,0.97,1.2,100,DCM,300,5/1,30,2023-11-16_16-01-26.xlsx,Silica-CS 40g,2055,3035,C1=CC=C(C=C1)CC(=O)C2=CC=CC=C2,2055,3035,218,a823af3db6a9e57eba06,keep,,,verified_t1_t2,51.375,75.875
451-40-1,2-Phenylacetophenone,0.97,1.2,100,DCM,300,10/1,30,2023-11-16_16-10-14.xlsx,Silica-CS 40g,2798,4048,C1=CC=C(C=C1)CC(=O)C2=CC=CC=C2,2798,4048,219,822d97e86525588ba1d7,keep,,,verified_t1_t2,69.95,101.2
451-40-1,2-Phenylacetophenone,0.97,1.2,100,DCM,300,20/1,30,2023-11-16_16-21-58.xlsx,Silica-CS 40g,3986,5777,C1=CC=C(C=C1)CC(=O)C2=CC=CC=C2,3986,5777,220,0cd131ed55100e930ffd,keep,,,verified_t1_t2,99.65,144.425
451-40-1,2-Phenylacetophenone,0.97,1.2,100,DCM,300,50/1,30,2023-11-16_16-41-04.xlsx,Silica-CS 40g,7226,10187,C1=CC=C(C=C1)CC(=O)C2=CC=CC=C2,7226,10187,221,68925b061b2211e14e1f,keep,,,verified_t1_t2,180.65,254.675
3218-36-8,4-Biphenylcarboxaldehyde,0.98,1.107,100,DCM,300,0/1,30,2023-11-16_17-01-54.xlsx,Silica-CS 40g,1066,2803,C1=CC=C(C=C1)C2=CC=C(C=C2)C=O,1066,2803,222,969b1be00d162f266272,keep,,,verified_t1_t2,26.65,70.075
3218-36-8,4-Biphenylcarboxaldehyde,0.98,1.107,100,DCM,300,1/1,30,2023-11-16_17-07-31.xlsx,Silica-CS 40g,1189,2146,C1=CC=C(C=C1)C2=CC=C(C=C2)C=O,1189,2146,223,139c2875965a2295346c,keep,,,verified_t1_t2,29.725,53.65
3218-36-8,4-Biphenylcarboxaldehyde,0.98,1.107,100,DCM,300,2/1,30,2023-11-16_17-13-54.xlsx,Silica-CS 40g,1424,2569,C1=CC=C(C=C1)C2=CC=C(C=C2)C=O,1424,2569,224,fad0eba55805aa9a4b95,keep,,,verified_t1_t2,35.6,64.225
3218-36-8,4-Biphenylcarboxaldehyde,0.98,1.107,100,DCM,300,5/1,30,2023-11-16_17-48-43.xlsx,Silica-CS 40g,3838,5652,C1=CC=C(C=C1)C2=CC=C(C=C2)C=O,3838,5652,225,f9674c7798f0acf299c4,keep,,,verified_t1_t2,95.95,141.3
3218-36-8,4-Biphenylcarboxaldehyde,0.98,1.107,100,DCM,300,10/1,30,2023-11-16_18-00-11.xlsx,Silica-CS 40g,3692,5626,C1=CC=C(C=C1)C2=CC=C(C=C2)C=O,3692,5626,226,64f2ebdac2e52b2718ef,keep,,,verified_t1_t2,92.3,140.65
3218-36-8,4-Biphenylcarboxaldehyde,0.98,1.107,100,DCM,300,20/1,30,2023-11-16_18-16-57.xlsx,Silica-CS 40g,5928,8757,C1=CC=C(C=C1)C2=CC=C(C=C2)C=O,5928,8757,227,a55ff49fb8163b6ef675,keep,,,verified_t1_t2,148.2,218.925
3218-36-8,4-Biphenylcarboxaldehyde,0.98,1.107,100,DCM,300,50/1,30,2023-11-16_18-44-35.xlsx,Silica-CS 40g,12608,15204,C1=CC=C(C=C1)C2=CC=C(C=C2)C=O,12608,15204,228,6f8ca07ffba5e9a0eb73,keep,,,verified_t1_t2,315.2,380.1
3378-82-3,1-BROMO-2-NAPHTHALDEHYDE,0.98,1.552,100,DCM,700,0/1,30,2023-11-16_18-59-34.xlsx,Silica-CS 40g,879,3038,C1=CC=C2C(=C1)C=CC(=C2Br)C=O,879,3038,229,b12dd93c5342503c138f,keep,,,verified_t1_t2,21.975,75.95
3378-82-3,1-BROMO-2-NAPHTHALDEHYDE,0.98,1.552,100,DCM,700,1/1,30,2023-11-16_19-05-12.xlsx,Silica-CS 40g,1067,2139,C1=CC=C2C(=C1)C=CC(=C2Br)C=O,1067,2139,230,33b7059e76b7c12708a9,keep,,,verified_t1_t2,26.675,53.475
3378-82-3,1-BROMO-2-NAPHTHALDEHYDE,0.98,1.552,100,DCM,700,2/1,30,2023-11-16_19-11-29.xlsx,Silica-CS 40g,1253,2506,C1=CC=C2C(=C1)C=CC(=C2Br)C=O,1253,2506,231,13e9d38ab3a8d7b52295,keep,,,verified_t1_t2,31.325,62.65
3378-82-3,1-BROMO-2-NAPHTHALDEHYDE,0.98,1.552,100,DCM,700,5/1,30,2023-11-16_19-18-47.xlsx,Silica-CS 40g,1433,3130,C1=CC=C2C(=C1)C=CC(=C2Br)C=O,1433,3130,232,efdee091075e7bd9d64c,keep,,,verified_t1_t2,35.825,78.25
3378-82-3,1-BROMO-2-NAPHTHALDEHYDE,0.98,1.552,100,DCM,700,10/1,30,2023-11-16_19-27-00.xlsx,Silica-CS 40g,1720,3670,C1=CC=C2C(=C1)C=CC(=C2Br)C=O,1720,3670,233,56da4dfd68efb6ca50dc,keep,,,verified_t1_t2,43.0,91.75
3378-82-3,1-BROMO-2-NAPHTHALDEHYDE,0.98,1.552,100,DCM,700,20/1,30,2023-11-16_19-36-48.xlsx,Silica-CS 40g,2416,4627,C1=CC=C2C(=C1)C=CC(=C2Br)C=O,2416,4627,234,49f83eb68a2075533ac4,keep,,,verified_t1_t2,60.4,115.675
3378-82-3,1-BROMO-2-NAPHTHALDEHYDE,0.98,1.552,100,DCM,700,50/1,30,2023-11-16_19-50-02.xlsx,Silica-CS 40g,3394,6689,C1=CC=C2C(=C1)C=CC(=C2Br)C=O,3394,6689,235,35fd5a9965800e59f596,keep,,,verified_t1_t2,84.85,167.225
614-47-1,trans-Chalcone,0.98,1.0712,100,DCM,300,0/1,30,2023-11-16_20-04-21.xlsx,Silica-CS 40g,1011,1818,C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2,1011,1818,236,0973a187ee1a7eda064b,keep,,,verified_t1_t2,25.275,45.45
614-47-1,trans-Chalcone,0.98,1.0712,100,DCM,300,1/1,30,2023-11-16_20-10-03.xlsx,Silica-CS 40g,1202,2184,C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2,1202,2184,237,7091a1b165feafc9cdc4,keep,,,verified_t1_t2,30.05,54.6
614-47-1,trans-Chalcone,0.98,1.0712,100,DCM,300,2/1,30,2023-11-16_20-16-55.xlsx,Silica-CS 40g,1380,2882,C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2,1380,2882,238,d6c876d8ba0eba9304ae,keep,,,verified_t1_t2,34.5,72.05
614-47-1,trans-Chalcone,0.98,1.0712,100,DCM,300,5/1,30,2023-11-16_20-24-23.xlsx,Silica-CS 40g,1919,3243,C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2,1919,3243,239,4b8ca35152285d6d780f,keep,,,verified_t1_t2,47.975,81.075
614-47-1,trans-Chalcone,0.98,1.0712,100,DCM,300,10/1,30,2023-11-16_20-33-51.xlsx,Silica-CS 40g,2674,4417,C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2,2674,4417,240,6cc1f8d820ebe25b7504,keep,,,verified_t1_t2,66.85,110.425
614-47-1,trans-Chalcone,0.98,1.0712,100,DCM,300,20/1,30,2023-11-16_20-46-51.xlsx,Silica-CS 40g,3994,6528,C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2,3994,6528,241,0bca1ad153f2540184a4,keep,,,verified_t1_t2,99.85,163.2
614-47-1,trans-Chalcone,0.98,1.0712,100,DCM,300,50/1,30,2023-11-16_21-09-33.xlsx,Silica-CS 40g,7933,12332,C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2,7933,12332,242,f4ed3ba272f6321551be,keep,,,verified_t1_t2,198.325,308.3
35225-79-7,"trans,trans-Dibenzylideneacetone",0.98,1.0477,100,DCM,300,0/1,30,2023-11-16_21-20-28.xlsx,Silica-CS 40g,1009,1732,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2,1009,1732,243,b3584b969dcbf71eedfb,keep,,,verified_t1_t2,25.225,43.3
35225-79-7,"trans,trans-Dibenzylideneacetone",0.98,1.0477,100,DCM,300,1/1,30,2023-11-16_21-25-56.xlsx,Silica-CS 40g,1068,2038,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2,1068,2038,244,82514329e616bf995215,keep,,,verified_t1_t2,26.7,50.95
35225-79-7,"trans,trans-Dibenzylideneacetone",0.98,1.0477,100,DCM,300,2/1,30,2023-11-16_21-32-08.xlsx,Silica-CS 40g,1433,2466,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2,1433,2466,245,6e4317f7c83c97e07af5,keep,,,verified_t1_t2,35.825,61.65
35225-79-7,"trans,trans-Dibenzylideneacetone",0.98,1.0477,100,DCM,300,5/1,30,2023-11-16_21-40-41.xlsx,Silica-CS 40g,2342,3868,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2,2342,3868,246,d056ed1b31d952394fff,keep,,,verified_t1_t2,58.55,96.7
35225-79-7,"trans,trans-Dibenzylideneacetone",0.98,1.0477,100,DCM,300,10/1,30,2023-11-16_21-53-30.xlsx,Silica-CS 40g,4041,6425,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2,4041,6425,247,96413b5dbf0afac1b050,keep,,,verified_t1_t2,101.025,160.625
35225-79-7,"trans,trans-Dibenzylideneacetone",0.98,1.0477,100,DCM,300,20/1,30,2023-11-16_22-15-22.xlsx,Silica-CS 40g,7984,11823,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2,7984,11823,248,8bd47596b8ba3aac60df,keep,,,verified_t1_t2,199.6,295.575
35225-79-7,"trans,trans-Dibenzylideneacetone",0.98,1.0477,100,DCM,300,50/1,30,2023-11-17_10-32-52.xlsx,Silica-CS 40g,21188,29801,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2,21188,29801,249,6b57f6f037747dd87202,keep,,,verified_t1_t2,529.7,745.025
19829-31-3,3'-Bromopropiophenone,0.9986,1.3841,100,DCM,300,0/1,30,2023-11-17_10-44-42.xlsx,Silica-CS 40g,1010,1491,CCC(=O)C1=CC(=CC=C1)Br,1010,1491,250,1f90e894cea1ceceabbb,keep,,,verified_t1_t2,25.25,37.275
19829-31-3,3'-Bromopropiophenone,0.9986,1.3841,100,DCM,300,1/1,30,2023-11-17_10-49-49.xlsx,Silica-CS 40g,1412,1805,CCC(=O)C1=CC(=CC=C1)Br,1412,1805,251,a2a56cf1db8f6baf02ee,keep,,,verified_t1_t2,35.3,45.125
19829-31-3,3'-Bromopropiophenone,0.9986,1.3841,100,DCM,300,2/1,30,2023-11-17_10-55-21.xlsx,Silica-CS 40g,1578,2055,CCC(=O)C1=CC(=CC=C1)Br,1578,2055,252,b135607882745fcc1b68,keep,,,verified_t1_t2,39.45,51.375
19829-31-3,3'-Bromopropiophenone,0.9986,1.3841,100,DCM,300,5/1,30,2023-11-17_11-01-49.xlsx,Silica-CS 40g,2044,2634,CCC(=O)C1=CC(=CC=C1)Br,2044,2634,253,76a5293ed7591127c009,keep,,,verified_t1_t2,51.1,65.85
19829-31-3,3'-Bromopropiophenone,0.9986,1.3841,100,DCM,300,10/1,30,2023-11-17_11-09-36.xlsx,Silica-CS 40g,2652,3429,CCC(=O)C1=CC(=CC=C1)Br,2652,3429,254,c3f9c2e64e100cfd1642,keep,,,verified_t1_t2,66.3,85.725
19829-31-3,3'-Bromopropiophenone,0.9986,1.3841,100,DCM,300,20/1,30,2023-11-17_11-19-25.xlsx,Silica-CS 40g,3589,4617,CCC(=O)C1=CC(=CC=C1)Br,3589,4617,255,bd1c89d59d7d27c59242,keep,,,verified_t1_t2,89.725,115.425
19829-31-3,3'-Bromopropiophenone,0.9986,1.3841,100,DCM,300,50/1,30,2023-11-17_11-33-24.xlsx,Silica-CS 40g,5625,7133,CCC(=O)C1=CC(=CC=C1)Br,5625,7133,256,e3a1660511b3073c1d15,keep,,,verified_t1_t2,140.625,178.325
13211-01-3,4-Phenylbutyrophenone,0.99,1.022,100,DCM,400,0/1,30,2023-11-17_11-46-53.xlsx,Silica-CS 40g,1008,2989,CCCC(=O)C1=CC=C(C=C1)C2=CC=CC=C2,1008,2989,257,278cf64c1c929fc9f0f1,keep,,,verified_t1_t2,25.2,74.725
13211-01-3,4-Phenylbutyrophenone,0.99,1.022,100,DCM,400,1/1,30,2023-11-17_11-52-10.xlsx,Silica-CS 40g,1010,1912,CCCC(=O)C1=CC=C(C=C1)C2=CC=CC=C2,1010,1912,258,b2d25dcd52bceea504fd,keep,,,verified_t1_t2,25.25,47.8
13211-01-3,4-Phenylbutyrophenone,0.99,1.022,100,DCM,400,2/1,30,2023-11-17_11-58-17.xlsx,Silica-CS 40g,1146,2417,CCCC(=O)C1=CC=C(C=C1)C2=CC=CC=C2,1146,2417,259,ee51e76aaee3e74875e6,keep,,,verified_t1_t2,28.65,60.425
13211-01-3,4-Phenylbutyrophenone,0.99,1.022,100,DCM,400,5/1,30,2023-11-17_12-05-05.xlsx,Silica-CS 40g,1415,2837,CCCC(=O)C1=CC=C(C=C1)C2=CC=CC=C2,1415,2837,260,d8f8f888de1b571fac47,keep,,,verified_t1_t2,35.375,70.925
13211-01-3,4-Phenylbutyrophenone,0.99,1.022,100,DCM,400,10/1,30,2023-11-17_12-12-32.xlsx,Silica-CS 40g,1860,3220,CCCC(=O)C1=CC=C(C=C1)C2=CC=CC=C2,1860,3220,261,1b7221d3af5507fa5b04,keep,,,verified_t1_t2,46.5,80.5
13211-01-3,4-Phenylbutyrophenone,0.99,1.022,100,DCM,400,20/1,30,2023-11-17_12-22-01.xlsx,Silica-CS 40g,2627,4446,CCCC(=O)C1=CC=C(C=C1)C2=CC=CC=C2,2627,4446,262,8078326b607a3ba1d79f,keep,,,verified_t1_t2,65.675,111.15
13211-01-3,4-Phenylbutyrophenone,0.99,1.022,100,DCM,400,50/1,30,2023-11-17_12-37-21.xlsx,Silica-CS 40g,4608,7943,CCCC(=O)C1=CC=C(C=C1)C2=CC=CC=C2,4608,7943,263,6ceaa3238e2a6534b246,keep,,,verified_t1_t2,115.2,198.575
3874-54-2,4-Chloro-4'-fluorobutyrophenone,0.97,1.22,100,DCM,300,0/1,30,2023-11-17_13-01-41.xlsx,Silica-CS 40g,970,1905,C1=CC(=CC=C1C(=O)CCCCl)F,970,1905,264,d124467124e601f635e7,keep,,,verified_t1_t2,24.25,47.625
3874-54-2,4-Chloro-4'-fluorobutyrophenone,0.97,1.22,100,DCM,300,1/1,30,2023-11-17_13-06-59.xlsx,Silica-CS 40g,1156,1908,C1=CC(=CC=C1C(=O)CCCCl)F,1156,1908,265,2c692a1f38f0107d3902,keep,,,verified_t1_t2,28.9,47.7
3874-54-2,4-Chloro-4'-fluorobutyrophenone,0.97,1.22,100,DCM,300,2/1,30,2023-11-17_13-12-41.xlsx,Silica-CS 40g,1384,2198,C1=CC(=CC=C1C(=O)CCCCl)F,1384,2198,266,0b5420fabd9439d20a2f,keep,,,verified_t1_t2,34.6,54.95
3874-54-2,4-Chloro-4'-fluorobutyrophenone,0.97,1.22,100,DCM,300,5/1,30,2023-11-17_13-20-03.xlsx,Silica-CS 40g,2010,3164,C1=CC(=CC=C1C(=O)CCCCl)F,2010,3164,267,21f83de41c0aa339224b,keep,,,verified_t1_t2,50.25,79.1
3874-54-2,4-Chloro-4'-fluorobutyrophenone,0.97,1.22,100,DCM,300,10/1,30,2023-11-17_13-30-07.xlsx,Silica-CS 40g,3130,4753,C1=CC(=CC=C1C(=O)CCCCl)F,3130,4753,268,20bfc4d9d4f1b55a56c7,keep,,,verified_t1_t2,78.25,118.825
3874-54-2,4-Chloro-4'-fluorobutyrophenone,0.97,1.22,100,DCM,300,20/1,30,2023-11-17_13-46-02.xlsx,Silica-CS 40g,5492,8288,C1=CC(=CC=C1C(=O)CCCCl)F,5492,8288,269,93bbf86d615a59db5a59,keep,,,verified_t1_t2,137.3,207.2
3874-54-2,4-Chloro-4'-fluorobutyrophenone,0.97,1.22,100,DCM,300,50/1,30,2023-11-17_14-12-40.xlsx,Silica-CS 40g,9759,14656,C1=CC(=CC=C1C(=O)CCCCl)F,9759,14656,270,a62b9f8db42498eb3e22,keep,,,verified_t1_t2,243.975,366.4
620-79-1,THYL 2-BENZYLACETOACETATE,0.97,1.036,100,DCM,300,0/1,30,2023-11-17_14-32-07.xlsx,Silica-CS 40g,1217,1828,CCOC(=O)C(CC1=CC=CC=C1)C(=O)C,1217,1828,271,b9efa5537ca514c12397,keep,,,verified_t1_t2,30.425,45.7
620-79-1,THYL 2-BENZYLACETOACETATE,0.97,1.036,100,DCM,300,1/1,30,2023-11-17_14-37-40.xlsx,Silica-CS 40g,1424,2086,CCOC(=O)C(CC1=CC=CC=C1)C(=O)C,1424,2086,272,e1ae63bd1818e0593ae3,keep,,,verified_t1_t2,35.6,52.15
620-79-1,THYL 2-BENZYLACETOACETATE,0.97,1.036,100,DCM,300,2/1,30,2023-11-17_14-44-07.xlsx,Silica-CS 40g,1715,2613,CCOC(=O)C(CC1=CC=CC=C1)C(=O)C,1715,2613,273,65405acf6e06b2d8ac2c,keep,,,verified_t1_t2,42.875,65.325
620-79-1,THYL 2-BENZYLACETOACETATE,0.97,1.036,100,DCM,300,5/1,30,2023-11-17_14-53-25.xlsx,Silica-CS 40g,2811,4313,CCOC(=O)C(CC1=CC=CC=C1)C(=O)C,2811,4313,274,a53ceba7abca76ca2552,keep,,,verified_t1_t2,70.275,107.825
620-79-1,THYL 2-BENZYLACETOACETATE,0.97,1.036,100,DCM,300,10/1,30,2023-11-17_15-08-05.xlsx,Silica-CS 40g,4977,7503,CCOC(=O)C(CC1=CC=CC=C1)C(=O)C,4977,7503,275,a00fd7b19caeafb9c333,keep,,,verified_t1_t2,124.425,187.575
