config,mode,pretrained,learning_rate,v2_weight,loss_scaling,reinitialize_head,best_epoch,epochs_run,trainable_parameters,total_parameters,normalized_valid_score,legacy_valid_score,normalized_test_score,valid_V1_mae,valid_V1_rmse,valid_V1_r2,valid_V1_mean_pinball_loss,valid_V1_interval_80_coverage,valid_V1_interval_80_mean_width,valid_V2_mae,valid_V2_rmse,valid_V2_r2,valid_V2_mean_pinball_loss,valid_V2_interval_80_coverage,valid_V2_interval_80_mean_width,valid_quantile_crossing_rate,test_V1_mae,test_V1_rmse,test_V1_r2,test_V1_mean_pinball_loss,test_V1_interval_80_coverage,test_V1_interval_80_mean_width,test_V2_mae,test_V2_rmse,test_V2_r2,test_V2_mean_pinball_loss,test_V2_interval_80_coverage,test_V2_interval_80_mean_width,test_quantile_crossing_rate,split_mode,seed,scaler,train_rows,valid_rows,test_rows
scratch_lr1e-3,full,False,0.001,0.5,legacy,False,79,179,775476,775476,0.5410888990803633,70.69667612234662,1.124897858769539,1.9317084550857544,3.4379539489746094,0.8265443975641592,1.116342306137085,0.9818181818181818,20.742233276367188,4.716608047485352,10.851465225219727,0.5566841978572861,1.821328043937683,0.6545454545454545,9.749767303466797,0.07272727272727272,3.1459732055664062,8.234579086303711,-0.06668644552748115,1.357654333114624,0.9642857142857143,22.72745704650879,5.658963680267334,11.104736328125,0.42974509519616877,2.36480712890625,0.5892857142857143,9.899739265441895,0.017857142857142856,row,42,target_train,441,55,56
head_only_lr1e-4,head_only,True,0.0001,0.5,legacy,False,500,500,774,775476,0.44379340265759715,53.70858484548944,1.0279081018058687,2.943774461746216,4.500298500061035,0.7027849013098302,0.9688915014266968,0.7272727272727273,8.349461555480957,5.882165908813477,8.179963111877441,0.7480935924800665,2.0267200469970703,0.5636363636363636,10.61944580078125,0.01818181818181818,3.435818910598755,7.402693271636963,0.13794795279189187,1.0968748331069946,0.8214285714285714,9.26091194152832,4.880616188049316,11.52420711517334,0.3858498367068014,1.7291921377182007,0.7857142857142857,11.282099723815918,0.0,row,42,source_4g,441,55,56
last2_head_lr1e-4,last2_head,True,0.0001,0.5,legacy,False,50,150,186134,775476,0.23073944200899565,28.642534525054145,1.1175075845516478,2.137253761291504,2.959172010421753,0.8714924661523566,0.7731184959411621,0.8363636363636363,10.452719688415527,4.237478733062744,6.306478500366211,0.8502694853204382,1.5852938890457153,0.5636363636363636,7.351168632507324,0.01818181818181818,2.899235486984253,7.935973644256592,0.009271992529570894,1.073830246925354,0.8571428571428571,11.073399543762207,4.9194207191467285,11.611258506774902,0.37653634231299427,1.8431111574172974,0.5892857142857143,7.524158954620361,0.0,row,42,source_4g,441,55,56
full_lr1e-4,full,True,0.0001,0.5,legacy,False,42,142,775476,775476,0.2449318607871423,30.612867541075502,1.263582820585797,2.186452865600586,2.963150978088379,0.8711466399963885,0.820875346660614,0.6909090909090909,10.627565383911133,4.341594696044922,6.607965469360352,0.8356112639910673,1.667274832725525,0.43636363636363634,4.817734718322754,0.07272727272727272,3.681673526763916,8.378988265991211,-0.1044275158244603,1.254981279373169,0.7678571428571429,11.335760116577148,6.183923244476318,12.460637092590332,0.2819858788357854,2.5153210163116455,0.44642857142857145,4.861686706542969,0.10714285714285714,row,42,source_4g,441,55,56
head_reinit_lr1e-4,head_only,True,0.0001,0.5,legacy,True,500,500,774,775476,0.7822442097688942,98.39228556813782,0.9590286709021347,3.6652302742004395,5.148064136505127,0.6110658441926708,1.180782675743103,0.6909090909090909,8.13474178314209,8.386926651000977,11.990806579589844,0.4587059677818165,3.9692249298095703,0.09090909090909091,3.4240150451660156,0.36363636363636365,3.5260767936706543,6.511036396026611,0.33310989530097057,1.124091386795044,0.6964285714285714,8.845121383666992,7.854069232940674,12.1840238571167,0.313510361041754,3.7546679973602295,0.125,3.0194294452667236,0.5,row,42,source_4g,441,55,56
last2_head_reinit_lr1e-4,last2_head,True,0.0001,0.5,legacy,True,151,251,186134,775476,0.2544606377510353,31.18910359273758,1.1804531797415685,2.398089647293091,3.261871576309204,0.8438572024440749,0.7583456039428711,0.8363636363636363,9.192273139953613,4.1767778396606445,6.410818576812744,0.8452739516195824,3.250511884689331,0.09090909090909091,5.485824108123779,0.9272727272727272,3.240753412246704,7.900248050689697,0.018171862663930005,1.1893606185913086,0.6964285714285714,9.215362548828125,5.73893404006958,12.40859317779541,0.28797117252887283,3.857236862182617,0.16071428571428573,4.868933200836182,0.9642857142857143,row,42,source_4g,441,55,56
last2_head_equal_v2_lr1e-4,last2_head,True,0.0001,1.0,legacy,False,54,154,186134,775476,0.23475632811124975,29.44480076593163,1.0646315770547274,2.0659830570220947,2.856459617614746,0.8802585851363576,0.7568832635879517,0.8545454545454545,10.10330581665039,4.335760116577148,6.524636268615723,0.8397311684310492,1.5862149000167847,0.6181818181818182,7.473095893859863,0.0,2.8980953693389893,7.703503608703613,0.0664650649355637,1.0663056373596191,0.8392857142857143,10.757368087768555,4.904178619384766,11.41423511505127,0.3975151918560007,1.8223905563354492,0.6428571428571429,7.638916492462158,0.0,row,42,source_4g,441,55,56
last2_head_standardized_loss_lr1e-4,last2_head,True,0.0001,1.0,target_standard_deviation,False,55,155,186134,775476,0.2277742162374163,27.889248820444777,1.1676524956641132,2.168182611465454,3.0976381301879883,0.8591847844178209,0.7062219977378845,0.8909090909090909,8.764829635620117,4.088989734649658,6.048782825469971,0.862256073989695,1.3818864822387695,0.6909090909090909,9.000198364257812,0.0,3.0486769676208496,8.140204429626465,-0.04237641503895695,1.0782842636108398,0.8571428571428571,9.195759773254395,4.941680431365967,11.814663887023926,0.35450147793691067,1.802683711051941,0.6964285714285714,9.215832710266113,0.0,row,42,source_4g,441,55,56
scratch_lr1e-3,full,False,0.001,0.5,legacy,False,51,151,775476,775476,0.3259419678349231,41.24193641565137,0.6889292855615063,1.913212776184082,3.5301427841186523,0.5095609128562785,0.8787580728530884,0.7636363636363637,12.145514488220215,4.815896511077881,7.58683443069458,0.5243164065724162,1.6549582481384277,0.7636363636363637,14.63278579711914,0.03636363636363636,2.7801551818847656,6.327358245849609,0.5568988000739984,1.2136210203170776,0.7321428571428571,12.89741039276123,4.751114368438721,9.085036277770996,0.7101379619131714,1.655756950378418,0.7678571428571429,15.622593879699707,0.16071428571428573,row,525,target_train,441,55,56
head_only_lr1e-4,head_only,True,0.0001,0.5,legacy,False,500,500,774,775476,0.4133425211067027,52.76670769143817,0.40140705468373283,2.392515182495117,3.8361566066741943,0.4208471730980392,0.8428832292556763,0.7818181818181819,6.982258319854736,4.782792568206787,8.723601341247559,0.37108993803739476,1.708294153213501,0.7818181818181819,9.318687438964844,0.0,2.9242541790008545,5.004353046417236,0.7228250406349347,1.0510902404785156,0.8571428571428571,8.350312232971191,3.8161633014678955,6.571653366088867,0.8483343098385983,1.3477832078933716,0.7857142857142857,10.183807373046875,0.0,row,525,source_4g,441,55,56
