split_mode,seed,config,excluded_source_row_1based,remaining_test_rows,V1_mae,V1_rmse,V1_r2,V1_mean_pinball_loss,V1_interval_80_coverage,V1_interval_80_mean_width,V2_mae,V2_rmse,V2_r2,V2_mean_pinball_loss,V2_interval_80_coverage,V2_interval_80_mean_width,quantile_crossing_rate
compound,42,full_lr1e-4,224,54,1.2796152830123901,1.6872286796569824,0.9625884690299128,0.5517451763153076,0.8888888888888888,8.884048461914062,3.478957176208496,4.531509876251221,0.90596228918685,1.2743289470672607,0.4074074074074074,4.578959941864014,0.05555555555555555
compound,42,head_only_lr1e-4,224,54,3.1463358402252197,4.547092437744141,0.7282777850595461,1.010589599609375,0.8333333333333334,9.898823738098145,4.3850250244140625,6.26046895980835,0.8205142714128751,1.4440200328826904,0.7407407407407407,11.945804595947266,0.0
compound,42,last2_head_lr1e-4,224,54,2.143455982208252,3.0623157024383545,0.8767583589188797,0.9622857570648193,0.6666666666666666,11.24581527709961,3.422231912612915,4.355384826660156,0.9131301184879201,1.2782210111618042,0.5370370370370371,6.417266845703125,0.48148148148148145
compound,42,scratch_lr1e-3,224,54,2.2402265071868896,3.80889892578125,0.8093413753368445,1.049579381942749,0.9814814814814815,19.642494201660156,5.7609944343566895,7.76064920425415,0.7241885596973449,2.0210394859313965,0.46296296296296297,10.00341796875,0.018518518518518517
compound,525,full_lr1e-4,224,58,2.0071048736572266,2.704395055770874,0.8471183979752739,0.7242387533187866,0.896551724137931,10.509891510009766,4.10973596572876,5.976936340332031,0.826293728032468,1.4674923419952393,0.4482758620689655,4.97966194152832,0.034482758620689655
compound,525,head_only_lr1e-4,224,58,2.1181886196136475,3.2006101608276367,0.7858685142303719,0.7099140286445618,0.8793103448275862,8.287336349487305,3.5034987926483154,5.798770427703857,0.8364953698249425,1.2248822450637817,0.8103448275862069,10.22938060760498,0.0
compound,525,last2_head_lr1e-4,224,58,1.526544213294983,2.267082452774048,0.892564066567691,0.6574722528457642,0.8793103448275862,10.260900497436523,3.448767900466919,5.2185821533203125,0.8675770609005011,1.2393083572387695,0.6379310344827587,5.718857288360596,0.20689655172413793
compound,525,scratch_lr1e-3,224,58,2.1916019916534424,3.3623154163360596,0.7636847098391539,0.9483779668807983,0.46551724137931033,5.471262454986572,4.153589725494385,6.575211048126221,0.7897782670572351,1.8066480159759521,0.5172413793103449,7.702279090881348,0.15517241379310345
compound,1101,full_lr1e-4,224,57,2.4360437393188477,3.5491044521331787,0.8610134875456681,0.8697916865348816,0.8421052631578947,11.460373878479004,5.476681232452393,8.099337577819824,0.7350637448407331,2.033867120742798,0.3157894736842105,5.739940643310547,0.03508771929824561
compound,1101,head_only_lr1e-4,224,57,2.4273056983947754,3.728300094604492,0.846624219300292,0.7591618895530701,0.9473684210526315,9.54637622833252,3.8784961700439453,5.478277206420898,0.8787922558235279,1.2275089025497437,0.7894736842105263,10.739361763000488,0.0
