outer_seed,budget,method,gradient_train_ids_hash,gradient_train_rows,validation_ids_hash,validation_rows,evaluation_ids_hash,evaluation_rows,target_labels_used_for_fit
769539383,30,zero_shot,,0,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,645c6bc0eff0e108d2196b529f0a62e61fb58f572bbf1a8dafbd5346c6ca24f3,58,False
769539383,30,affine,f6f75db1b351604afaee3e1ae49af6009bed4fa241728dd35f4096bec4d63f26,22,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,645c6bc0eff0e108d2196b529f0a62e61fb58f572bbf1a8dafbd5346c6ca24f3,58,True
769539383,30,condition_ridge_residual,f6f75db1b351604afaee3e1ae49af6009bed4fa241728dd35f4096bec4d63f26,22,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,645c6bc0eff0e108d2196b529f0a62e61fb58f572bbf1a8dafbd5346c6ca24f3,58,True
769539383,30,target_head_only,f6f75db1b351604afaee3e1ae49af6009bed4fa241728dd35f4096bec4d63f26,22,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,645c6bc0eff0e108d2196b529f0a62e61fb58f572bbf1a8dafbd5346c6ca24f3,58,True
769539383,30,last1_head,f6f75db1b351604afaee3e1ae49af6009bed4fa241728dd35f4096bec4d63f26,22,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,645c6bc0eff0e108d2196b529f0a62e61fb58f572bbf1a8dafbd5346c6ca24f3,58,True
769539383,30,current_last2_head,f6f75db1b351604afaee3e1ae49af6009bed4fa241728dd35f4096bec4d63f26,22,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,645c6bc0eff0e108d2196b529f0a62e61fb58f572bbf1a8dafbd5346c6ca24f3,58,True
769539383,50,zero_shot,,0,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,645c6bc0eff0e108d2196b529f0a62e61fb58f572bbf1a8dafbd5346c6ca24f3,58,False
769539383,50,affine,9f0b13a9aa5822afbf156bb895802f0dfe76d4f1362fb3d32c8e889861c60c0f,42,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,645c6bc0eff0e108d2196b529f0a62e61fb58f572bbf1a8dafbd5346c6ca24f3,58,True
769539383,50,condition_ridge_residual,9f0b13a9aa5822afbf156bb895802f0dfe76d4f1362fb3d32c8e889861c60c0f,42,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,645c6bc0eff0e108d2196b529f0a62e61fb58f572bbf1a8dafbd5346c6ca24f3,58,True
769539383,50,target_head_only,9f0b13a9aa5822afbf156bb895802f0dfe76d4f1362fb3d32c8e889861c60c0f,42,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,645c6bc0eff0e108d2196b529f0a62e61fb58f572bbf1a8dafbd5346c6ca24f3,58,True
769539383,50,last1_head,9f0b13a9aa5822afbf156bb895802f0dfe76d4f1362fb3d32c8e889861c60c0f,42,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,645c6bc0eff0e108d2196b529f0a62e61fb58f572bbf1a8dafbd5346c6ca24f3,58,True
