method,budget,fits,best_epoch_mean,best_epoch_median,epochs_run_mean,hit_max_epoch_count,early_stopped_count,normalized_valid_score_mean,failure_count
current_last2_head,30,15,55.13333333333333,41.0,155.13333333333333,0,15,0.1605160974072709,0
current_last2_head,50,15,105.93333333333334,56.0,201.0,2,13,0.16508706492163067,0
current_last2_head,70,15,85.8,58.0,185.8,0,15,0.09542223138404135,0
current_last2_head,100,15,82.26666666666667,62.0,176.4,1,14,0.0819314351358091,0
last1_head,30,15,132.0,43.0,220.8,3,12,0.14994239612621,0
last1_head,50,15,63.0,41.0,163.0,0,15,0.11725968044982786,0
last1_head,70,15,92.26666666666667,40.0,185.6,1,14,0.08396473785577684,0
last1_head,100,15,104.06666666666666,80.0,204.06666666666666,0,15,0.07447088266187547,0
target_head_only,30,15,401.1333333333333,407.0,473.93333333333334,8,7,0.11486577358339219,0
target_head_only,50,15,405.3333333333333,381.0,469.0,7,8,0.09466586253704098,0
target_head_only,70,15,429.8,475.0,474.8,9,6,0.07437327321497558,0
target_head_only,100,15,407.53333333333336,364.0,464.4,7,8,0.0739049653900111,0
