method,gradient_train_ids_hash,gradient_train_rows,validation_ids_hash,validation_rows,evaluation_ids_hash,evaluation_rows,target_labels_used_for_fit
zero_shot,,0,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,False
affine,f6f75db1b351604afaee3e1ae49af6009bed4fa241728dd35f4096bec4d63f26,22,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,True
condition_ridge_residual,f6f75db1b351604afaee3e1ae49af6009bed4fa241728dd35f4096bec4d63f26,22,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,True
target_head_only,f6f75db1b351604afaee3e1ae49af6009bed4fa241728dd35f4096bec4d63f26,22,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,True
last1_head,f6f75db1b351604afaee3e1ae49af6009bed4fa241728dd35f4096bec4d63f26,22,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,True
current_last2_head,f6f75db1b351604afaee3e1ae49af6009bed4fa241728dd35f4096bec4d63f26,22,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,74804d811203b9bc19257241a76875fc8e6901a44a9c2f0758203b6a5e24bf3d,8,True
