outer_seed,budget,method,mode,source_member,run_key,initial_status,attempts,final_status,action,reason,errors
536279090,50,target_head_only,head_only,1101,seed_536279090/budget_50/target_head_only/member_1101,missing,1,complete,executed,same_config_success,[]
536279090,50,last1_head,last1_head,42,seed_536279090/budget_50/last1_head/member_42,missing,1,complete,executed,same_config_success,[]
536279090,50,last1_head,last1_head,525,seed_536279090/budget_50/last1_head/member_525,missing,1,complete,executed,same_config_success,[]
536279090,50,last1_head,last1_head,1101,seed_536279090/budget_50/last1_head/member_1101,missing,1,complete,executed,same_config_success,[]
536279090,50,current_last2_head,last2_head,42,seed_536279090/budget_50/current_last2_head/member_42,missing,1,complete,executed,same_config_success,[]
536279090,50,current_last2_head,last2_head,525,seed_536279090/budget_50/current_last2_head/member_525,missing,1,complete,executed,same_config_success,[]
536279090,50,current_last2_head,last2_head,1101,seed_536279090/budget_50/current_last2_head/member_1101,missing,1,complete,executed,same_config_success,[]
536279090,70,target_head_only,head_only,42,seed_536279090/budget_70/target_head_only/member_42,missing,1,complete,executed,same_config_success,[]
536279090,70,target_head_only,head_only,525,seed_536279090/budget_70/target_head_only/member_525,missing,1,complete,executed,same_config_success,[]
536279090,70,target_head_only,head_only,1101,seed_536279090/budget_70/target_head_only/member_1101,missing,1,complete,executed,same_config_success,[]
536279090,70,last1_head,last1_head,42,seed_536279090/budget_70/last1_head/member_42,missing,1,complete,executed,same_config_success,[]
536279090,70,last1_head,last1_head,525,seed_536279090/budget_70/last1_head/member_525,missing,1,complete,executed,same_config_success,[]
536279090,70,last1_head,last1_head,1101,seed_536279090/budget_70/last1_head/member_1101,missing,1,complete,executed,same_config_success,[]
536279090,70,current_last2_head,last2_head,42,seed_536279090/budget_70/current_last2_head/member_42,missing,1,complete,executed,same_config_success,[]
536279090,70,current_last2_head,last2_head,525,seed_536279090/budget_70/current_last2_head/member_525,missing,1,complete,executed,same_config_success,[]
536279090,70,current_last2_head,last2_head,1101,seed_536279090/budget_70/current_last2_head/member_1101,missing,1,complete,executed,same_config_success,[]
536279090,100,target_head_only,head_only,42,seed_536279090/budget_100/target_head_only/member_42,missing,1,complete,executed,same_config_success,[]
