outer_seed,budget,method,mode,source_member,best_epoch,epochs_run,hit_max_epoch,early_stopped,normalized_valid_score,trainable_parameter_count
1425370602,100,current_last2_head,last2_head,42,14,114,False,True,0.15452540479992583,186134
1425370602,100,current_last2_head,last2_head,525,14,114,False,True,0.07560851309301611,186134
1425370602,100,current_last2_head,last2_head,1101,57,157,False,True,0.07087283318946291,186134
536279090,30,target_head_only,head_only,42,347,447,False,True,0.023765626704865837,774
536279090,30,target_head_only,head_only,525,500,500,True,False,0.028092687494342246,774
536279090,30,target_head_only,head_only,1101,359,459,False,True,0.025693545600109363,774
536279090,30,last1_head,last1_head,42,37,137,False,True,0.052701990910135915,93454
536279090,30,last1_head,last1_head,525,34,134,False,True,0.049672852627845474,93454
536279090,30,last1_head,last1_head,1101,32,132,False,True,0.06867959799047577,93454
536279090,30,current_last2_head,last2_head,42,41,141,False,True,0.038565504647766494,186134
536279090,30,current_last2_head,last2_head,525,27,127,False,True,0.0561279476698336,186134
536279090,30,current_last2_head,last2_head,1101,32,132,False,True,0.08625412780912925,186134
536279090,50,target_head_only,head_only,42,334,434,False,True,0.019785195995324682,774
536279090,50,target_head_only,head_only,525,500,500,True,False,0.017621379386617408,774
536279090,50,target_head_only,head_only,1101,342,442,False,True,0.021409903152649786,774
536279090,50,last1_head,last1_head,42,45,145,False,True,0.0262388846385818,93454
536279090,50,last1_head,last1_head,525,49,149,False,True,0.024248730260616427,93454
536279090,50,last1_head,last1_head,1101,36,136,False,True,0.0565670581545601,93454
536279090,50,current_last2_head,last2_head,42,465,500,True,False,0.04481902236111136,186134
536279090,50,current_last2_head,last2_head,525,43,143,False,True,0.06578099953511288,186134
536279090,50,current_last2_head,last2_head,1101,44,144,False,True,0.09778672216142043,186134
536279090,70,target_head_only,head_only,42,341,441,False,True,0.024503407749115316,774
536279090,70,target_head_only,head_only,525,500,500,True,False,0.023845742170598327,774
536279090,70,target_head_only,head_only,1101,351,451,False,True,0.025360476847719957,774
536279090,70,last1_head,last1_head,42,40,140,False,True,0.03029381745991486,93454
536279090,70,last1_head,last1_head,525,50,150,False,True,0.03125465204893619,93454
536279090,70,last1_head,last1_head,1101,36,136,False,True,0.057280346714836,93454
536279090,70,current_last2_head,last2_head,42,37,137,False,True,0.04693513913229454,186134
536279090,70,current_last2_head,last2_head,525,39,139,False,True,0.036067942846999185,186134
536279090,70,current_last2_head,last2_head,1101,29,129,False,True,0.0857387945112975,186134
536279090,100,target_head_only,head_only,42,345,445,False,True,0.03125175734295462,774
536279090,100,target_head_only,head_only,525,500,500,True,False,0.029984831541319475,774
536279090,100,target_head_only,head_only,1101,364,464,False,True,0.03257974522820978,774
536279090,100,last1_head,last1_head,42,32,132,False,True,0.0425726081495825,93454
536279090,100,last1_head,last1_head,525,40,140,False,True,0.04320956313419076,93454
536279090,100,last1_head,last1_head,1101,29,129,False,True,0.058021582252726814,93454
536279090,100,current_last2_head,last2_head,42,36,136,False,True,0.04507446844705336,186134
536279090,100,current_last2_head,last2_head,525,33,133,False,True,0.06886051439519553,186134
536279090,100,current_last2_head,last2_head,1101,22,122,False,True,0.09110547774974176,186134
2767143051,30,target_head_only,head_only,42,384,484,False,True,0.048663292508785226,774
2767143051,30,target_head_only,head_only,525,441,500,True,False,0.04670949757258701,774
