method,mode,trainable_parameters,expected,count_pass,total_parameters,ensemble_members,validation_ensemble_finite
target_head_only,head_only,774,774,True,775476,3,True
last1_head,last1_head,93454,93454,True,775476,3,True
current_last2_head,last2_head,186134,186134,True,775476,3,True
