budget,method,outer_seed_count,combined_NRMSE_mean,combined_NRMSE_median,combined_NRMSE_std,best_by_seed_count,mean_paired_delta_vs_current_last2_head,median_paired_delta_vs_current_last2_head,paired_differences_by_seed_vs_current_last2_head
30,current_last2_head,5,0.7985486380451442,0.8132501494919538,0.27024910892193665,0.0,0.0,0.0,"{""1362771960"": 0.0, ""1425370602"": 0.0, ""2767143051"": 0.0, ""536279090"": 0.0, ""769539383"": 0.0}"
30,last1_head,5,0.7102561779651462,0.6274211097219291,0.21482769696516854,0.0,-0.08829246007999812,-0.08262686631027027,"{""1362771960"": -0.08262686631027027, ""1425370602"": -0.009372322811748657, ""2767143051"": -0.16825251533444807, ""536279090"": -0.18582903977002474, ""769539383"": 0.004618443826501117}"
30,target_head_only,5,0.6648043604034816,0.5933742974423989,0.206237211976041,5.0,-0.13374427764166263,-0.12524299160777597,"{""1362771960"": -0.12524299160777597, ""1425370602"": -0.03562166796680838, ""2767143051"": -0.23326620865042225, ""536279090"": -0.21987585204955495, ""769539383"": -0.05471466793375157}"
50,current_last2_head,5,0.7801599169236109,0.7433617788537767,0.33611824872612495,2.0,0.0,0.0,"{""1362771960"": 0.0, ""1425370602"": 0.0, ""2767143051"": 0.0, ""536279090"": 0.0, ""769539383"": 0.0}"
50,last1_head,5,0.6962420079995034,0.6056233505399724,0.24179919346235693,1.0,-0.08391790892410736,-0.024334417488600157,"{""1362771960"": -0.2876137680247197, ""1425370602"": -0.024334417488600157, ""2767143051"": 0.11727940795819902, ""536279090"": -0.24319409307361894, ""769539383"": 0.018273326008202972}"
50,target_head_only,5,0.6818073998894268,0.6537005176038507,0.18631626642487598,2.0,-0.0983525170341839,-0.018888495838355113,"{""1362771960"": -0.4460658051110389, ""1425370602"": -0.018888495838355113, ""2767143051"": 0.11940080967998767, ""536279090"": -0.24732267508694972, ""769539383"": 0.10111358118543645}"
70,current_last2_head,5,0.7264079331886426,0.7934022961185132,0.2602137422912712,2.0,0.0,0.0,"{""1362771960"": 0.0, ""1425370602"": 0.0, ""2767143051"": 0.0, ""536279090"": 0.0, ""769539383"": 0.0}"
70,last1_head,5,0.6755740229009078,0.610043774346301,0.2543633291532274,1.0,-0.05083391028773472,-0.04178476370913031,"{""1362771960"": -0.04178476370913031, ""1425370602"": 0.026897189753431583, ""2767143051"": 0.08379262231429196, ""536279090"": -0.2509782352639889, ""769539383"": -0.07209636453327795}"
70,target_head_only,5,0.6502952152048086,0.5996040581181918,0.19278044551509513,2.0,-0.07611271798383404,-0.01152133530542998,"{""1362771960"": -0.2089030939521469, ""1425370602"": 0.032216652595450035, ""2767143051"": 0.0690621382350547, ""536279090"": -0.261417951492098, ""769539383"": -0.01152133530542998}"
100,current_last2_head,5,0.7793958320540253,0.892724216871275,0.2307572070118516,1.0,0.0,0.0,"{""1362771960"": 0.0, ""1425370602"": 0.0, ""2767143051"": 0.0, ""536279090"": 0.0, ""769539383"": 0.0}"
100,last1_head,5,0.6896554855740515,0.6542762478344588,0.21688305631935462,0.0,-0.08974034647997377,-0.07079424003872925,"{""1362771960"": -0.07079424003872925, ""1425370602"": 0.009353545805363683, ""2767143051"": 0.014592281251950778, ""536279090"": -0.28892006270798143, ""769539383"": -0.11293325671047261}"
100,target_head_only,5,0.632995957079258,0.5927882163712509,0.21202310319018494,4.0,-0.1463998749747672,-0.08795420663534903,"{""1362771960"": -0.08795420663534903, ""1425370602"": 0.009669649279971493, ""2767143051"": -0.062335710182332305, ""536279090"": -0.2999360005000241, ""769539383"": -0.2914431068361021}"
