outer_seed,budget,method,total_revealed_target_labels,gradient_training_labels,validation_labels,test_rows,V1_MAE,V1_RMSE,V1_R2,V2_MAE,V2_RMSE,V2_R2,combined_NRMSE
536279090,30,affine,30,22,8,58,5.248824451724138,8.981051839236224,0.7957575693778995,8.066443146551725,13.062384924672902,0.7981088225924813,0.9863030228778562
536279090,50,affine,50,42,8,58,5.370573755747126,9.68161646418114,0.7626510514511047,8.549402318965516,13.917642376422068,0.7708057428525752,1.0581173666005208
536279090,70,affine,70,62,8,58,5.362347128160918,9.586792031639645,0.7672776057249324,7.876608350574712,12.767207255894434,0.8071302120841288,1.0160175479481848
536279090,100,affine,100,92,8,58,5.323741407471263,9.545364051095587,0.769284614367926,7.496011859195402,12.051053591452629,0.8281607290800967,0.990941943771499
769539383,30,affine,30,22,8,58,2.5074130224137927,3.8985716973301456,0.9247455454230383,4.290390195402299,5.971824580788896,0.9419903574220767,0.43758100820521295
769539383,50,affine,50,42,8,58,3.487124244252873,6.257912157440772,0.8060989831720254,4.563683143678161,6.996872824564136,0.9203668186929075,0.6213759016660801
769539383,70,affine,70,62,8,58,2.7748156695402297,4.879240995248701,0.8821239159257747,4.123900528735633,6.198449366833063,0.9375040000372702,0.507734718572205
769539383,100,affine,100,92,8,58,2.563624295402298,3.9121738538070745,0.9242195022145663,4.034635988505748,5.981271149706753,0.941806686417851,0.43875131513564253
1362771960,30,affine,30,22,8,58,4.023568466666667,7.2215532153763125,0.8262596444885993,5.543187431034482,10.420073732602232,0.8729924837781702,0.790469512010088
1362771960,50,affine,50,42,8,58,4.303328554597701,7.298116517682392,0.8225561059432437,5.989291706896552,10.374280262304996,0.874106359730786,0.7939598120735093
1362771960,70,affine,70,62,8,58,3.802690024137932,6.403188545592318,0.8634058643970705,5.320755126436782,9.133632687615188,0.9024168296867604,0.6975864470516298
1362771960,100,affine,100,92,8,58,3.7725063632183917,6.235981291520121,0.8704465206065346,5.290466235632183,8.211460518076944,0.9211269460367492,0.6579754236637463
1425370602,30,affine,30,22,8,58,3.5951763022988503,4.539961855941101,0.5842177663092597,4.960783974137931,6.566599659678522,0.6823991394315339,0.4974385201420003
1425370602,50,affine,50,42,8,58,2.989940961494253,4.247402363605557,0.6360779846910881,4.587221479885058,6.6144987449260775,0.6777488561169682,0.480124547943773
1425370602,70,affine,70,62,8,58,2.3147111344827587,3.5107831125658766,0.7513608448770109,3.946301709770115,5.963037018809073,0.7380999376575559,0.4123693856398425
1425370602,100,affine,100,92,8,58,2.444052529310345,3.5415958443788895,0.7469772807428541,3.9000674942528746,5.742078122764863,0.7571496215045711,0.4074360149568429
2767143051,30,affine,30,22,8,58,4.167115302873563,7.084726636725387,0.8437716978390407,9.056024282758623,14.598098444342652,0.6770429694036348,0.9124196516598628
2767143051,50,affine,50,42,8,58,3.9706300999999993,6.996075308258615,0.8476570121301247,7.92754065689655,13.290863059811976,0.7322937355945055,0.8658098240926646
2767143051,70,affine,70,62,8,58,4.003914870689655,6.983238050927941,0.848215574410727,7.292928272988505,12.946529922375914,0.7459852556570656,0.8542086333284566
2767143051,100,affine,100,92,8,58,4.1671288534482755,7.191570906763082,0.8390240298039215,6.252087192528735,11.972072525440346,0.7827844834370197,0.837110362632433
536279090,30,condition_ridge_residual,30,22,8,58,4.816591559195403,6.310598381763248,0.8991600440328966,7.248803247126435,11.532155443531481,0.8426403571628089,0.7666927694279304
536279090,50,condition_ridge_residual,50,42,8,58,5.412142770689655,9.773971867438211,0.7581011892766849,8.305658074712644,14.27533391129789,0.7588735030124514,1.0752499892425589
536279090,70,condition_ridge_residual,70,62,8,58,5.255754285632184,9.101558150646428,0.7902398136204021,8.15612166091954,14.084298237257746,0.7652839373233413,1.0260322951468852
536279090,100,condition_ridge_residual,100,92,8,58,5.217963756896552,8.957962302741764,0.7968063999813172,8.061968149425287,13.808760163410232,0.7743778366089189,1.0081756144029788
769539383,30,condition_ridge_residual,30,22,8,58,4.5964433390804595,6.9946221294261655,0.7577578700754606,7.733999413793102,9.712805020654447,0.8465469776104073,0.7537432389977128
769539383,50,condition_ridge_residual,50,42,8,58,4.122945875862069,7.639943362055492,0.7109976067203948,6.952161649425287,10.133673816218016,0.8329602052855245,0.8084112465754103
769539383,70,condition_ridge_residual,70,62,8,58,3.5031216425287357,5.737866124041057,0.8369870963211968,5.816185062068966,8.110603762165994,0.8929978571628797,0.6227880362685427
769539383,100,condition_ridge_residual,100,92,8,58,2.9565123166666667,4.5984443802727135,0.895300878635808,4.884591304597699,6.405349776007731,0.9332622123361803,0.4961530036756395
1362771960,30,condition_ridge_residual,30,22,8,58,3.8448120454022985,7.159055366042402,0.8292538514267841,5.950608715517242,9.829731194171403,0.8869758831395881,0.7679761989190819
