outer_seed,method,AULC_30_100,mean_NRMSE_over_budget_interval
769539383,zero_shot,100.5926928309901,1.4370384690141442
769539383,affine,36.07796580671349,0.5153995115244785
769539383,condition_ridge_residual,46.71765328333349,0.6673950469047641
769539383,target_head_only,39.203943318828394,0.5600563331261199
769539383,last1_head,39.30374135407449,0.5614820193439213
769539383,current_last2_head,42.388498359634454,0.6055499765662065
1425370602,zero_shot,62.13535279504089,0.8876478970720126
1425370602,affine,30.997651025644167,0.44282358608063094
1425370602,condition_ridge_residual,30.78484284334416,0.4397834691906308
1425370602,target_head_only,29.039441746964297,0.4148491678137757
1425370602,last1_head,29.055288642340415,0.4150755520334345
1425370602,current_last2_head,28.82296728931366,0.4117566755616237
536279090,zero_shot,117.35331202653862,1.6764758860934088
536279090,affine,71.28994541606609,1.018427791658087
536279090,condition_ridge_residual,69.9453690738473,0.9992195581978186
536279090,target_head_only,41.84556304348038,0.5977937577640055
536279090,last1_head,42.694834779125664,0.6099262111303666
536279090,current_last2_head,60.02526386051774,0.8575037694359677
2767143051,zero_shot,112.0467701933923,1.6006681456198901
2767143051,affine,60.35226427114983,0.8621752038735689
2767143051,condition_ridge_residual,64.96597770500115,0.9280853957857307
2767143051,target_head_only,60.44414554379183,0.8634877934827404
2767143051,last1_head,62.57403641601098,0.8939148059430141
2767143051,current_last2_head,59.59727363355492,0.8513896233364988
1362771960,zero_shot,121.77141035198464,1.7395915764569234
1362771960,affine,51.093183892818004,0.7299026270402572
1362771960,condition_ridge_residual,67.4183108451472,0.9631187263592458
1362771960,target_head_only,59.649463037597286,0.8521351862513898
1362771960,last1_head,67.68002278732344,0.9668574683903348
1362771960,current_last2_head,76.36509950422973,1.0909299929175675
