outer_seed,candidate,reference,delta_normalized_AULC_candidate_minus_reference,candidate_better,mean_paired_delta_AULC,median_paired_delta_AULC,std_paired_delta_AULC,win_count,outer_seed_count,stable_low_label_improvement,decision_rule
536279090,affine,current_last2_head,0.16092402222211932,False,-0.049680263528168324,0.010785580537070127,0.19564332658135225,2,5,False,mean<0 and median<0 and wins>=4/5
769539383,affine,current_last2_head,-0.09015046504172797,True,-0.049680263528168324,0.010785580537070127,0.19564332658135225,2,5,False,mean<0 and median<0 and wins>=4/5
1362771960,affine,current_last2_head,-0.3610273658773103,True,-0.049680263528168324,0.010785580537070127,0.19564332658135225,2,5,False,mean<0 and median<0 and wins>=4/5
1425370602,affine,current_last2_head,0.03106691051900723,False,-0.049680263528168324,0.010785580537070127,0.19564332658135225,2,5,False,mean<0 and median<0 and wins>=4/5
2767143051,affine,current_last2_head,0.010785580537070127,False,-0.049680263528168324,0.010785580537070127,0.19564332658135225,2,5,False,mean<0 and median<0 and wins>=4/5
536279090,condition_ridge_residual,current_last2_head,0.14171578876185087,False,0.03609443172406516,0.061845070338557684,0.10049577109772874,1,5,False,mean<0 and median<0 and wins>=4/5
769539383,condition_ridge_residual,current_last2_head,0.061845070338557684,False,0.03609443172406516,0.061845070338557684,0.10049577109772874,1,5,False,mean<0 and median<0 and wins>=4/5
1362771960,condition_ridge_residual,current_last2_head,-0.12781126655832176,True,0.03609443172406516,0.061845070338557684,0.10049577109772874,1,5,False,mean<0 and median<0 and wins>=4/5
1425370602,condition_ridge_residual,current_last2_head,0.02802679362900712,False,0.03609443172406516,0.061845070338557684,0.10049577109772874,1,5,False,mean<0 and median<0 and wins>=4/5
2767143051,condition_ridge_residual,current_last2_head,0.07669577244923187,False,0.03609443172406516,0.061845070338557684,0.10049577109772874,1,5,False,mean<0 and median<0 and wins>=4/5
536279090,last1_head,current_last2_head,-0.24757755830560113,True,-0.0739747961953586,-0.04406795722228518,0.11520490148958253,3,5,False,mean<0 and median<0 and wins>=4/5
769539383,last1_head,current_last2_head,-0.04406795722228518,True,-0.0739747961953586,-0.04406795722228518,0.11520490148958253,3,5,False,mean<0 and median<0 and wins>=4/5
1362771960,last1_head,current_last2_head,-0.12407252452723272,True,-0.0739747961953586,-0.04406795722228518,0.11520490148958253,3,5,False,mean<0 and median<0 and wins>=4/5
1425370602,last1_head,current_last2_head,0.0033188764718107833,False,-0.0739747961953586,-0.04406795722228518,0.11520490148958253,3,5,False,mean<0 and median<0 and wins>=4/5
2767143051,last1_head,current_last2_head,0.04252518260651528,False,-0.0739747961953586,-0.04406795722228518,0.11520490148958253,3,5,False,mean<0 and median<0 and wins>=4/5
536279090,target_head_only,current_last2_head,-0.2597100116719623,True,-0.10576155987596658,-0.04549364344008655,0.13301345133018538,3,5,False,mean<0 and median<0 and wins>=4/5
769539383,target_head_only,current_last2_head,-0.04549364344008655,True,-0.10576155987596658,-0.04549364344008655,0.13301345133018538,3,5,False,mean<0 and median<0 and wins>=4/5
1362771960,target_head_only,current_last2_head,-0.2387948066661777,True,-0.10576155987596658,-0.04549364344008655,0.13301345133018538,3,5,False,mean<0 and median<0 and wins>=4/5
1425370602,target_head_only,current_last2_head,0.003092492252151968,False,-0.10576155987596658,-0.04549364344008655,0.13301345133018538,3,5,False,mean<0 and median<0 and wins>=4/5
2767143051,target_head_only,current_last2_head,0.012098170146241594,False,-0.10576155987596658,-0.04549364344008655,0.13301345133018538,3,5,False,mean<0 and median<0 and wins>=4/5
536279090,zero_shot,current_last2_head,0.8189721166574411,False,0.704858387287703,0.7492785222833913,0.14715155360394888,0,5,False,mean<0 and median<0 and wins>=4/5
769539383,zero_shot,current_last2_head,0.8314884924479378,False,0.704858387287703,0.7492785222833913,0.14715155360394888,0,5,False,mean<0 and median<0 and wins>=4/5
1362771960,zero_shot,current_last2_head,0.6486615835393559,False,0.704858387287703,0.7492785222833913,0.14715155360394888,0,5,False,mean<0 and median<0 and wins>=4/5
1425370602,zero_shot,current_last2_head,0.47589122151038893,False,0.704858387287703,0.7492785222833913,0.14715155360394888,0,5,False,mean<0 and median<0 and wins>=4/5
2767143051,zero_shot,current_last2_head,0.7492785222833913,False,0.704858387287703,0.7492785222833913,0.14715155360394888,0,5,False,mean<0 and median<0 and wins>=4/5
