method,finite_predictions,fit_ids_hash,selected_alpha,selection_policy
zero_shot,True,,,no_target_labels
affine,True,f6f75db1b351604afaee3e1ae49af6009bed4fa241728dd35f4096bec4d63f26,,gradient_train_only
condition_ridge_residual,True,f6f75db1b351604afaee3e1ae49af6009bed4fa241728dd35f4096bec4d63f26,100.0,groupkfold_5_gradient_train_only
