phase,candidate_id,member_seed,init_source_sha256,expected_source_sha256,source_reset_pass,checkpoint_sha256
candidate,46ed1e35ca65ace74790,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,a11936648ed403556b0c02b0d36559e1cd70ac3d8166754b90ec656cb376f207
candidate,46ed1e35ca65ace74790,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,ce287361c1d58540b4c84758a9c69e13ef20e7aae4e33cfeb229f413beea469c
candidate,5048acae682925888d12,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,c3737294379079da88178e3079790928b51bb739407cbb919a0dd0e84e24a504
candidate,5048acae682925888d12,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,080b0cb4a408aed4fb1c8e795dc00075a07eacbbb840de1553f5f6bb6012118d
candidate,5048acae682925888d12,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,a689bd304f8e6728173fc814b870bc90c602b8c1ffba9ca87e11908f273e172f
candidate,77fe8c752e01feedccfa,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,537a1dbfca994d38003dfac00214cc24f054988d142003e50e9b66c79c491294
candidate,77fe8c752e01feedccfa,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,95cb99e6c9fbdd5a6bbc6a50177cec0cb48d74b530aec9179801dae828e07bef
candidate,77fe8c752e01feedccfa,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,bc6971fbc4ceed724b296ee7d5bc009ce26431e457bf54850163e23526ad24e5
candidate,a433dc0f6a13e9ace41d,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,2029af5a4a7a5ff98822c3ca842c624dfb70d9764ee7709ba11758d0ddcf0012
candidate,a433dc0f6a13e9ace41d,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,6c0d0ab88862c8c80bfd15d30d063a4e32d9bed9b0ef1a5097eb4bb75cc910f3
