seed,method,AULC_333_429,NRMSE_429
157,center_width_lcmd,0.6960861199286157,0.6406454446595926
157,cw16_llm16,0.7196921981059899,0.6417150895172118
157,cw16_random16,0.7297193356697305,0.6637409863936485
6101,center_width_lcmd,0.9138277936786497,0.8128922825898254
6101,cw16_llm16,0.9030545533647804,0.8285441470149355
6101,cw16_random16,0.9490690597608596,0.8865189326090319
