seed,method,budget,V1_RMSE,V1_MAE,V1_R2,V2_RMSE,V2_MAE,V2_R2,combined_normalized_RMSE
157,center_width_lcmd,333,5.222683805149919,2.613402478128886,0.5072470735708294,9.264808762812883,4.7290128449456015,0.6241655027553434,0.7552330820189761
157,center_width_lcmd,365,4.898261901144098,2.5891132280409193,0.5665632310435945,8.31101102219652,4.442450551963825,0.6975654254042458,0.695086838927538
157,center_width_lcmd,397,4.87749722033025,2.5723121840890935,0.5702302866632185,8.365049059751797,4.348204960354226,0.6936197919064354,0.6952322575190248
157,center_width_lcmd,429,4.635658254542228,2.415922931629977,0.6117919209980094,7.3581049290056795,3.8193536033447413,0.7629414217032995,0.6406454446595926
157,cw16_random16,333,5.222683805149919,2.613402478128886,0.5072470735708294,9.264808762812883,4.7290128449456015,0.6241655027553434,0.7552330820189761
157,cw16_random16,365,5.258374890044884,2.676456976279938,0.5004892531323396,9.785566294746912,4.854341352586266,0.5807282037414359,0.7768191545396755
157,cw16_random16,397,4.985296438601207,2.54917532591511,0.5510233853768083,8.325253297640801,4.356377977833188,0.696527995136528,0.7028518182632039
157,cw16_random16,429,4.826348496415234,2.3686176295474852,0.5791967346127831,7.5621665404455385,3.9832173720252313,0.7496104514609524,0.6637409863936485
157,cw16_llm16,333,5.222683805149919,2.613402478128886,0.5072470735708294,9.264808762812883,4.7290128449456015,0.6241655027553434,0.7552330820189761
157,cw16_llm16,365,5.125919106838467,2.674914620191359,0.5253371505688607,9.233633587798796,4.909748113984398,0.6266905399670857,0.7462384431251908
157,cw16_llm16,397,4.917916150157883,2.659128337741184,0.5630779273464661,8.814299099473049,4.96165271800199,0.6598274315740775,0.714364065424685
157,cw16_llm16,429,4.537700817154943,2.401521320251538,0.6280252486389477,7.635178442332256,4.267060251258831,0.74475214277176,0.6417150895172118
6101,center_width_lcmd,333,5.636028801020688,2.688104156681674,0.47583232029145683,10.574190925603304,4.8925266368783635,0.47414750944233575,0.9507187465219588
6101,center_width_lcmd,365,5.727788398339348,2.636215557011483,0.4586255417490608,11.13022546254387,5.325821669553395,0.41739049791918703,0.9805311051180188
6101,center_width_lcmd,397,5.243080061849136,2.4246981995854733,0.5463751787101445,9.693265602196535,4.696606107181211,0.5581143833233082,0.8791467613620387
6101,center_width_lcmd,429,4.890329982286951,2.279540631982634,0.6053608556859664,8.845873311728749,4.455680643625969,0.6319972447428224,0.8128922825898254
6101,cw16_random16,333,5.636028801020688,2.688104156681674,0.47583232029145683,10.574190925603304,4.8925266368783635,0.47414750944233575,0.9507187465219588
6101,cw16_random16,365,5.899169357826251,2.6990777577141776,0.42574397553122634,11.133706634342385,5.060060182063699,0.4170259983954743,0.9975434784263273
6101,cw16_random16,397,5.696174884211301,2.5905419135694023,0.46458509087467936,9.860724428510476,4.889784281202357,0.5427146545384175,0.9310448612907566
6101,cw16_random16,429,5.333845577413607,2.3965007138195085,0.5305333920217176,9.645458128929898,4.967861268160155,0.5624624204112607,0.8865189326090319
6101,cw16_llm16,333,5.636028801020688,2.688104156681674,0.47583232029145683,10.574190925603304,4.8925266368783635,0.47414750944233575,0.9507187465219588
6101,cw16_llm16,365,5.462053933352954,2.5322067051482717,0.5076932397061423,10.843413945856025,5.072414937922709,0.4470298168050668,0.9437519375552526
6101,cw16_llm16,397,5.407162633045344,2.5474871154025878,0.5175384634877338,9.130577045603168,4.421656461070768,0.6079277628200523,0.8757802757706415
6101,cw16_llm16,429,5.126907009324779,2.3890535431228384,0.5662547698019734,8.603997788880585,4.2454639373065755,0.651846937284158,0.8285441470149355
