round,active_label_count,active_label_fraction_outer_train,shared_validation_label_count,total_observed_non_test_labels,total_observed_fraction_full_dataset
0,333,0.1,416,749,0.1799183281287533
1,365,0.10960960960960961,416,781,0.18760509248138363
2,397,0.11921921921921921,416,813,0.19529185683401393
3,429,0.12882882882882882,416,845,0.20297862118664425
4,461,0.13843843843843845,416,877,0.21066538553927455
5,493,0.14804804804804805,416,909,0.21835214989190488
6,525,0.15765765765765766,416,941,0.22603891424453518
7,557,0.16726726726726726,416,973,0.2337256785971655
8,589,0.17687687687687687,416,1005,0.24141244294979583
9,621,0.1864864864864865,416,1037,0.24909920730242613
10,653,0.1960960960960961,416,1069,0.25678597165505646
11,685,0.2057057057057057,416,1101,0.2644727360076868
12,717,0.2153153153153153,416,1133,0.27215950036031705
13,749,0.2249249249249249,416,1165,0.2798462647129474
14,781,0.23453453453453454,416,1197,0.2875330290655777
15,813,0.24414414414414415,416,1229,0.29521979341820803
16,845,0.25375375375375375,416,1261,0.30290655777083836
17,877,0.26336336336336336,416,1293,0.31059332212346863
18,909,0.27297297297297296,416,1325,0.31828008647609896
19,941,0.28258258258258256,416,1357,0.3259668508287293
20,973,0.29219219219219217,416,1389,0.3336536151813596
21,1005,0.30180180180180183,416,1421,0.34134037953398993
