outer_seed,source_round,active_label_count,representation,effective_rank,pairwise_kernel_abs_corr,latent_mean_direction_ratio
157,0,333,gradient_a080_trajectory,24.797112183763986,0.2359578784211758,0.5455098373151062
157,0,333,latent_a080_trajectory,2.9002995071108013,0.7438355616335877,0.5455098373151062
157,0,333,centered_latent_diagnostic,5.532935917264372,0.399887769232863,0.5455098373151062
157,0,333,fused_a050_counterfactual_on_a080_trajectory,12.560268857771854,0.4945331538157115,0.5455098373151062
157,0,333,fused_a080,20.338387908864572,0.3473360450497356,0.5455098373151062
157,1,365,gradient_a080_trajectory,20.422666604207947,0.22838415326177916,0.5658972356411963
157,1,365,latent_a080_trajectory,2.565656267177935,0.7848461656452049,0.5658972356411963
157,1,365,centered_latent_diagnostic,5.2079320054720695,0.4331237357067943,0.5658972356411963
157,1,365,fused_a050_counterfactual_on_a080_trajectory,10.051594945513518,0.5650029681823547,0.5658972356411963
157,1,365,fused_a080,16.768638628432033,0.3954701860517848,0.5658972356411963
157,2,397,gradient_a080_trajectory,20.973706083968768,0.23171451568912257,0.5157952669655615
157,2,397,latent_a080_trajectory,2.8737056513012322,0.7487905969968405,0.5157952669655615
157,2,397,centered_latent_diagnostic,4.903841120551212,0.4763990338090102,0.5157952669655615
157,2,397,fused_a050_counterfactual_on_a080_trajectory,10.110434384255235,0.5638630640522312,0.5157952669655615
157,2,397,fused_a080,16.989261371144458,0.4065995346494374,0.5157952669655615
157,3,429,gradient_a080_trajectory,18.944106312094753,0.2269657920287854,0.5204441370156997
157,3,429,latent_a080_trajectory,2.742239000370006,0.7644321823648413,0.5204441370156997
157,3,429,centered_latent_diagnostic,4.237941706897809,0.563053430536693,0.5204441370156997
157,3,429,fused_a050_counterfactual_on_a080_trajectory,9.131192409330374,0.5994368879485626,0.5204441370156997
157,3,429,fused_a080,15.34756921560774,0.4392323353780978,0.5204441370156997
157,4,461,gradient_a080_trajectory,26.01020468125545,0.2190032325507672,0.5140999115693303
157,4,461,latent_a080_trajectory,3.0676112925469963,0.7149091289441226,0.5140999115693303
157,4,461,centered_latent_diagnostic,4.22399294973263,0.5772723698366325,0.5140999115693303
157,4,461,fused_a050_counterfactual_on_a080_trajectory,11.523354130434983,0.5252345762566454,0.5140999115693303
157,4,461,fused_a080,20.269100853837028,0.37164755893666823,0.5140999115693303
157,5,493,gradient_a080_trajectory,27.16868552083354,0.19685167850125881,0.5030443290391357
157,5,493,latent_a080_trajectory,3.0511130485863855,0.7253596288519427,0.5030443290391357
157,5,493,centered_latent_diagnostic,3.579963342702575,0.6493558784939525,0.5030443290391357
157,5,493,fused_a050_counterfactual_on_a080_trajectory,12.591179061520899,0.4945962995017896,0.5030443290391357
157,5,493,fused_a080,21.724484156776242,0.3308812224575988,0.5030443290391357
