outer_seed,method,metric,endpoint_budget,endpoint,full_aulc_333_653,early_aulc_333_525,middle_aulc_525_653
157,gradient_latent_fusion_a080_maxdet,combined_normalized_RMSE,653,0.5348404412433236,0.5935888368914013,0.6313175322261375,0.5369957938892971
157,gradient_latent_fusion_a080_maxdet,V1_RMSE,653,3.9526365266613785,4.352346905786838,4.580525150525177,4.01007953867933
157,gradient_latent_fusion_a080_maxdet,V1_R2,653,0.7177619876671684,0.6546567756110561,0.6184644779659335,0.7089452220787397
157,gradient_latent_fusion_a080_maxdet,V2_RMSE,653,5.92370096885929,6.653926860005792,7.2045570152032115,5.827981627209663
157,gradient_latent_fusion_a080_maxdet,V2_R2,653,0.8463579914297386,0.800652083344368,0.7669297710462103,0.8512355517916045
157,gradient_latent_fusion_maxdet,combined_normalized_RMSE,653,0.4990203433105361,0.6056409374363293,0.6590383362264903,0.5255448392510875
157,gradient_latent_fusion_maxdet,V1_RMSE,653,3.732390154036918,4.436813283258838,4.775340735088756,3.9290221055139596
157,gradient_latent_fusion_maxdet,V1_R2,653,0.7483390592289358,0.6402134239361745,0.5868497657132434,0.7202589112705712
157,gradient_latent_fusion_maxdet,V2_RMSE,653,5.40334726166346,6.803679925314225,7.543011222593056,5.694682979395978
157,gradient_latent_fusion_maxdet,V2_R2,653,0.8721650866821284,0.79143491904435,0.7475347109176785,0.8572852312343573
157,gradient_maxdet,combined_normalized_RMSE,653,0.4847085633763891,0.5934615412027948,0.6460024073719759,0.5146502419490232
157,gradient_maxdet,V1_RMSE,653,3.6696559672455487,4.3575516083297785,4.686193629027273,3.864588577283536
157,gradient_maxdet,V1_R2,653,0.7567278199156676,0.6526225820127811,0.6016204585303268,0.7291257672364624
157,gradient_maxdet,V2_RMSE,653,5.120743784216364,6.639604579228388,7.3813579612290745,5.526974506227359
157,gradient_maxdet,V2_R2,653,0.8851873304321137,0.8007307986260329,0.7579266134669874,0.8649370763646009
6101,gradient_latent_fusion_a080_maxdet,combined_normalized_RMSE,653,0.7248861760797617,0.7854251867340886,0.8148762513784774,0.7412485897675053
6101,gradient_latent_fusion_a080_maxdet,V1_RMSE,653,4.410583477813759,4.722009802898606,4.884399200971516,4.478425705789243
6101,gradient_latent_fusion_a080_maxdet,V1_R2,653,0.6789919497888377,0.6304518616966321,0.6047407962395724,0.6690184598822217
6101,gradient_latent_fusion_a080_maxdet,V2_RMSE,653,7.747584136196113,8.55414896242624,8.916015962216955,8.011348462740164
6101,gradient_latent_fusion_a080_maxdet,V2_R2,653,0.7177056134275597,0.6535716638623522,0.6240065215192699,0.6979193773769756
6101,gradient_latent_fusion_maxdet,combined_normalized_RMSE,653,0.7334781232458645,0.7965180313510417,0.8229923155681216,0.7568066050254216
6101,gradient_latent_fusion_maxdet,V1_RMSE,653,4.432496037076763,4.7284129185072326,4.8765922618961435,4.506143903423866
6101,gradient_latent_fusion_maxdet,V1_R2,653,0.6757943768118724,0.6295700987392813,0.6060719698736724,0.6648172920376945
6101,gradient_latent_fusion_maxdet,V2_RMSE,653,7.925829589360056,8.840173622430173,9.158491101121713,8.362697404392863
6101,gradient_latent_fusion_maxdet,V2_R2,653,0.7045669345614692,0.6305976225606562,0.603686606380852,0.6709641468303624
6101,gradient_maxdet,combined_normalized_RMSE,653,0.7186191051352911,0.7762725848315138,0.8057823140076869,0.7320079910672544
6101,gradient_maxdet,V1_RMSE,653,4.359861281405971,4.646035228695648,4.795922447687854,4.421204400207337
6101,gradient_maxdet,V1_R2,653,0.6863327516183513,0.642153428163856,0.6186640618122928,0.6773874776912006
6101,gradient_maxdet,V2_RMSE,653,7.7166149937729855,8.511920516426084,8.909009683096702,7.916286766420165
6101,gradient_maxdet,V2_R2,653,0.7199579135090528,0.6563823047891434,0.6238566084168217,0.7051708493476261
