outer_seed,method,alpha,source_round,active_label_count,gradient_block_scale,latent_block_scale,gradient_feature_mean_norm,latent_feature_mean_norm,fused_feature_mean_norm,gradient_effective_rank,latent_effective_rank,fused_effective_rank,fused_a050_counterfactual_effective_rank,gradient_pairwise_kernel_abs_corr,latent_pairwise_kernel_abs_corr,fused_pairwise_kernel_abs_corr,fused_a050_counterfactual_pairwise_kernel_abs_corr,latent_mean_direction_ratio,latent_mean_norm_sq,latent_labeled_mean_norm_sq,centered_latent_effective_rank,centered_latent_pairwise_kernel_abs_corr,selected_gradient_norm_mean,selected_latent_norm_mean,selected_fused_norm_mean,nearest_L_gradient_distance,nearest_L_latent_distance,nearest_L_fused_distance,gradient_maxdet_overlap_count,gradient_maxdet_overlap_fraction,a050_fusion_overlap_count,a050_fusion_overlap_fraction,normalization_scale,selector_seconds,gradient_seconds,latent_seconds,fusion_seconds
157,gradient_latent_fusion_a080_maxdet,0.8,0,333,148.34281932681438,71.41693366653884,122.58882141113281,60.15156555175781,0.8392282128334045,24.797112183763986,2.9002995071108013,20.338387908864572,12.560268857771854,0.2359578784211758,0.7438355616335877,0.3473360450497356,0.4945331538157115,0.5455098373151062,2782.306599047078,5100.3784143308085,5.532935917264372,0.399887769232863,428.13494873046875,145.21957397460938,2.743126392364502,260.50685832658,35.19775113773701,1.6131310801593544,28,0.875,26,0.8125,0.9999999999843582,0.0909752910001771,125.45757037500152,0.0,0.0
157,gradient_latent_fusion_a080_maxdet,0.8,1,365,215.03856672377424,83.02176233252771,132.643310546875,62.648826599121094,0.6590248346328735,20.422666604207947,2.565656267177935,16.768638628432033,10.051594945513518,0.22838415326177916,0.7848461656452049,0.3954701860517848,0.5650029681823547,0.5658972356411963,3900.5106548145095,6892.613020798717,5.2079320054720695,0.4331237357067943,530.1226196289062,147.15335083007812,2.356743574142456,244.20866972477762,23.538199836913527,1.0605867673147884,15,0.46875,13,0.40625,1.0000000002337146,0.08778512499975477,49.96485933399981,0.0,0.0
157,gradient_latent_fusion_a080_maxdet,0.8,2,397,272.8595585473642,86.89077417030768,139.29898071289062,58.21124267578125,0.5574067234992981,20.973706083968768,2.8737056513012322,16.989261371144458,10.110434384255235,0.23171451568912257,0.7487905969968405,0.4065995346494374,0.5638630640522312,0.5157952669655615,3894.2576883637485,7550.006635915407,4.903841120551212,0.4763990338090102,577.6915893554688,129.6251983642578,2.0165388584136963,251.15290072614783,20.615641296054932,0.8544435686578887,11,0.34375,14,0.4375,0.999999999795946,0.1267995000002884,62.82153970799982,0.0,0.0
157,gradient_latent_fusion_a080_maxdet,0.8,3,429,287.7410853163714,88.14624756579727,125.16788482666016,53.93686294555664,0.4860793352127075,18.944106312094753,2.742239000370006,15.34756921560774,9.131192409330374,0.2269657920287854,0.7644321823648413,0.4392323353780978,0.5994368879485626,0.5204441370156997,4043.72653760947,7769.76095993082,4.237941706897809,0.563053430536693,566.2820434570312,137.1294708251953,1.900718331336975,189.2117175727207,15.678547891452597,0.6057751267960261,3,0.09375,12,0.375,1.0000000000134495,0.13545254200016643,64.39514308299977,0.0,0.0
157,gradient_latent_fusion_a080_maxdet,0.8,4,461,291.56081811150545,90.44902288027247,135.99920654296875,52.62226867675781,0.49849703907966614,26.01020468125545,3.0676112925469963,20.269100853837028,11.523354130434983,0.2190032325507672,0.7149091289441226,0.37164755893666823,0.5252345762566454,0.5140999115693303,4205.864609478385,8181.025739996052,4.22399294973263,0.5772723698366325,473.4346923828125,127.47694396972656,1.6003391742706299,143.57888311806138,12.687877438318033,0.45803864697874774,6,0.1875,7,0.21875,1.0000000000019877,0.13546862499970302,71.55642949999992,0.0,0.0
157,gradient_latent_fusion_a080_maxdet,0.8,5,493,327.3443125618735,93.68831249733776,155.1798553466797,49.97272872924805,0.49148645997047424,27.16868552083354,3.0511130485863855,21.724484156776242,12.591179061520899,0.19685167850125881,0.7253596288519427,0.3308812224575988,0.4945962995017896,0.5030443290391357,4415.471547131722,8777.499898598815,3.579963342702575,0.6493558784939525,515.007080078125,114.18730163574219,1.5200968980789185,161.09051118958564,16.222971518289086,0.46749683907715384,3,0.09375,4,0.125,1.0000000001122316,0.09759475000009843,64.79673895799988,0.0,0.0
157,gradient_latent_fusion_a080_maxdet,0.8,6,525,293.2156083753718,95.201081263356,149.4927215576172,50.83818054199219,0.5196712017059326,33.28747810946991,3.1709208455646687,25.93619341553961,14.522817266830428,0.1977094458466837,0.7136803823182516,0.31211913939489727,0.4652121929252713,0.51458413258724,4663.802516349029,9063.245873712112,3.544879061242196,0.6618700007059162,427.6089172363281,106.14144134521484,1.403518795967102,175.41271525424267,18.389582759891553,0.5537781268935036,1,0.03125,4,0.125,0.9999999998758953,0.15088608299993211,71.86616762500034,0.0,0.0
157,gradient_latent_fusion_a080_maxdet,0.8,7,557,324.1415498123346,95.91069513505474,155.6219940185547,49.73255157470703,0.4929410219192505,33.30943238402171,3.2069400452137944,25.993651789206577,14.471651038458234,0.18560746953800664,0.7209736079641912,0.31396912179023184,0.47623494965106816,0.5214624911208737,4796.861202650527,9198.861441289411,3.367133708459832,0.6892883526473773,376.92205810546875,93.94222259521484,1.1381855010986328,199.01973201195335,21.28734223438807,0.5665118885641991,5,0.15625,4,0.125,1.000000000058729,0.09973774999980378,42.32783779199963,0.0,0.0
157,gradient_latent_fusion_a080_maxdet,0.8,8,589,438.35386549896214,96.78362513260765,154.53329467773438,51.98762512207031,0.4080553948879242,15.34223589718136,2.830967374393226,12.935793500415224,8.069397250223762,0.2233474326573363,0.7519984485580509,0.4532321516584923,0.6045923199058925,0.5588280444005037,5234.581462285796,9367.070093809125,3.070347005532317,0.6934254214856989,529.9696655273438,124.44401550292969,1.2433488368988037,55.83627498172683,6.064921077015435,0.12579613089584207,4,0.125,6,0.1875,0.9999999999190448,0.11506262500006414,53.97636108400002,0.0,0.0
157,gradient_latent_fusion_a080_maxdet,0.8,9,621,406.78123968848934,99.12822918651484,140.5122528076172,54.13511657714844,0.4062393605709076,16.076463409937237,2.841604390668458,13.578392684269652,8.331166644040703,0.22710147966438468,0.7666783734633666,0.4713789548018529,0.6231479882809562,0.5825425853893554,5724.29985243146,9826.405821654214,3.0990057299019105,0.6899363022999773,404.03826904296875,85.55387115478516,0.973067581653595,54.00714423601875,4.601105983554774,0.12503238393618243,2,0.0625,0,0.0,1.0000000000398215,0.07557312500102853,42.037172917000134,0.0,0.0
