outer_seed,source_round,active_label_count,a080_vs_gradient_overlap_count,a080_vs_gradient_overlap_fraction,a080_vs_a050_overlap_count,a080_vs_a050_overlap_fraction
157,0,333,28,0.875,26,0.8125
157,1,365,15,0.46875,13,0.40625
157,2,397,11,0.34375,14,0.4375
157,3,429,3,0.09375,12,0.375
157,4,461,6,0.1875,7,0.21875
157,5,493,3,0.09375,4,0.125
157,6,525,1,0.03125,4,0.125
157,7,557,5,0.15625,4,0.125
157,8,589,4,0.125,6,0.1875
157,9,621,2,0.0625,0,0.0
6101,0,333,24,0.75,30,0.9375
6101,1,365,8,0.25,13,0.40625
6101,2,397,8,0.25,6,0.1875
6101,3,429,2,0.0625,9,0.28125
6101,4,461,4,0.125,1,0.03125
6101,5,493,6,0.1875,2,0.0625
6101,6,525,3,0.09375,2,0.0625
6101,7,557,2,0.0625,1,0.03125
6101,8,589,0,0.0,7,0.21875
6101,9,621,0,0.0,3,0.09375
