outer_seed,representation,rounds,mean_effective_rank,mean_pairwise_kernel_abs_corr,mean_latent_mean_direction_ratio
157,centered_latent_diagnostic,10,4.076797254775693,0.5833612294754915,0.5342207971044003
157,fused_a050_counterfactual_on_a080_trajectory,10,11.136305598837998,0.5411854400520484,0.5342207971044003
157,fused_a050_historical_trajectory,10,10.93240002363628,0.543535874688782,
157,fused_a080,10,18.988147352409314,0.38418662501687967,0.5342207971044003
157,gradient_a080_trajectory,10,23.633209118673467,0.21726430781593004,0.5342207971044003
157,latent_a080_trajectory,10,2.92510574229335,0.74355040767404,0.5342207971044003
6101,centered_latent_diagnostic,10,4.297501080108777,0.5860453433753565,0.5044358258164438
6101,fused_a050_counterfactual_on_a080_trajectory,10,11.25079435535789,0.5390751712251531,0.5044358258164438
6101,fused_a050_historical_trajectory,10,9.87731877672091,0.5698101435672719,
6101,fused_a080,10,19.567423740800198,0.37014750391495943,0.5044358258164438
6101,gradient_a080_trajectory,10,24.649417074993504,0.19413955157603627,0.5044358258164438
6101,latent_a080_trajectory,10,2.9025943741194746,0.7519912693260762,0.5044358258164438
