epoch,train_loss,validation_selection_score,validation_V1_rmse,validation_V1_mae,validation_V1_r2,validation_V2_rmse,validation_V2_mae,validation_V2_r2,validation_combined_normalized_rmse,validation_all_outputs_finite
1,624.9781188964844,1.23967646042346,9.839630126953125,6.782516002655029,-0.7602652311325073,19.38584327697754,12.369403839111328,-0.6076133251190186,1.23967646042346,True
2,340.7594451904297,1.2713737419070046,10.696135520935059,7.904265403747559,-1.0800530910491943,18.498126983642578,11.081231117248535,-0.46375274658203125,1.2713737419070046,True
3,222.75460052490234,1.2263787765500387,10.69085693359375,7.910516738891602,-1.0780003070831299,16.890195846557617,8.641423225402832,-0.22034215927124023,1.2263787765500387,True
4,201.51512908935547,1.1694016010105293,9.992133140563965,7.151872634887695,-0.815252423286438,16.63148307800293,8.750932693481445,-0.1832435131072998,1.1694016010105293,True
5,189.43579864501953,1.0789834945329209,8.790523529052734,5.4944047927856445,-0.40491509437561035,16.37406349182129,8.584892272949219,-0.14689886569976807,1.0789834945329209,True
6,149.23239135742188,1.0353957948517107,8.09804916381836,4.679043769836426,-0.19228863716125488,16.444971084594727,8.811843872070312,-0.15685367584228516,1.0353957948517107,True
7,105.85594177246094,1.0739591960502157,8.107049942016602,4.372902870178223,-0.1949406862258911,17.6451473236084,10.905491828918457,-0.33187270164489746,1.0739591960502157,True
8,89.69283676147461,0.8806990695687624,6.683945655822754,3.5569264888763428,0.18775618076324463,14.400140762329102,8.822356224060059,0.11295497417449951,0.8806990695687624,True
9,79.43662643432617,0.8480625024853412,6.457376480102539,3.4074530601501465,0.24188905954360962,13.824981689453125,8.701257705688477,0.1823992133140564,0.8480625024853412,True
10,77.61965560913086,0.9220851472952647,7.198795318603516,3.7013704776763916,0.057806193828582764,14.672319412231445,8.224958419799805,0.07910579442977905,0.9220851472952647,True
11,70.19408416748047,1.0406945132986152,8.210501670837402,4.197965621948242,-0.22563159465789795,16.380168914794922,9.090497970581055,-0.14775419235229492,1.0406945132986152,True
12,57.67567825317383,0.8806621655613375,7.184121131896973,3.5667166709899902,0.06164348125457764,13.343268394470215,6.619810104370117,0.23838293552398682,0.8806621655613375,True
13,51.17716979980469,0.839309043418429,6.884686470031738,3.2921159267425537,0.13823485374450684,12.629996299743652,6.493201732635498,0.3176320195198059,0.839309043418429,True
14,51.43609428405762,0.7703874736764801,6.465215682983398,3.1172633171081543,0.2400471568107605,11.248098373413086,5.432770729064941,0.458784282207489,0.7703874736764801,True
15,49.325849533081055,0.7524201252255708,6.264538764953613,2.8995323181152344,0.28649210929870605,11.10571575164795,5.696192741394043,0.47239935398101807,0.7524201252255708,True
16,44.8708553314209,0.7903016731369223,6.6952033042907715,3.185769557952881,0.18501776456832886,11.38453483581543,5.366908073425293,0.4455750584602356,0.7903016731369223,True
17,42.5617790222168,0.8353509712191967,6.945895671844482,3.6018006801605225,0.12284350395202637,12.351446151733398,5.563025951385498,0.34739887714385986,0.8353509712191967,True
18,43.411739349365234,0.7617518185355902,6.351984024047852,3.74729323387146,0.2664337158203125,11.220185279846191,5.933897018432617,0.46146708726882935,0.7617518185355902,True
19,49.570011138916016,0.8348723624790194,6.891815185546875,3.8409364223480225,0.13644927740097046,12.4623384475708,6.126744747161865,0.33562803268432617,0.8348723624790194,True
20,47.346275329589844,0.7614449780414181,6.350306510925293,3.6173200607299805,0.26682108640670776,11.2135591506958,5.973444938659668,0.4621029496192932,0.7614449780414181,True
21,39.074995040893555,0.7902538971525637,6.434474468231201,3.3025615215301514,0.24725693464279175,12.000971794128418,6.156135082244873,0.383908748626709,0.7902538971525637,True
22,39.15277862548828,0.7762512995622708,6.102184772491455,2.9247615337371826,0.32299596071243286,12.264328956604004,6.016650676727295,0.35657232999801636,0.7762512995622708,True
23,38.28831672668457,0.6039700388119722,4.816675186157227,2.291973352432251,0.5781915187835693,9.395648956298828,4.574409008026123,0.6223706007003784,0.6039700388119722,True
24,35.82611656188965,0.6593304929076221,5.2426228523254395,2.4557244777679443,0.5002902746200562,10.290424346923828,4.649478435516357,0.5470201969146729,0.6593304929076221,True
