scope,outer_seed,method,full_AULC,early_AULC_333_653,late_AULC_653_1005,NRMSE_at_1005,V1_RMSE_at_1005,V2_RMSE_at_1005,V1_R2_at_1005,V2_R2_at_1005,matched_full_data_NRMSE
seed,157.0,lcmd,0.5830240925144091,0.6498297894239646,0.5222916407784498,0.509224531487521,3.865644157330145,5.34915583550715,0.7300486567915425,0.874716400486379,0.4438399687109298
seed,157.0,kernel_ivr,0.5486373507083153,0.6047590728114584,0.4976176033418215,0.4790361153234307,3.6871032265918338,4.878868932480097,0.7544090615011518,0.8957773708679897,0.4438399687109298
seed,157.0,lcmd_to_ivr,0.5724257488940614,0.6498297894239646,0.5020584393214221,0.4765449650190301,3.698559794481748,4.757369550153021,0.7528804899686607,0.9009036863720737,0.4438399687109298
seed,6101.0,lcmd,0.6550766786112255,0.7728264991701692,0.5480313871940041,0.5282773728784042,3.2089233985508954,5.661671635478505,0.8300807700497883,0.8492494188339161,0.5004181197191122
seed,6101.0,kernel_ivr,0.6802780839081188,0.7629300848413033,0.6051399012415877,0.5447445130577747,3.393454642504546,5.588146364099824,0.8099762306244376,0.8531394382805649,0.5004181197191122
seed,6101.0,lcmd_to_ivr,0.6575083503104983,0.7728264991701692,0.5526736695289793,0.5280360035272326,3.2659209903131856,5.487843016988683,0.823990876896102,0.8583642133218967,0.5004181197191122
development_mean,,lcmd,0.6190503855628174,0.7113281442970669,0.5351615139862269,0.5187509521829625,3.5372837779405204,5.505413735492827,0.7800647134206654,0.8619829096601476,0.472129044215021
development_mean,,kernel_ivr,0.6144577173082171,0.6838445788263809,0.5513787522917046,0.5118903141906027,3.5402789345481898,5.233507648289961,0.7821926460627947,0.8744584045742774,0.472129044215021
development_mean,,lcmd_to_ivr,0.6149670496022799,0.7113281442970669,0.5273660544252007,0.5022904842731313,3.4822403923974665,5.1226062835708515,0.7884356834323814,0.8796339498469852,0.472129044215021
