outer_seed,comparator,delta_full_AULC,delta_late_AULC_653_1005,delta_NRMSE_at_1005,delta_V1_RMSE_at_1005,delta_V2_RMSE_at_1005
157,lcmd,-0.010598343620347728,-0.020233201457027672,-0.032679566468490906,-0.16708436284839712,-0.5917862853541296
157,kernel_ivr,0.023788398185746074,0.004440835979600655,-0.0024911503044006134,0.011456567889914115,-0.12149938232707669
6101,lcmd,0.0024316716992727194,0.004642282334975212,-0.0002413693511715831,0.056997591762290245,-0.17382861848982145
6101,kernel_ivr,-0.02276973359762058,-0.052466231712608336,-0.01670850953054215,-0.1275336521913606,-0.10030334711114097
