column,target,normalization,matching,groups,mean_absolute_difference,median_relative_discrepancy
8g,V1_ml,raw,canonical_smiles,87,9.538798347921034,1.0324110671936761
8g,V1_ml,raw,canonical_smiles+EA_bin,246,8.65000188214722,0.9191135401815922
8g,V1_ml,raw,canonical_smiles+Flow mL/min,87,9.403070025088505,0.9901182569253202
8g,V1_ml,mass_normalized,canonical_smiles,87,0.3996445991982102,0.1429031565385439
8g,V1_ml,mass_normalized,canonical_smiles+EA_bin,246,0.3763188545576089,0.10930958572313235
8g,V1_ml,mass_normalized,canonical_smiles+Flow mL/min,87,0.389451100236287,0.1429031565385439
8g,V2_ml,raw,canonical_smiles,87,14.105927101276638,0.7704304429195259
8g,V2_ml,raw,canonical_smiles+EA_bin,246,13.272763838577214,0.7385130637766806
8g,V2_ml,raw,canonical_smiles+Flow mL/min,87,13.829741252774062,0.7677007993909405
8g,V2_ml,mass_normalized,canonical_smiles,87,0.7596948654970359,0.135241148782318
8g,V2_ml,mass_normalized,canonical_smiles+EA_bin,246,0.7432603364906816,0.15905813835952928
8g,V2_ml,mass_normalized,canonical_smiles+Flow mL/min,87,0.8154686236482593,0.14270469538222727
8g,center,raw,canonical_smiles,87,11.822362724598838,0.8471988323790279
8g,center,raw,canonical_smiles+EA_bin,246,10.937895958826537,0.8081839831456159
8g,center,raw,canonical_smiles+Flow mL/min,87,11.616405638931283,0.8308235961142812
8g,center,mass_normalized,canonical_smiles,87,0.4902081435778726,0.10332808940002182
8g,center,mass_normalized,canonical_smiles+EA_bin,246,0.4790572942359178,0.13663455505292277
8g,center,mass_normalized,canonical_smiles+Flow mL/min,87,0.5236215483979606,0.11411539280391737
8g,width,raw,canonical_smiles,87,4.6691949821459735,0.44602620087336237
8g,width,raw,canonical_smiles+EA_bin,246,4.848124319902113,0.491480165982735
8g,width,raw,canonical_smiles+Flow mL/min,87,4.547716657351679,0.424386218279348
8g,width,mass_normalized,canonical_smiles,87,0.7015600739320271,0.2770009643201543
8g,width,mass_normalized,canonical_smiles+EA_bin,246,0.6916997304149617,0.30020048795628607
8g,width,mass_normalized,canonical_smiles+Flow mL/min,87,0.7314321785229794,0.28969393365507967
25g,V1_ml,raw,canonical_smiles,77,32.72587126306341,3.849147425960675
25g,V1_ml,raw,canonical_smiles+EA_bin,215,29.982753752406822,3.3686354378818737
25g,V1_ml,raw,canonical_smiles+Flow mL/min,0,,
25g,V1_ml,mass_normalized,canonical_smiles,77,0.5555872586480702,0.26243709134139087
25g,V1_ml,mass_normalized,canonical_smiles+EA_bin,215,0.5241801654727998,0.3234389140271493
25g,V1_ml,mass_normalized,canonical_smiles+Flow mL/min,0,,
25g,V2_ml,raw,canonical_smiles,77,49.739570914118296,2.6895373804411475
25g,V2_ml,raw,canonical_smiles+EA_bin,215,45.87970026040852,2.468460172334407
25g,V2_ml,raw,canonical_smiles+Flow mL/min,0,,
25g,V2_ml,mass_normalized,canonical_smiles,77,1.802554518898924,0.4096740191294164
25g,V2_ml,mass_normalized,canonical_smiles+EA_bin,215,1.558155089936627,0.44535945425922685
25g,V2_ml,mass_normalized,canonical_smiles+Flow mL/min,0,,
25g,center,raw,canonical_smiles,77,41.23272108859085,2.922692957186848
25g,center,raw,canonical_smiles+EA_bin,215,37.931227006407674,2.7368679913436944
25g,center,raw,canonical_smiles+Flow mL/min,0,,
25g,center,mass_normalized,canonical_smiles,77,1.1282347836088207,0.37236912685010437
25g,center,mass_normalized,canonical_smiles+EA_bin,215,1.0012853494962723,0.4033259281866381
25g,center,mass_normalized,canonical_smiles+Flow mL/min,0,,
25g,width,raw,canonical_smiles,77,17.013699651054885,1.7087635164029569
25g,width,raw,canonical_smiles+EA_bin,215,15.928548575185173,1.6794626962291637
25g,width,raw,canonical_smiles+Flow mL/min,0,,
25g,width,mass_normalized,canonical_smiles,77,1.3558179337836707,0.5665978373755269
25g,width,mass_normalized,canonical_smiles+EA_bin,215,1.1903510495714933,0.5712859686033339
25g,width,mass_normalized,canonical_smiles+Flow mL/min,0,,
