column,protocol,reference,aulc_gain_percent,wins,residual_seed_sd,reference_seed_sd,source_q50_low_V1_rmse_gain_percent,source_q50_top10_V1_rmse_gain_percent,EA_low_V1_rmse_gain_percent,EA_high_V1_rmse_gain_percent
25g,compound,scale_only,-7.75265838708834,1,0.2787052174676993,0.3167382267548143,-5.179289804133269,-15.844399319603998,-5.066911771982996,40.29161630192386
25g,compound,local_identity_shrinkage,-13.668256260153022,1,0.2787052174676993,0.35056428250547966,-51.78300850597226,-18.154392168776322,-7.868064398201957,17.544625867709417
25g,compound,conditional_EA,-17.13433322703761,1,0.2787052174676993,0.3327151770076415,-52.16418817259814,-21.874830049280945,-12.28229156733056,-61.95272308838911
25g,row,scale_only,1.9819314691046475,4,0.4872903411202187,0.29916571639714573,-9.349686655444224,3.9285620535618238,9.763820174868421,32.15600620614465
25g,row,local_identity_shrinkage,0.07980317973372841,3,0.4872903411202187,0.3988576059895632,-36.93402757102573,2.237677124260151,9.244552825775909,21.54044645805221
25g,row,conditional_EA,-2.691095679316091,3,0.4872903411202187,0.4118517981951842,-62.63591068879406,0.7061286976720815,6.9841453611684585,-66.79091920498324
40g,compound,scale_only,-3.079003644696421,2,0.4145958471008242,0.44096645503427523,28.331357663972987,-20.041879408908603,-5.626516440348706,52.106055754566164
40g,compound,local_identity_shrinkage,-0.20527226347253347,3,0.4145958471008242,0.6201223369446597,-12.272594434903361,-11.279777111525323,-1.2488126622993478,29.64352128183563
40g,compound,conditional_EA,-8.636927921117321,2,0.4145958471008242,0.40906489107005567,-28.123547483853706,-18.288624073040594,-6.283127910029096,-28.665112327021248
40g,row,scale_only,15.804645729195698,5,0.7099557972812343,0.6659909088038836,54.18773417913685,17.8616797512565,15.855917192552349,55.7375313924094
40g,row,local_identity_shrinkage,6.871997744419667,5,0.7099557972812343,0.7651180174704912,30.71374888640428,4.6152291894242525,14.43116640599773,42.62436398424653
40g,row,conditional_EA,0.9418764045083572,3,0.7099557972812343,0.7351519977376837,15.612628892351566,-10.770718458641948,9.294815456810813,-5.246209714206174
8g,compound,scale_only,-24.90801556715283,1,0.4687834917373004,0.2112968518416501,-24.007256176589962,-22.776413261616526,-22.961912219399004,29.46213102250541
8g,compound,local_identity_shrinkage,-26.06219179692242,2,0.4687834917373004,0.18377061867150674,-42.36558986795098,-35.14063562082386,-38.58112075865687,20.6591146117163
8g,compound,conditional_EA,-22.016666116790585,2,0.4687834917373004,0.21430964160522362,-56.98394950521468,-28.357589259318104,-30.6676805224825,-8.836943821839437
8g,row,scale_only,-19.126501891968694,0,0.17427946023299717,0.13628111135193474,-22.43278286630681,-21.391592149655313,-18.647999507764744,14.254793178595527
8g,row,local_identity_shrinkage,-15.24646102386189,0,0.17427946023299717,0.09167869666358432,-29.71726115440376,-14.945452943891269,-10.630979887398917,3.624628976939248
8g,row,conditional_EA,-15.138780205993063,0,0.17427946023299717,0.10246450709168284,-33.83066692026384,-9.769228853627588,-7.92740748957359,-20.70313897743794
