column,protocol,seed,budget,actual_budget,method,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,all_outputs_finite,normalized_rmse,V1_macro_compound_mae,V1_macro_compound_rmse,V1_median_relative_absolute_error,V1_relative_excluded_rows,V1_median_absolute_error,V2_macro_compound_mae,V2_macro_compound_rmse,V2_median_relative_absolute_error,V2_relative_excluded_rows,V2_median_absolute_error
8g,row,769539383,100,100,scale_only,0.7151565116580361,7.193627645166435,3.872405914633053,0.7858013709551348,12.356036177729965,6.7483095243503035,0.8438493832741435,True,0.8407567274948945,3.609964149900737,4.047656345241909,0.18126919460767862,0,2.2217964851374585,5.981461783945766,6.786152936234953,0.15141264274566438,0,4.008669931173463
8g,row,769539383,100,100,local_identity_shrinkage,0.7473403410298286,6.775053970221867,3.468531499571991,0.7789799831225059,12.551239930499404,6.633676889677793,0.8212202522966139,True,0.8202674211679786,3.1525498961550937,3.5758003605554256,0.13285753056586544,0,1.6320604048812584,5.791398802613697,6.6166273203794645,0.13889162441021252,0,3.759962806357528
8g,row,769539383,100,100,conditional_EA,0.7485733933279364,6.75850163786923,3.2210082715440134,0.7784760572287156,12.565540204749833,6.632296103726855,0.8205446980121656,True,0.8196618576367017,2.929098084695518,3.3264816665638,0.12850979877938282,0,1.5879395014074635,5.79351560915924,6.622382105082025,0.139920823251123,0,3.7064314608845024
8g,row,769539383,100,100,conditional_policy,0.7473403410298286,6.775053970221867,3.468531499571991,0.7789799831225059,12.551239930499404,6.633676889677793,0.8212202522966139,True,0.8202674211679786,3.1525498961550937,3.5758003605554256,0.13285753056586544,0,1.6320604048812584,5.791398802613697,6.6166273203794645,0.13889162441021252,0,3.759962806357528
8g,row,769539383,100,100,target_head_only,0.7963332758432154,6.082818322043002,3.2517033976811582,0.8028966651286131,11.852714238707433,6.891602862318841,0.7548162728846699,True,0.7546168967482823,2.911366951960784,3.217599716873441,0.1437064431575738,0,1.8112469999999998,5.980735575571894,6.7814328390231005,0.16462263214209286,0,4.270943666666664
8g,row,769539383,100,100,standard_shallow_finetune,0.7837379412661356,6.268086380513422,3.6265006846376813,0.8275156902377301,11.087806171800343,6.063377584057972,0.744464765960094,True,0.7425833741262606,3.313880598447712,3.5889873545676396,0.1808860309810671,0,2.2719986666666667,5.534304969771242,6.186417368388298,0.13440923827784562,0,3.595914333333333
8g,row,769539383,100,100,packing_mass_physical_scale,0.7717988166172357,6.438782462132647,3.3014991251627603,0.7447221238343775,13.488927386829328,7.79699937682221,0.8281651854951989,True,0.8280927519269041,2.7802189248060087,3.15811359916701,0.11933548551749949,0,1.4217353820800778,6.908372056873796,7.759622218968203,0.18785574446352452,0,4.83813705444336
8g,row,769539383,100,100,physics_scale_residual,0.6158794124434397,8.35369468872339,4.296562630602647,0.7075775328734244,14.436974727657173,7.491392893114396,0.9824388141826084,True,0.9790880768520329,3.640508396328761,4.092002390166457,0.20035916958225863,0,2.2995369513849635,6.185989402474299,7.078749060892897,0.1711857641842928,0,3.745751437923733
8g,row,769539383,100,100,raw_column_conditioned,0.6112015610678698,8.404406744593585,5.488485694492753,0.7081353349623691,14.423198736515646,9.185464949275365,0.9855255359588121,True,0.9818775351962746,4.940623718014705,5.324723097213529,0.33349467336683425,0,3.7356823000000006,7.957197879084968,8.813051159703972,0.2608117967781909,0,5.791668
8g,row,769539383,100,100,mass_normalized_column_conditioned,0.7714362974222796,6.443894740514131,3.4708569553623185,0.8408216022811283,10.651552007272523,5.853698246376812,0.7442296586075471,True,0.7401711473855872,3.211759178104575,3.5908157811401202,0.13885411891891886,0,1.7423903333333328,5.376680439133987,6.122613641925248,0.14249908471740944,0,3.564848000000005
