column,protocol,method,mean,std
25g,compound,conditional_EA,1.4786893650010087,0.3327151770076415
25g,compound,conditional_policy,1.4839029365605438,0.33704429257031837
25g,compound,local_identity_shrinkage,1.5237789205008052,0.3505642825054797
25g,compound,mass_normalized_column_conditioned,3.099541096191225,0.6031342369643664
25g,compound,packing_mass_physical_scale,2.338580060189076,0.16348160233708134
25g,compound,physics_scale_residual,1.7320529281930483,0.2787052174676993
25g,compound,raw_column_conditioned,3.3504370727804322,0.8479228844874394
25g,compound,scale_only,1.6074340569592802,0.3167382267548142
25g,compound,standard_shallow_finetune,2.06735157055214,0.3407008270966737
25g,compound,target_head_only,3.050010933534752,0.6050220499529603
25g,row,conditional_EA,1.9663729378325159,0.4118517981951842
25g,row,conditional_policy,1.9505646488570316,0.3790937342899458
25g,row,local_identity_shrinkage,2.0209026595834385,0.3988576059895632
25g,row,mass_normalized_column_conditioned,2.455413557647346,0.5333381234939278
25g,row,packing_mass_physical_scale,2.6589797231549173,0.4122644253165216
25g,row,physics_scale_residual,2.019289915001768,0.48729034112021874
25g,row,raw_column_conditioned,3.4155774411573248,0.6905889451785486
25g,row,scale_only,2.0601200832327016,0.2991657163971457
25g,row,standard_shallow_finetune,2.116628680556677,0.46137058899333955
25g,row,target_head_only,3.3761261075741453,0.4227822167159695
40g,compound,conditional_EA,3.4169588482716597,0.40906489107005567
40g,compound,conditional_policy,3.7044748646713215,0.6201223421431508
40g,compound,local_identity_shrinkage,3.7044748616927556,0.6201223369446597
40g,compound,mass_normalized_column_conditioned,4.672954225375432,1.1016430492781735
40g,compound,packing_mass_physical_scale,4.330180779306668,0.35293887548667996
40g,compound,physics_scale_residual,3.7120791210911235,0.4145958471008243
40g,compound,raw_column_conditioned,6.548351888106451,0.6420236064483743
40g,compound,scale_only,3.6011981003292477,0.44096645503427523
40g,compound,standard_shallow_finetune,3.9589072748176397,0.3838190605579741
40g,compound,target_head_only,7.719007446194655,0.3892438278967312
40g,row,conditional_EA,3.089489411680078,0.7351519977376838
40g,row,conditional_policy,3.122874407508172,0.7126356727910729
40g,row,local_identity_shrinkage,3.286219145443225,0.7651180174704911
40g,row,mass_normalized_column_conditioned,3.902164398849372,0.5655160713077312
40g,row,packing_mass_physical_scale,4.371556736252947,0.47989473695685086
40g,row,physics_scale_residual,3.0603902398916794,0.7099557972812341
40g,row,raw_column_conditioned,6.003142317764608,1.3363552857848857
40g,row,scale_only,3.6348682969470025,0.6659909088038836
40g,row,standard_shallow_finetune,3.479648261103493,0.5298627183373811
40g,row,target_head_only,7.964391662670705,1.1220257689634106
8g,compound,conditional_EA,0.7523038859922127,0.21430964160522362
8g,compound,conditional_policy,0.752833796017115,0.21144856206989227
8g,compound,local_identity_shrinkage,0.7281613207499132,0.18377061867150674
8g,compound,mass_normalized_column_conditioned,0.9749440107724625,0.34997612566238684
8g,compound,packing_mass_physical_scale,0.6824040063530663,0.08108233176159588
8g,compound,physics_scale_residual,0.9179361207547589,0.4687834917373004
8g,compound,raw_column_conditioned,1.9312188783207218,0.19903557363637625
8g,compound,scale_only,0.7348896838900301,0.21129685184165012
8g,compound,standard_shallow_finetune,0.8231524288415866,0.10904469725623157
8g,compound,target_head_only,0.7250077501000309,0.08369870420477955
8g,row,conditional_EA,0.7549255953266066,0.10246450709168284
8g,row,conditional_policy,0.7529439628908434,0.09347615483943178
8g,row,local_identity_shrinkage,0.7542202287165375,0.09167869666358433
8g,row,mass_normalized_column_conditioned,0.9420418759078222,0.206405260116069
8g,row,packing_mass_physical_scale,0.7365374967033175,0.08122034759345788
8g,row,physics_scale_residual,0.8692121219218862,0.1742794602329972
8g,row,raw_column_conditioned,1.5262236118372365,0.35885976093323807
8g,row,scale_only,0.7296547016130313,0.13628111135193474
8g,row,standard_shallow_finetune,0.7250580399621975,0.10268619568546311
8g,row,target_head_only,0.678979997191512,0.11300412929383923
